Name:  Dolomite CaMg(CO3)2
Type:  Mineral
Class:   Carbonates
Subclass:   
Particle Size:  Fine  (Less than 2  Micrometers)
Sample No.:  dolomite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Oberdorf, Styria, Austria via the Smithsonian 
(sample no. NMNH R12596).  
Description:  The sample was a single white crystal, 3 cm x 2 cm x 2 
cm and 29 g, showing good cleavage.  No impurities or alteration 
were visible in hand sample.  Under the microscope it appears very 
pure and unaltered.


Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: dolomi1a.txt

7.240437554	44.0892
7.230339081	42.4491
7.220268738	40.786
7.210226408	39.0858
7.200211974	37.3439
7.19022532	35.5168
7.18026633	33.6025
7.17033489	31.5978
7.160436013	29.4853
7.150559317	27.3124
7.140709829	25.0727
7.130887439	22.8117
7.121092034	20.5715
7.111323503	18.4885
7.101581735	16.7111
7.091866622	15.3129
7.082178053	14.1279
7.07251592	12.8296
7.062880115	11.3713
7.053270531	9.872
7.04368706	8.4319
7.034129597	7.063
7.024598035	5.7666
7.01509227	4.5598
7.005612196	3.5266
6.99615771	2.7053
6.986728709	2.0801
6.977325089	1.6357
6.967946748	1.3057
6.958593585	1.0439
6.949265497	0.8752
6.939962385	0.8264
6.930688952	0.8166
6.921435478	0.812
6.912206681	0.7883
6.903002461	0.7607
6.893822721	0.7012
6.884667364	0.676
6.875536292	0.7356
6.866429409	0.8401
6.857346618	0.9133
6.848287825	0.9321
6.839252935	0.9473
6.830241852	1.0303
6.821254483	1.1504
6.812290735	1.2805
6.803350514	1.3838
6.794433728	1.4807
6.785540285	1.5908
6.776670093	1.719
6.767823062	1.8909
6.7589991	2.1084
6.750198118	2.3079
6.741420026	2.5049
6.732664735	2.7226
6.723932156	2.9668
6.715226709	3.2756
6.706539278	3.6125
6.697874296	4.0039
6.689231675	4.4404
6.680611329	4.9709
6.672013173	5.602
6.663437121	6.3301
6.654883087	7.1933
6.646350987	8.175
6.637840737	9.299
6.629352253	10.5608
6.620885451	11.9113
6.612440248	13.3557
6.604016563	14.9091
6.595614312	16.5908
6.587233415	18.341
6.578873789	20.1262
6.570535354	21.9719
6.56221803	23.8439
6.553921736	25.716
6.545646392	27.5998
6.537391921	29.4609
6.529158241	31.3173
6.520945276	33.1847
6.512757189	35.0697
6.504585407	36.9306
6.496434107	38.7768
6.488303211	40.6229
6.480192643	42.4149
6.472102327	44.1613
6.464032186	45.882
6.455982145	47.6034
6.44795213	49.2833
6.439942066	50.9025
6.431951879	52.506
6.423981494	54.0521
6.416030838	55.5643
6.408099838	57.0287
6.400188422	58.461
6.392296516	59.8514
6.384424048	61.211
6.376570948	62.5401
6.368737143	63.8123
6.360922563	65.0186
6.353127136	66.1231
6.345350793	67.1326
6.337593464	68.0342
6.329855078	68.8731
6.322139564	69.6287
6.314438848	70.2073
6.30675687	70.7012
6.29909356	71.2022
6.291448851	71.6856
6.283822676	72.0682
6.276214965	72.3846
6.268625654	72.711
6.261054675	73.0096
6.253501961	73.2706
6.245967447	73.4891
6.238451067	73.7413
6.230952756	74.0001
6.223472449	74.2667
6.21601008	74.4649
6.208565585	74.6456
6.201142747	74.8152
6.1937338	74.9969
6.186342535	75.1873
6.178968891	75.4647
6.171612803	75.9043
6.164274209	76.3553
6.156953047	76.7188
6.149649255	77.0323
6.14236277	77.3426
6.135093533	77.6707
6.12784148	78.0389
6.120606552	78.3719
6.113388688	78.668
6.106187828	78.9395
6.099003911	79.2705
6.091836878	79.6267
6.084686669	79.9895
6.077553226	80.3584
6.070436489	80.7649
6.063336399	81.1338
6.056252899	81.5352
6.049185931	81.9414
6.042135436	82.2762
6.035101357	82.5899
6.02808727	82.8885
6.021085843	83.1853
6.01410066	83.492
6.007131667	83.8084
6.000178805	84.1758
5.99324202	84.576
5.986321256	84.9636
5.979416457	85.3477
5.972527568	85.7132
5.965654534	86.0662
5.9587973	86.4004
5.951955813	86.7276
5.945130017	87.0362
5.938319859	87.294
5.931525286	87.5789
5.924746243	87.8467
5.917982678	88.0803
5.911234538	88.3252
5.904501769	88.5632
5.89778432	88.7957
5.891082139	89.0076
5.884395172	89.2149
5.87772337	89.4356
5.871066679	89.6414
5.864428488	89.8474
5.85780186	90.0029
5.851190191	90.1475
5.84459343	90.3545
5.838011527	90.5156
5.831444431	90.6492
5.824892094	90.7783
5.818354465	90.9053
5.811831494	91.0361
5.805323133	91.1836
5.798829332	91.2813
5.792350043	91.374
5.785885217	91.5105
5.779434806	91.6604
5.772998761	91.7556
5.766577035	91.8572
5.760169579	91.9636
5.753776347	92.0361
5.747397291	92.1472
5.741032364	92.2771
5.734681519	92.3936
5.728344709	92.5234
5.722021888	92.6387
5.715713009	92.7449
5.709421287	92.8508
5.703140149	92.9646
5.696872816	93.084
5.690619242	93.1834
5.684379382	93.291
5.678153192	93.3887
5.671940626	93.4131
5.66574164	93.407
5.659556189	93.4033
5.653384229	93.3919
5.647225716	93.4326
5.641080605	93.4463
5.634948854	93.4727
5.628830419	93.4902
5.622725256	93.5078
5.616633323	93.5215
5.610557723	93.4688
5.604492113	93.4319
5.598439603	93.3914
5.592400152	93.3611
5.586373717	93.2996
5.580360257	93.21
5.574359729	93.1257
5.568372092	92.9697
5.562397304	92.7966
5.556435324	92.5664
5.550486112	92.3106
5.544549625	91.9844
5.538625823	91.5901
5.532714665	91.1145
5.526816112	90.5925
5.520930122	90.1406
5.515056656	89.7937
5.509195674	89.5574
5.503347136	89.4256
5.497511002	89.4317
5.491687233	89.5264
5.48587579	89.7302
5.480076633	90.1133
5.474289725	90.658
5.468518015	91.3484
5.462755479	92.0955
5.457005076	92.8096
5.451266765	93.4138
5.445540511	93.916
5.439826274	94.3347
5.434124016	94.6257
5.428433701	94.8464
5.422755291	95.0525
5.417088748	95.2488
5.411434035	95.4089
5.405791116	95.5569
5.400159953	95.6719
5.394540509	95.7634
5.388932749	95.8318
5.383336635	95.9043
5.377752132	95.9697
5.372179203	96.0195
5.366617813	96.0818
5.361067925	96.1511
5.355529504	96.2266
5.350002515	96.291
5.344486921	96.3711
5.338982689	96.4314
5.333492627	96.4824
5.328011006	96.5583
5.32254064	96.6121
5.317081497	96.6299
5.31163354	96.6475
5.306196736	96.7073
5.30077105	96.7537
5.295356449	96.7712
5.289952898	96.8279
5.284560364	96.8816
5.279178813	96.904
5.273808212	96.9307
5.268448526	96.9705
5.263099724	96.9873
5.257761771	97.0166
5.252434635	97.0771
5.247118283	97.1055
5.241812682	97.0918
5.236517799	97.0925
5.231233603	97.1052
5.225960061	97.1318
5.220697141	97.1943
5.21544481	97.2559
5.210203036	97.2783
5.204974498	97.2966
5.19975374	97.3455
5.194543444	97.3669
5.189343579	97.3916
5.184154115	97.4001
5.178975019	97.4104
5.173806261	97.4209
5.168647809	97.4512
5.163499634	97.5154
5.158361704	97.5762
5.153233989	97.5964
5.148116459	97.5879
5.143009082	97.6016
5.137911829	97.6262
5.13282467	97.6326
5.127747575	97.657
5.122680514	97.6746
5.117623458	97.6904
5.112576376	97.707
5.107539239	97.7136
5.102512018	97.7224
5.097494683	97.7353
5.092487206	97.7312
5.087489558	97.7373
5.082504292	97.7683
5.077526209	97.7722
5.072557868	97.7529
5.06759924	97.7312
5.062650297	97.7195
5.057711011	97.7351
5.052781354	97.7412
5.047861297	97.7859
5.042950812	97.8298
5.038049872	97.8191
5.033158448	97.8259
5.028276513	97.8581
5.023404039	97.904
5.018541	97.9316
5.013687367	97.9578
5.008843113	97.9639
5.004010715	97.9648
4.999185133	97.9929
4.994368849	97.9836
4.989561837	97.9822
