Name:  Calcite CaCO3
Type:  Mineral
Class:  Carbonates
Subclass:   
Particle Size: Coarse  (74-250 Micrometers)
Sample No.:  calcite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Hunt and Salisbury Collection #194B (purchased from Ward's 
Natural Science Establishment); Sample from Mexico.
Description: The sample consisted of transparent euhedral crystals.  
The largest was about 2 cm x 2 cm.  This was obviously pure optical 
quality calcite.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  calcit1a.txt

6.30675687	6.133
6.29909356	5.8569
6.291448851	5.7007
6.283822676	5.6152
6.276214965	5.4717
6.268625654	5.2607
6.261054675	5.0193
6.253501961	4.7576
6.245967447	4.4768
6.238451067	4.1999
6.230952756	3.9172
6.223472449	3.6299
6.21601008	3.3516
6.208565585	3.0862
6.201142747	2.8164
6.1937338	2.5549
6.186342535	2.3105
6.178968891	2.0754
6.171612803	1.8545
6.164274209	1.6587
6.156953047	1.4817
6.149649255	1.3164
6.14236277	1.1758
6.135093533	1.0723
6.12784148	0.9961
6.120606552	0.9495
6.113388688	0.9255
6.106187828	0.9143
6.099003911	0.9111
6.091836878	0.9163
6.084686669	0.9241
6.077553226	0.9309
6.070436489	0.9424
6.063336399	0.9636
6.056252899	0.9919
6.049185931	1.0178
6.042135436	1.0359
6.035101357	1.0645
6.02808727	1.093
6.021085843	1.1235
6.01410066	1.1528
6.007131667	1.1838
6.000178805	1.2117
5.99324202	1.2361
5.986321256	1.2642
5.979416457	1.2795
5.972527568	1.2844
5.965654534	1.3032
5.9587973	1.3364
5.951955813	1.3652
5.945130017	1.3921
5.938319859	1.4216
5.931525286	1.4551
5.924746243	1.4858
5.917982678	1.5046
5.911234538	1.5239
5.904501769	1.5469
5.89778432	1.5686
5.891082139	1.5767
5.884395172	1.5837
5.87772337	1.5854
5.871066679	1.5842
5.864428488	1.5825
5.85780186	1.5757
5.851190191	1.5637
5.84459343	1.5464
5.838011527	1.5359
5.831444431	1.5315
5.824892094	1.522
5.818354465	1.5105
5.811831494	1.5056
5.805323133	1.4971
5.798829332	1.4853
5.792350043	1.4768
5.785885217	1.4683
5.779434806	1.4575
5.772998761	1.4463
5.766577035	1.4458
5.760169579	1.4507
5.753776347	1.4517
5.747397291	1.4665
5.741032364	1.489
5.734681519	1.5178
5.728344709	1.5498
5.722021888	1.5747
5.715713009	1.5991
5.709421287	1.6309
5.703140149	1.6616
5.696872816	1.689
5.690619242	1.7231
5.684379382	1.7595
5.678153192	1.822
5.671940626	1.8867
5.66574164	1.9485
5.659556189	2.0361
5.653384229	2.1157
5.647225716	2.1565
5.641080605	2.1733
5.634948854	2.146
5.628830419	2.0894
5.622725256	2.0207
5.616633323	1.9248
5.610557723	1.7978
5.604492113	1.6582
5.598439603	1.511
5.592400152	1.387
5.586373717	1.3108
5.580360257	1.2622
5.574359729	1.2129
5.568372092	1.1672
5.562397304	1.1152
5.556435324	1.0749
5.550486112	1.105
5.544549625	1.2473
5.538625823	1.4697
5.532714665	1.7192
5.526816112	1.9746
5.520930122	2.2283
5.515056656	2.4614
5.509195674	2.6868
5.503347136	2.9062
5.497511002	3.116
5.491687233	3.324
5.48587579	3.5278
5.480076633	3.7275
5.474289725	3.918
5.468518015	4.1116
5.462755479	4.303
5.457005076	4.498
5.451266765	4.6997
5.445540511	4.9031
5.439826274	5.113
5.434124016	5.321
5.428433701	5.5286
5.422755291	5.7341
5.417088748	5.925
5.411434035	6.1072
5.405791116	6.291
5.400159953	6.4629
5.394540509	6.623
5.388932749	6.7829
5.383336635	6.9421
5.377752132	7.1089
5.372179203	7.261
5.366617813	7.3882
5.361067925	7.5173
5.355529504	7.6477
5.350002515	7.7798
5.344486921	7.9121
5.338982689	8.0422
5.333492627	8.1811
5.328011006	8.3254
5.32254064	8.4653
5.317081497	8.5986
5.31163354	8.7217
5.306196736	8.8481
5.30077105	8.9704
5.295356449	9.0735
5.289952898	9.1616
5.284560364	9.2463
5.279178813	9.3276
5.273808212	9.4031
5.268448526	9.4792
5.263099724	9.5605
5.257761771	9.6372
5.252434635	9.7129
5.247118283	9.7929
5.241812682	9.8677
5.236517799	9.9333
5.231233603	9.9927
5.225960061	10.0356
5.220697141	10.0818
5.21544481	10.1428
5.210203036	10.2102
5.204974498	10.2649
5.19975374	10.3257
5.194543444	10.393
5.189343579	10.4533
5.184154115	10.5031
5.178975019	10.5481
5.173806261	10.5691
5.168647809	10.5825
5.163499634	10.6399
5.158361704	10.7033
5.153233989	10.7375
5.148116459	10.7815
5.143009082	10.8196
5.137911829	10.8498
5.13282467	10.8667
5.127747575	10.8698
5.122680514	10.8379
5.117623458	10.6806
5.112576376	10.1809
5.107539239	9.2783
5.102512018	8.3288
5.097494683	8.1867
5.092487206	9.1933
5.087489558	10.2292
5.082504292	10.8142
5.077526209	11.1125
5.072557868	11.2583
5.06759924	11.3235
5.062650297	11.3657
5.057711011	11.3891
5.052781354	11.4008
5.047861297	11.4111
5.042950812	11.4192
5.038049872	11.4074
5.033158448	11.3984
5.028276513	11.3955
5.023404039	11.3862
5.018541	11.3733
5.013687367	11.3691
5.008843113	11.3598
5.004010715	11.3445
4.999185133	11.3283
4.994368849	11.3134
4.989561837	11.2915
4.984764069	11.2697
4.979975518	11.2488
4.97519616	11.2358
4.970425966	11.2085
4.96566491	11.1792
4.960912967	11.1567
4.95617011	11.1408
4.951436313	11.1274
4.94671155	11.1208
4.941995795	11.113
4.937289023	11.1091
4.932591209	11.1115
4.927902325	11.1208
4.923222347	11.1259
4.918551251	11.1386
4.913889009	11.1511
4.909235598	11.156
4.904590991	11.1706
4.899955165	11.1906
4.895328095	11.1982
