Name: Aplite
Type: Rocks
Class: Igneous
Subclass: Felsic
Particle Size: 0-75 micrometers
Sample No.: Aplite.H1
Owner: JHU
Wavelength range: All
Origin: From Boulder County, Colorado via Ward's Scientific (Cat. No. W-
101)
Description: Powder derived from sample: fine-grained to medium-grained 
leucocratic rock composed of quartz, feldspar, micas and opaques.




Measurement: Directional (10 degree) hemispherical reflectance
First Column: X
Second Column: Y
X Units: Wavelength (micrometers)
Y Units: Reflectance (percent)
First X Value: 14.0112
Last X Value: 0.4000
Number of X Values: 2844
Additional information:	see file aplite1a.doc
4.5877	43.906
4.5837	44.119
4.5796	44.306
4.5756	44.488
4.5716	44.680
4.5675	44.869
4.5635	45.084
4.5595	45.294
4.5555	45.462
4.5515	45.590
4.5475	45.749
4.5435	45.850
4.5395	45.915
4.5356	45.976
4.5316	45.993
4.5276	45.984
4.5237	45.982
4.5197	45.946
4.5158	45.859
4.5119	45.768
4.5080	45.639
4.5040	45.494
4.5001	45.400
4.4962	45.361
4.4923	45.367
4.4884	45.389
4.4846	45.453
4.4807	45.516
4.4768	45.554
4.4730	45.627
4.4691	45.740
4.4652	45.876
4.4614	46.079
4.4576	46.345
4.4537	46.697
4.4499	47.037
4.4461	47.309
4.4423	47.549
4.4385	47.785
4.4347	47.981
4.4309	48.184
4.4271	48.426
4.4233	48.688
4.4196	48.932
4.4158	49.203
4.4120	49.456
4.4083	49.691
4.4045	49.951
4.4008	50.257
4.3971	50.593
4.3934	50.919
4.3896	51.240
4.3859	51.561
4.3822	51.876
4.3785	52.209
4.3748	52.529
4.3711	52.847
4.3674	53.173
4.3638	53.433
4.3601	53.703
4.3564	54.004
4.3528	54.264
4.3491	54.516
4.3455	54.757
4.3418	54.999
4.3382	55.228
4.3346	55.424
4.3310	55.585
4.3273	55.758
4.3237	55.934
4.3201	56.077
4.3165	56.194
4.3129	56.308
4.3094	56.378
4.3058	56.454
4.3022	56.535
4.2986	56.606
4.2951	56.708
4.2915	56.803
4.2880	56.897
4.2844	57.047
4.2809	57.204
4.2774	57.323
4.2738	57.482
4.2703	57.705
4.2668	57.954
4.2633	58.189
4.2598	58.383
4.2563	58.573
4.2528	58.679
4.2493	58.700
4.2458	58.672
4.2424	58.679
4.2389	58.700
4.2354	58.726
4.2320	58.797
4.2285	58.940
4.2251	59.112
4.2216	59.249
4.2182	59.324
4.2148	59.453
4.2113	59.574
4.2079	59.669
4.2045	59.759
4.2011	59.830
4.1977	59.879
4.1943	59.946
4.1909	60.053
4.1875	60.192
4.1841	60.286
4.1808	60.401
4.1774	60.514
4.1740	60.615
4.1707	60.727
4.1673	60.844
4.1640	60.918
4.1606	60.964
4.1573	61.042
