Name:  Limestone CaCO3
Type:  Rock
Class: Sedimentary
Subclass: Limestone 
Particle Size:  Whole rock chips
Sample No.:  ro357
Owner:  Larry Rowan, USGS
Wavelength range:  VNIR SWIR IR
Origin:  Ronda, Spain

Description:  gray limestone with white calcite veins





Measurement:  Reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.4
Last X Value:  14.01309  
Number of X Values:  2826
Additional Information:  ls357a.txt

2.50527	        .181500
2.50648	        .180800
2.5077	        .181700
2.50891	        .182700
2.51012	        .182700
2.51134	        .181000
2.51256	        .178300
2.51377	        .178900
2.51499	        .178300
2.51621	        .177700
2.51743	        .176800
2.51866	        .175000
2.51988	        .172700
2.52111	        .169200
2.52233	        .166700
2.52356	        .167300
2.52479	        .164500
2.52602	        .160500
2.52725	        .160400
2.52848	        .161100
2.52971	        .159800
2.53095	        .158400
2.53218	        .155400
2.53342	        .155700
2.53466	        .155400
2.5359	        .156600
2.53714	        .157100
2.53838	        .158600
2.53962	        .160400
2.54087	        .162100
2.54211	        .162500
2.54336	        .163800
2.54461	        .166300
2.54586	        .170000
2.54711	        .174500
2.54836	        .179800
2.54961	        .184100
2.55087	        .187400
2.55212	        .189100
2.55338	        .193100
2.55464	        .197100
2.55589	        .200000
2.55716	        .202200
2.55842	        .206700
2.55968	        .210900
2.56094	        .215100
2.56221	        .218100
2.56348	        .219900
2.56474	        .220100
2.56601	        .222000
2.56728	        .224900
2.56855	        .226600
2.56983	        .226400
2.5711	        .228200
2.57238	        .229100
2.57365	        .230000
2.57493	        .231800
2.57621	        .232900
2.57749	        .232100
2.57877	        .232700
2.58005	        .234600
2.58134	        .237200
2.58262	        .237600
2.58391	        .236700
2.5852	        .238900
2.58649	        .242500
2.58778	        .242500
2.58907	        .242100
2.59036	        .242900
2.59166	        .246200
2.59295	        .246300
2.59425	        .246300
2.59555	        .247200
2.59685	        .248300
2.59815	        .246900
2.59945	        .247100
2.60076	        .247900
2.60206	        .249400
2.60337	        .251000
2.60467	        .251100
2.60598	        .247800
2.60729	        .246600
2.6086	        .246800
2.60992	        .246700
2.61123	        .248200
2.61255	        .249600
2.61386	        .248600
2.61518	        .248600
2.6165	        .247000
2.61782	        .248100
2.61914	        .249200
2.62047	        .250000
2.62179	        .249800
2.62312	        .248300
2.62445	        .248100
2.62577	        .249700
2.6271	        .249700
2.62844	        .250000
2.62977	        .251000
2.6311	        .251200
2.63244	        .248600
2.63378	        .247900
2.63511	        .247300
2.63645	        .247000
2.63779	        .246900
2.63914	        .246800
2.64048	        .247000
2.64183	        .248200
2.64317	        .246200
2.64452	        .244600
2.64587	        .244200
2.64722	        .244900
2.64857	        .245900
2.64992	        .245000
2.65128	        .243300
2.65264	        .243400
2.65399	        .242900
2.65535	        .240800
2.65671	        .239800
2.65807	        .241200
2.65944	        .239800
2.6608	        .238100
2.66217	        .236900
2.66353	        .237800
2.6649	        .238000
2.66627	        .236500
2.66764	        .235300
2.66902	        .235000
2.67039	        .233200
2.67177	        .231200
2.67314	        .229200
2.67452	        .228100
2.6759	        .226100
2.67728	        .223300
2.67867	        .220800
2.68005	        .219000
2.68144	        .217700
2.68282	        .215200
2.68421	        .210500
2.6856	        .205900
2.68699	        .200000
2.68839	        .194600
2.68978	        .188900
2.69118	        .180700
2.69257	        .173500
2.69397	        .168200
2.69537	        .163500
2.69677	        .160100
2.69818	        .156700
2.69958	        .153900
2.70099	        .151400
2.7024	        .151700
2.7038	        .151000
2.70522	        .150500
2.70663	        .151000
2.70804	        .151500
2.70945	        .148400
2.71087	        .146300
2.71229	        .144800
2.71371	        .144100
2.71513	        .140800
2.71655	        .136200
2.71797	        .131300
2.7194	        .128100
2.72083	        .126400
2.72225	        .125600
2.72368	        .123300
2.72512	        .121300
2.72655	        .118700
2.72798	        .115400
2.72942	        .114300
2.73086	        .114000
2.73229	        .111500
2.73373	        .109400
2.73518	        .107700
2.73662	        .104900
2.73806	        .103200
2.73951	        .102400
2.74096	        .100200
2.74241	        .098600
2.74386	        .098200
2.74531	        .097000
2.74677	        .094800
2.74822	        .094200
2.74968	        .092400
2.75114	        .091400
2.7526	        .091500
2.75406	        .091200
2.75552	        .087800
2.75699	        .085600
2.75845	        .085400
2.75992	        .085000
2.76139	        .083100
2.76286	        .083500
2.76433	        .084400
2.76581	        .083600
2.76728	        .083700
2.76876	        .085000
2.77024	        .084100
2.77172	        .082900
2.7732	        .082700
2.77469	        .083100
2.77617	        .082500
2.77766	        .081900
2.77915	        .079800
2.78064	        .078700
2.78213	        .081400
2.78362	        .081900
2.78512	        .080300
2.78661	        .079800
2.78811	        .080200
2.78961	        .082400
2.79111	        .082500
2.79262	        .080600
2.79412	        .080200
2.79563	        .081500
2.79714	        .081800
2.79864	        .082700
2.80016	        .081800
2.80167	        .081600
2.80318	        .082300
2.8047	        .082300
2.80622	        .081000
2.80774	        .081300
