Name:  Pale brown silty loam
Type:  Soils
Class:  Alfisol
Subclass:  Fragiboralf
Particle Size:  see additional information
Sample No.:  86P1994  
Owner:  JHU
Wavelength range:  All
Origin:  Bonner Co., Id. via USDA Soil Conservation service.

Description:  Pale brown silty loam (medial, typic).





Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  86P1994a.txt

3.2915	7.6479
3.2894	7.5962
3.2874	7.5107
3.2853	7.4504
3.2832	7.3933
3.2811	7.3618
3.2790	7.3330
3.2770	7.2905
3.2749	7.2624
3.2728	7.2075
3.2708	7.1487
3.2687	7.0757
3.2666	7.0593
3.2646	7.0578
3.2625	6.9953
3.2605	6.9245
3.2584	6.8816
3.2564	6.8706
3.2543	6.8410
3.2523	6.7768
3.2503	6.7434
3.2482	6.7261
3.2462	6.6592
3.2442	6.6118
3.2421	6.5747
3.2401	6.5134
3.2381	6.5054
3.2361	6.5029
3.2340	6.4531
3.2320	6.3872
3.2300	6.3616
3.2280	6.3293
3.2260	6.2778
3.2240	6.2300
3.2220	6.2253
3.2200	6.1936
3.2180	6.1347
3.2160	6.0889
3.2140	6.0657
3.2120	6.0532
3.2100	6.0090
3.2080	5.9641
3.2060	5.9387
3.2040	5.8884
3.2021	5.8100
3.2001	5.7890
3.1981	5.8027
3.1961	5.7568
3.1942	5.7173
3.1922	5.7131
3.1902	5.6814
3.1883	5.6177
3.1863	5.5801
3.1844	5.5354
3.1824	5.4953
3.1805	5.4704
3.1785	5.4372
3.1766	5.3811
3.1746	5.3804
3.1727	5.3330
3.1707	5.2739
3.1688	5.2654
