Name:  Very dark grayish brown silty loam
Type:  Soils
Class:  Inceptisol
Subclass:  Plaggept
Particle Size:  see additional information
Sample No.:  85P3707
Owner:  JHU
Wavelength range:  All
Origin:  Reelfoot Indian mound.  Obion Co., Tn. via USDA Soil 
Conservation service
Description:  Very dark grayish brown silty loam.





Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P3707a.txt

5.9451	3.1504
5.9383	3.2161
5.9315	3.2952
5.9247	3.3874
5.9180	3.5290
5.9112	3.6831
5.9045	3.8220
5.8978	3.9817
5.8911	4.1745
5.8844	4.3349
5.8777	4.5012
5.8711	4.7070
5.8644	4.8799
5.8578	5.0600
5.8512	5.2600
5.8446	5.4563
5.8380	5.6291
5.8314	5.7861
5.8249	5.9451
5.8184	6.1196
5.8118	6.2922
5.8053	6.4543
5.7988	6.6308
5.7923	6.7986
5.7859	6.9621
5.7794	7.1506
5.7730	7.2873
5.7666	7.4057
5.7602	7.5950
5.7538	7.7756
5.7474	7.9089
5.7410	8.0757
5.7347	8.2663
5.7283	8.4404
5.7220	8.5910
5.7157	8.7156
5.7094	8.8396
5.7031	8.9717
5.6969	9.0671
5.6906	9.1035
5.6844	9.1335
5.6782	9.1198
5.6719	9.0451
5.6657	8.9616
5.6596	8.8330
5.6534	8.6550
5.6472	8.4407
5.6411	8.2563
5.6349	8.1216
5.6288	8.0012
5.6227	7.9328
5.6166	7.8904
5.6106	7.8579
5.6045	7.8274
5.5984	7.8152
5.5924	7.8257
5.5864	7.8369
5.5804	7.8562
5.5744	7.9436
5.5684	8.0554
5.5624	8.1824
5.5564	8.3154
5.5505	8.4602
5.5445	8.6435
5.5386	8.8420
5.5327	9.0654
5.5268	9.2917
5.5209	9.5407
5.5151	9.8003
5.5092	10.0366
5.5033	10.2783
5.4975	10.5293
5.4917	10.7409
5.4859	10.9597
5.4801	11.1638
5.4743	11.3618
5.4685	11.5415
5.4628	11.6657
5.4570	11.7724
5.4513	11.8293
5.4455	11.8318
5.4398	11.7607
5.4341	11.6076
5.4284	11.3799
5.4228	11.1103
5.4171	10.7719
5.4114	10.3733
5.4058	9.9297
5.4002	9.4385
5.3945	8.9345
5.3889	8.4660
5.3833	8.0544
5.3778	7.6780
5.3722	7.3554
5.3666	7.1199
5.3611	6.9568
5.3555	6.8484
5.3500	6.7966
5.3445	6.8159
5.3390	6.8423
5.3335	6.8838
5.3280	6.9524
5.3225	7.0163
5.3171	7.0998
5.3116	7.2085
5.3062	7.3020
5.3008	7.4031
5.2954	7.5342
5.2900	7.6889
5.2846	7.9021
5.2792	8.1460
5.2738	8.3965
5.2684	8.6870
5.2631	8.9988
5.2578	9.3420
5.2524	9.7219
5.2471	10.1269
5.2418	10.5637
5.2365	11.0363
5.2312	11.5366
5.2260	12.0393
5.2207	12.4804
5.2154	12.8650
5.2102	13.1738
5.2050	13.4187
5.1998	13.6018
5.1945	13.7131
5.1893	13.7453
5.1842	13.7483
5.1790	13.7287
5.1738	13.7065
5.1686	13.7151
5.1635	13.7246
5.1584	13.6884
5.1532	13.6381
5.1481	13.6101
5.1430	13.5957
5.1379	13.5688
5.1328	13.5493
5.1277	13.5664
5.1227	13.6067
5.1176	13.6425
5.1126	13.6660
5.1075	13.6704
5.1025	13.6272
5.0975	13.5197
5.0925	13.3559
5.0875	13.1738
5.0825	13.0210
5.0775	12.8796
5.0726	12.7534
5.0676	12.6801
5.0627	12.6482
5.0577	12.6330
5.0528	12.6194
5.0479	12.6296
5.0430	12.6098
