Name:  Light yellowish brown interior dry gravelly loam
Type:  Soils
Class:  Aridisol
Subclass:  Calciorthid
Particle Size:  see additional information
Sample No.:  79P1536
Owner:  JHU
Wavelength range:  All
Origin:  8 km north of Deir El zor, Syria via USDA Soil Conservation 
service.
Description:  The parent material is alluvium from mixed material; alluvial fine 
material overlayed on gypsum sandy loam, uncultivated from terracettes in lake 
plains.  Light yellowish brown interior dry gravelly loam.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  79P1536a.txt
	
3.3906	11.7230
3.3883	11.6460
3.3861	11.5660
3.3839	11.4900
3.3817	11.4220
3.3795	11.3660
3.3773	11.3210
3.3751	11.2830
3.3729	11.2470
3.3707	11.2040
3.3685	11.1500
3.3663	11.0820
3.3641	11.0000
3.3620	10.9060
3.3598	10.8060
3.3576	10.7090
3.3554	10.6250
3.3533	10.5620
3.3511	10.5310
3.3489	10.5370
3.3468	10.5830
3.3446	10.6650
3.3425	10.7720
3.3403	10.8920
3.3382	11.0060
3.3360	11.1020
3.3339	11.1700
3.3317	11.2060
3.3296	11.2120
3.3274	11.1940
3.3253	11.1590
3.3232	11.1130
3.3210	11.0620
3.3189	11.0050
3.3168	10.9450
3.3147	10.8800
3.3126	10.8130
3.3104	10.7430
3.3083	10.6730
3.3062	10.6040
3.3041	10.5380
3.3020	10.4740
3.2999	10.4120
3.2978	10.3500
3.2957	10.2890
3.2936	10.2260
