Name:  Brown loamy fine sand
Type:  Soils
Class:  Alfisol
Subclass:  Haplustalf
Particle size:  see additional information
Sample No.:  87P3468
Owner:  JHU 
Wavelength range:  All
Origin:  Edwards Co., Ks. via USDA Soil Conservation service.

Description:  The parent material is eolian sand from upland slope in 
level or undulating plains.  Brown loamy fine sand (sandy, mixed, thermic 
psammentic).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P3468a.txt

3.8007	21.5317
3.7979	21.4819
3.7951	21.4284
3.7924	21.3708
3.7896	21.3107
3.7868	21.2490
3.7841	21.1860
3.7813	21.1224
3.7785	21.0566
3.7758	20.9876
3.7730	20.9138
3.7703	20.8364
3.7676	20.7582
3.7648	20.6828
3.7621	20.6113
3.7594	20.5449
3.7566	20.4829
3.7539	20.4230
3.7512	20.3630
3.7485	20.3012
3.7458	20.2390
3.7431	20.1772
3.7404	20.1171
3.7377	20.0593
3.7350	20.0051
3.7323	19.9558
3.7296	19.9116
3.7269	19.8728
3.7242	19.8398
3.7216	19.8122
3.7189	19.7888
3.7162	19.7673
3.7136	19.7460
3.7109	19.7248
3.7083	19.7028
3.7056	19.6794
3.7030	19.6542
3.7003	19.6271
3.6977	19.5993
3.6950	19.5717
3.6924	19.5456
3.6898	19.5207
3.6872	19.4963
3.6845	19.4694
3.6819	19.4374
3.6793	19.3996
3.6767	19.3571
3.6741	19.3132
3.6715	19.2707
3.6689	19.2324
3.6663	19.1982
3.6637	19.1650
3.6611	19.1303
3.6585	19.0910
3.6560	19.0449
3.6534	18.9929
3.6508	18.9362
3.6482	18.8769
3.6457	18.8171
3.6431	18.7573
3.6406	18.6984
3.6380	18.6406
3.6355	18.5844
3.6329	18.5292
3.6304	18.4741
3.6278	18.4187
3.6253	18.3623
3.6227	18.3042
3.6202	18.2453
3.6177	18.1860
3.6152	18.1262
3.6127	18.0649
3.6101	18.0007
3.6076	17.9338
3.6051	17.8652
3.6026	17.7963
3.6001	17.7287
3.5976	17.6640
3.5951	17.6013
3.5926	17.5385
3.5901	17.4743
3.5876	17.4069
3.5852	17.3359
3.5827	17.2617
3.5802	17.1850
3.5777	17.1075
3.5753	17.0307
3.5728	16.9536
3.5704	16.8772
3.5679	16.8007
3.5654	16.7229
3.5630	16.6423
3.5605	16.5603
3.5581	16.4763
3.5557	16.3901
3.5532	16.3017
3.5508	16.2111
3.5484	16.1175
3.5459	16.0205
3.5435	15.9209
3.5411	15.8195
3.5387	15.7170
3.5363	15.6110
3.5338	15.5002
3.5314	15.3816
3.5290	15.2512
3.5266	15.1035
3.5242	14.9345
3.5218	14.7387
3.5195	14.5131
3.5171	14.2605
3.5147	13.9936
3.5123	13.7343
3.5099	13.5085
3.5075	13.3383
3.5052	13.2363
3.5028	13.1992
3.5004	13.2111
3.4981	13.2480
3.4957	13.2854
3.4934	13.3049
3.4910	13.2971
3.4887	13.2592
3.4863	13.1958
3.4840	13.1164
3.4816	13.0305
3.4793	12.9472
3.4770	12.8720
3.4746	12.8066
3.4723	12.7490
3.4700	12.6936
3.4677	12.6355
3.4653	12.5720
3.4630	12.5027
3.4607	12.4294
3.4584	12.3547
3.4561	12.2790
3.4538	12.2025
3.4515	12.1230
3.4492	12.0385
3.4469	11.9470
3.4446	11.8464
3.4423	11.7351
3.4400	11.6098
3.4378	11.4680
3.4355	11.3066
3.4332	11.1296
3.4309	10.9458
3.4287	10.7683
3.4264	10.6113
3.4241	10.4878
3.4219	10.4023
3.4196	10.3537
3.4174	10.3342
3.4151	10.3342
3.4129	10.3464
3.4106	10.3650
3.4084	10.3882
3.4061	10.4155
3.4039	10.4455
3.4017	10.4765
3.3994	10.5051
3.3972	10.5278
3.3950	10.5417
3.3928	10.5447
3.3906	10.5371
3.3883	10.5207
3.3861	10.4997
3.3839	10.4780
3.3817	10.4597
3.3795	10.4482
3.3773	10.4441
3.3751	10.4465
3.3729	10.4531
3.3707	10.4619
3.3685	10.4712
3.3663	10.4817
3.3641	10.4936
3.3620	10.5080
3.3598	10.5249
3.3576	10.5424
3.3554	10.5593
3.3533	10.5737
3.3511	10.5854
3.3489	10.5935
3.3468	10.5967
3.3446	10.5930
3.3425	10.5815
3.3403	10.5610
3.3382	10.5324
3.3360	10.4992
3.3339	10.4634
3.3317	10.4265
3.3296	10.3886
3.3274	10.3493
3.3253	10.3081
3.3232	10.2654
3.3210	10.2229
3.3189	10.1804
3.3168	10.1362
3.3147	10.0866
3.3126	10.0290
3.3104	9.9629
3.3083	9.8896
3.3062	9.8135
3.3041	9.7387
3.3020	9.6682
3.2999	9.6024
3.2978	9.5398
3.2957	9.4785
3.2936	9.4172
3.2915	9.3552
3.2894	9.2927
3.2874	9.2295
3.2853	9.1667
3.2832	9.1050
3.2811	9.0442
3.2790	8.9851
3.2770	8.9275
3.2749	8.8694
3.2728	8.8100
3.2708	8.7488
3.2687	8.6850
3.2666	8.6203
3.2646	8.5561
3.2625	8.4953
3.2605	8.4389
3.2584	8.3857
3.2564	8.3342
3.2543	8.2822
3.2523	8.2274
3.2503	8.1689
3.2482	8.1089
3.2462	8.0500
3.2442	7.9949
3.2421	7.9443
3.2401	7.8987
3.2381	7.8557
3.2361	7.8122
3.2340	7.7663
3.2320	7.7175
3.2300	7.6660
3.2280	7.6116
3.2260	7.5559
3.2240	7.5007
3.2220	7.4477
3.2200	7.3972
3.2180	7.3511
3.2160	7.3091
3.2140	7.2698
3.2120	7.2297
3.2100	7.1877
3.2080	7.1423
3.2060	7.0932
