Name:  Dark yellowish brown silty clay 
Type:  Soils
Class:  Aridisol
Subclass:  Salorthid
Particle Size:  see additional information
Sample No.:  89P1805
Owner:  JHU
Wavelength range:  All
Origin:  San Bernadino Co., Ca.,China Lake via USDA Soil Conservation 
service.
Description: Parent material: alluvium over lacustrine material.  
Physiography: playa.  Dark yellowish brown silty clay  (Clayey over loamy, 
mixed thermic Typic Salorthid).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  89P1805a.txt

4.0156	16.8540
4.0125	16.5870
4.0094	16.2880
4.0063	15.9570
4.0032	15.6050
4.0001	15.2430
3.9970	14.8870
3.9940	14.5540
3.9909	14.2610
3.9878	14.0230
3.9847	13.8490
3.9817	13.7410
3.9786	13.6930
3.9756	13.6970
3.9725	13.7440
3.9695	13.8270
3.9665	13.9440
3.9634	14.0990
3.9604	14.2950
3.9574	14.5350
3.9544	14.8110
3.9513	15.1150
3.9483	15.4300
3.9453	15.7380
3.9423	16.0190
3.9393	16.2590
3.9363	16.4510
3.9333	16.5960
3.9304	16.7010
3.9274	16.7790
3.9244	16.8430
3.9214	16.9010
3.9185	16.9560
3.9155	17.0090
3.9126	17.0550
3.9096	17.0920
3.9067	17.1190
3.9037	17.1380
3.9008	17.1520
3.8979	17.1630
3.8949	17.1740
3.8920	17.1850
3.8891	17.1950
3.8862	17.2030
3.8833	17.2090
3.8804	17.2100
3.8775	17.2070
3.8746	17.1980
3.8717	17.1860
3.8688	17.1720
3.8659	17.1600
3.8630	17.1520
3.8601	17.1490
3.8573	17.1510
3.8544	17.1540
3.8515	17.1600
3.8487	17.1660
3.8458	17.1750
3.8430	17.1910
3.8401	17.2150
3.8373	17.2480
3.8344	17.2920
3.8316	17.3440
3.8288	17.4010
3.8259	17.4590
3.8231	17.5150
3.8203	17.5670
3.8175	17.6140
3.8147	17.6560
3.8119	17.6950
3.8091	17.7320
3.8063	17.7690
3.8035	17.8030
3.8007	17.8350
3.7979	17.8610
3.7951	17.8790
3.7924	17.8880
3.7896	17.8880
3.7868	17.8810
3.7841	17.8670
3.7813	17.8490
3.7785	17.8280
3.7758	17.8050
3.7730	17.7780
3.7703	17.7470
3.7676	17.7140
3.7648	17.6790
3.7621	17.6440
3.7594	17.6090
3.7566	17.5750
3.7539	17.5380
3.7512	17.4980
3.7485	17.4540
3.7458	17.4050
3.7431	17.3560
3.7404	17.3090
3.7377	17.2660
3.7350	17.2270
3.7323	17.1910
3.7296	17.1550
3.7269	17.1160
3.7242	17.0730
3.7216	17.0230
3.7189	16.9710
3.7162	16.9170
3.7136	16.8660
3.7109	16.8200
3.7083	16.7770
3.7056	16.7360
3.7030	16.6950
3.7003	16.6520
3.6977	16.6040
3.6950	16.5550
3.6924	16.5060
3.6898	16.4600
3.6872	16.4150
3.6845	16.3720
3.6819	16.3290
3.6793	16.2840
3.6767	16.2360
3.6741	16.1860
3.6715	16.1350
3.6689	16.0850
3.6663	16.0360
3.6637	15.9890
3.6611	15.9440
3.6585	15.9010
3.6560	15.8590
3.6534	15.8160
3.6508	15.7710
3.6482	15.7230
3.6457	15.6730
3.6431	15.6210
3.6406	15.5680
3.6380	15.5160
3.6355	15.4660
3.6329	15.4170
3.6304	15.3680
3.6278	15.3190
3.6253	15.2670
3.6227	15.2140
3.6202	15.1590
3.6177	15.1050
3.6152	15.0520
3.6127	14.9990
3.6101	14.9450
3.6076	14.8910
3.6051	14.8330
3.6026	14.7740
3.6001	14.7130
3.5976	14.6540
3.5951	14.5970
3.5926	14.5430
3.5901	14.4900
3.5876	14.4340
3.5852	14.3750
3.5827	14.3120
3.5802	14.2450
3.5777	14.1770
3.5753	14.1100
3.5728	14.0430
3.5704	13.9770
3.5679	13.9120
3.5654	13.8480
3.5630	13.7860
3.5605	13.7270
3.5581	13.6700
3.5557	13.6120
3.5532	13.5540
3.5508	13.4920
3.5484	13.4260
3.5459	13.3560
3.5435	13.2840
3.5411	13.2100
3.5387	13.1340
3.5363	13.0570
3.5338	12.9780
3.5314	12.8940
3.5290	12.8040
3.5266	12.7070
3.5242	12.6030
3.5218	12.4920
3.5195	12.3790
3.5171	12.2670
3.5147	12.1580
3.5123	12.0550
3.5099	11.9580
3.5075	11.8670
3.5052	11.7820
3.5028	11.7030
3.5004	11.6290
3.4981	11.5600
3.4957	11.4940
3.4934	11.4300
3.4910	11.3670
3.4887	11.3020
3.4863	11.2360
3.4840	11.1680
3.4816	11.1040
3.4793	11.0510
3.4770	11.0120
3.4746	10.9950
3.4723	11.0000
3.4700	11.0230
3.4677	11.0570
3.4653	11.0920
3.4630	11.1190
3.4607	11.1330
3.4584	11.1330
3.4561	11.1200
3.4538	11.0980
3.4515	11.0680
3.4492	11.0320
3.4469	10.9910
3.4446	10.9480
3.4423	10.9040
3.4400	10.8580
3.4378	10.8100
3.4355	10.7590
3.4332	10.7050
3.4309	10.6460
3.4287	10.5850
3.4264	10.5230
3.4241	10.4620
3.4219	10.4030
3.4196	10.3480
3.4174	10.2990
3.4151	10.2570
3.4129	10.2230
3.4106	10.1960
3.4084	10.1760
3.4061	10.1600
3.4039	10.1470
3.4017	10.1330
3.3994	10.1190
3.3972	10.1030
3.3950	10.0820
3.3928	10.0580
3.3906	10.0290
3.3883	9.9960
3.3861	9.9586
3.3839	9.9186
3.3817	9.8776
3.3795	9.8366
3.3773	9.7968
3.3751	9.7597
3.3729	9.7251
3.3707	9.6929
3.3685	9.6609
3.3663	9.6270
3.3641	9.5903
3.3620	9.5501
3.3598	9.5077
3.3576	9.4658
3.3554	9.4281
3.3533	9.3987
3.3511	9.3793
3.3489	9.3696
3.3468	9.3670
3.3446	9.3680
3.3425	9.3687
3.3403	9.3658
3.3382	9.3590
3.3360	9.3500
3.3339	9.3395
3.3317	9.3270
3.3296	9.3109
3.3274	9.2896
3.3253	9.2626
3.3232	9.2297
3.3210	9.1937
3.3189	9.1577
3.3168	9.1238
3.3147	9.0911
3.3126	9.0587
3.3104	9.0258
3.3083	8.9909
3.3062	8.9531
3.3041	8.9126
3.3020	8.8709
3.2999	8.8297
3.2978	8.7901
3.2957	8.7544
3.2936	8.7233
3.2915	8.6961
3.2894	8.6698
3.2874	8.6424
3.2853	8.6116
3.2832	8.5768
3.2811	8.5389
3.2790	8.4996
