Name:  Grayish brown loam
Type:  Soils
Class:  Mollisol
Subclass:  Haplustall
Particle Size:  see additional information
Sample No.:  85P4569
Owner:  JHU
Wavelength range:  All
Origin:  Cheyenne Co., Nb. via USDA Soil Conservation service.

Description:  Parent material is residuum from mixed-calcareous material.  
Grayish brown loam (loamy-skeletal, mixed, mesic lithic).  
Physiography: upland slope in level or undulating uplands.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P4569a.txt

5.1532	9.7530
5.1481	9.7676
5.1430	9.7885
5.1379	9.8156
5.1328	9.8473
5.1277	9.8821
5.1227	9.9142
5.1176	9.9375
5.1126	9.9502
5.1075	9.9538
5.1025	9.9516
5.0975	9.9453
5.0925	9.9367
5.0875	9.9269
5.0825	9.9154
5.0775	9.9045
5.0726	9.8973
5.0676	9.8960
5.0627	9.9006
5.0577	9.9115
5.0528	9.9259
5.0479	9.9405
5.0430	9.9560
5.0380	9.9719
5.0332	9.9884
5.0283	10.0057
5.0234	10.0234
5.0185	10.0428
5.0137	10.0643
5.0088	10.0901
5.0040	10.1251
4.9992	10.1723
4.9944	10.2340
4.9896	10.3106
4.9848	10.4021
4.9800	10.5082
4.9752	10.6263
4.9704	10.7540
4.9657	10.8882
4.9609	11.0221
4.9562	11.1479
4.9514	11.2600
4.9467	11.3564
4.9420	11.4391
4.9373	11.5136
4.9326	11.5903
4.9279	11.6808
4.9232	11.7927
4.9186	11.9311
4.9139	12.0977
4.9092	12.2884
4.9046	12.4958
4.9000	12.7099
4.8953	12.9233
4.8907	13.1302
4.8861	13.3247
4.8815	13.5034
4.8769	13.6676
4.8723	13.8180
4.8678	13.9544
4.8632	14.0758
4.8586	14.1828
4.8541	14.2779
4.8495	14.3607
4.8450	14.4326
4.8405	14.4995
4.8360	14.5636
4.8315	14.6256
4.8270	14.6839
4.8225	14.7369
4.8180	14.7848
4.8135	14.8270
4.8090	14.8639
4.8046	14.8975
4.8001	14.9290
4.7957	14.9596
4.7913	14.9886
4.7868	15.0153
4.7824	15.0426
4.7780	15.0717
4.7736	15.1018
4.7692	15.1323
4.7648	15.1627
4.7605	15.1916
4.7561	15.2170
4.7517	15.2396
4.7474	15.2614
4.7431	15.2822
4.7387	15.2984
4.7344	15.3078
4.7301	15.3071
4.7258	15.2922
4.7215	15.2617
4.7172	15.2172
4.7129	15.1622
4.7086	15.0991
4.7043	15.0306
4.7000	14.9608
4.6958	14.8932
4.6915	14.8346
4.6873	14.7927
4.6831	14.7721
4.6788	14.7741
4.6746	14.7988
4.6704	14.8424
4.6662	14.9012
4.6620	14.9726
4.6578	15.0559
4.6536	15.1510
4.6495	15.2544
4.6453	15.3604
4.6411	15.4666
4.6370	15.5704
4.6328	15.6695
4.6287	15.7625
4.6246	15.8463
4.6205	15.9196
4.6163	15.9836
4.6122	16.0394
4.6081	16.0896
4.6040	16.1378
4.6000	16.1853
4.5959	16.2314
4.5918	16.2744
4.5877	16.3149
4.5837	16.3565
4.5796	16.4002
4.5756	16.4449
4.5716	16.4892
4.5675	16.5304
4.5635	16.5664
4.5595	16.5971
4.5555	16.6231
4.5515	16.6466
4.5475	16.6682
4.5435	16.6865
4.5395	16.6993
4.5356	16.7056
4.5316	16.7055
4.5276	16.6987
4.5237	16.6845
4.5198	16.6648
4.5158	16.6420
4.5119	16.6189
4.5080	16.5980
4.5040	16.5822
4.5001	16.5737
4.4962	16.5721
4.4923	16.5766
4.4884	16.5871
4.4846	16.6037
4.4807	16.6269
4.4768	16.6555
4.4730	16.6900
4.4691	16.7323
4.4652	16.7833
4.4614	16.8437
4.4576	16.9127
4.4537	16.9888
4.4499	17.0670
4.4461	17.1411
4.4423	17.2108
4.4385	17.2762
4.4347	17.3416
4.4309	17.4090
4.4271	17.4786
4.4233	17.5488
4.4196	17.6160
4.4158	17.6799
4.4120	17.7437
4.4083	17.8095
4.4045	17.8828
4.4008	17.9660
4.3971	18.0564
4.3934	18.1485
4.3896	18.2387
4.3859	18.3254
4.3822	18.4085
4.3785	18.4865
4.3748	18.5628
4.3711	18.6398
4.3674	18.7155
4.3638	18.7877
4.3601	18.8554
4.3564	18.9200
4.3528	18.9820
4.3491	19.0428
4.3455	19.1037
4.3418	19.1630
4.3382	19.2185
4.3346	19.2687
4.3310	19.3143
4.3273	19.3577
4.3237	19.4014
4.3201	19.4467
4.3165	19.4920
4.3129	19.5334
4.3094	19.5688
4.3058	19.5981
4.3022	19.6248
4.2986	19.6495
4.2951	19.6688
4.2915	19.6778
4.2880	19.6724
4.2844	19.6522
4.2809	19.6221
4.2774	19.5983
4.2738	19.6009
4.2703	19.6389
4.2668	19.7147
4.2633	19.8216
4.2598	19.9439
4.2563	20.0637
4.2528	20.1657
4.2493	20.2454
4.2458	20.3057
4.2424	20.3511
4.2389	20.3914
4.2354	20.4346
4.2320	20.4842
4.2285	20.5405
4.2251	20.6007
4.2216	20.6625
4.2182	20.7254
4.2148	20.7862
4.2113	20.8431
4.2079	20.8966
4.2045	20.9455
4.2011	20.9890
4.1977	21.0272
4.1943	21.0632
4.1909	21.1010
4.1875	21.1395
4.1841	21.1782
4.1808	21.2181
4.1774	21.2558
4.1740	21.2880
4.1707	21.3138
4.1673	21.3361
4.1640	21.3588
4.1606	21.3819
4.1573	21.4063
4.1540	21.4302
4.1506	21.4498
4.1473	21.4630
4.1440	21.4693
4.1407	21.4720
4.1374	21.4754
4.1341	21.4824
4.1308	21.4918
4.1275	21.4993
4.1242	21.5036
4.1209	21.5048
4.1177	21.5023
4.1144	21.4977
4.1111	21.4938
4.1079	21.4908
4.1046	21.4855
4.1014	21.4752
4.0981	21.4608
4.0949	21.4435
4.0917	21.4230
4.0884	21.3989
4.0852	21.3718
4.0820	21.3419
4.0788	21.3093
4.0756	21.2719
4.0724	21.2275
4.0692	21.1761
4.0660	21.1149
4.0628	21.0421
4.0596	20.9576
4.0565	20.8596
4.0533	20.7452
4.0501	20.6093
4.0470	20.4476
4.0438	20.2622
4.0407	20.0559
4.0375	19.8372
4.0344	19.6156
4.0312	19.3948
4.0281	19.1739
4.0250	18.9470
4.0218	18.6993
4.0187	18.4154
4.0156	18.0826
4.0125	17.6948
4.0094	17.2553
4.0063	16.7763
4.0032	16.2760
4.0001	15.7766
3.9970	15.2982
3.9940	14.8632
3.9909	14.4941
3.9878	14.2046
3.9847	14.0052
3.9817	13.8980
3.9786	13.8713
3.9756	13.9047
3.9725	13.9804
3.9695	14.0886
3.9665	14.2277
3.9634	14.4013
3.9604	14.6182
3.9574	14.8853
3.9544	15.2030
3.9513	15.5627
3.9483	15.9491
3.9453	16.3368
3.9423	16.6938
3.9393	16.9907
3.9363	17.2075
3.9333	17.3435
3.9304	17.4177
3.9274	17.4571
3.9244	17.4863
3.9214	17.5184
3.9185	17.5521
3.9155	17.5810
3.9126	17.6016
3.9096	17.6131
3.9067	17.6187
3.9037	17.6219
3.9008	17.6258
3.8979	17.6280
3.8949	17.6230
3.8920	17.6121
3.8891	17.5998
3.8862	17.5861
3.8833	17.5700
3.8804	17.5517
3.8775	17.5321
3.8746	17.5069
3.8717	17.4757
3.8688	17.4438
3.8659	17.4144
3.8630	17.3900
3.8601	17.3725
3.8573	17.3619
3.8544	17.3571
3.8515	17.3523
3.8487	17.3468
3.8458	17.3452
3.8430	17.3527
3.8401	17.3796
3.8373	17.4340
3.8344	17.5133
3.8316	17.6079
3.8288	17.7028
3.8259	17.7883
3.8231	17.8596
3.8203	17.9176
3.8175	17.9681
3.8147	18.0208
3.8119	18.0773
3.8091	18.1337
3.8063	18.1884
3.8035	18.2452
3.8007	18.3042
3.7979	18.3596
3.7951	18.4038
3.7924	18.4343
3.7896	18.4454
3.7868	18.4320
3.7841	18.3991
3.7813	18.3586
3.7785	18.3164
3.7758	18.2720
3.7730	18.2251
3.7703	18.1762
3.7676	18.1210
3.7648	18.0572
3.7621	17.9862
3.7594	17.9115
3.7566	17.8353
3.7539	17.7598
3.7512	17.6881
3.7485	17.6198
3.7458	17.5521
3.7431	17.4852
3.7404	17.4205
3.7377	17.3580
3.7350	17.2982
3.7323	17.2414
3.7296	17.1871
3.7269	17.1312
3.7242	17.0683
3.7216	16.9984
3.7189	16.9246
3.7162	16.8492
3.7136	16.7744
3.7109	16.7034
3.7083	16.6403
3.7056	16.5821
3.7030	16.5241
3.7003	16.4650
3.6977	16.4027
3.6950	16.3360
3.6924	16.2647
3.6898	16.1920
3.6872	16.1215
3.6845	16.0520
3.6819	15.9824
3.6793	15.9132
3.6767	15.8440
3.6741	15.7760
3.6715	15.7099
3.6689	15.6469
3.6663	15.5869
3.6637	15.5273
3.6611	15.4642
3.6585	15.3958
3.6560	15.3230
3.6534	15.2474
3.6508	15.1727
3.6482	15.1024
3.6457	15.0378
3.6431	14.9774
3.6406	14.9156
3.6380	14.8496
3.6355	14.7779
3.6329	14.7015
3.6304	14.6244
3.6278	14.5516
3.6253	14.4852
3.6227	14.4231
