Name:  Black loam
Type:  Soils
Class:  Mollisol
Subclass:  Cryoboroll
Particle Size:  see additional information
Sample No.:  85P4663
Owner:  JHU
Wavelength range:  All
Origin:  Gunnison Co., Co. via USDA Soil Conservation service.

Description: Parent material is local colluvium from igneous andesitic 
material.  Black loam, (fine-loamy, mixed pachic).  
Physiography: hillside or mountainside in mountains or deeply dissected plateaus.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P4663a.txt
	
5.1635	10.9309
5.1584	10.9336
5.1532	10.9536
5.1481	10.9752
5.1430	10.9900
5.1379	11.0204
5.1328	11.0627
5.1277	11.0998
5.1227	11.1191
5.1176	11.1364
5.1126	11.1716
5.1075	11.1905
5.1025	11.1996
5.0975	11.2135
5.0925	11.2304
5.0875	11.2429
5.0825	11.2417
5.0775	11.2441
5.0726	11.2599
5.0676	11.2723
5.0627	11.2852
5.0577	11.3104
5.0528	11.3403
5.0479	11.3582
5.0430	11.3822
5.0380	11.4054
5.0332	11.4094
5.0283	11.4106
5.0234	11.4256
5.0185	11.4309
5.0137	11.4463
5.0088	11.4757
5.0040	11.4979
4.9992	11.5293
4.9944	11.5694
4.9896	11.5984
4.9848	11.6439
4.9800	11.7060
4.9752	11.7663
4.9704	11.8186
4.9657	11.8675
4.9609	11.9258
4.9562	11.9858
4.9514	12.0228
4.9467	12.0497
4.9420	12.0877
4.9373	12.1231
4.9326	12.1511
4.9279	12.1755
4.9232	12.2140
4.9186	12.2669
4.9139	12.3200
4.9092	12.3839
4.9046	12.4489
4.9000	12.5102
4.8953	12.5720
4.8907	12.6246
4.8861	12.6794
4.8815	12.7243
4.8769	12.7588
4.8723	12.7976
4.8678	12.8380
4.8632	12.8552
4.8586	12.8746
4.8541	12.8899
4.8495	12.9157
4.8450	12.9394
4.8405	12.9499
4.8360	12.9514
4.8315	12.9576
4.8270	12.9798
4.8225	13.0047
4.8180	13.0256
4.8135	13.0421
4.8090	13.0505
4.8046	13.0691
4.8001	13.0866
4.7957	13.0979
4.7913	13.1134
4.7868	13.1223
4.7824	13.1289
4.7780	13.1347
4.7736	13.1493
4.7692	13.1655
4.7648	13.1734
4.7605	13.1928
4.7561	13.2086
4.7517	13.2031
4.7474	13.1956
4.7431	13.2105
4.7387	13.2230
4.7344	13.2352
4.7301	13.2490
4.7258	13.2677
4.7215	13.3012
4.7172	13.3163
4.7129	13.2938
4.7086	13.2906
4.7043	13.2953
4.7000	13.3005
4.6958	13.3098
4.6915	13.3205
4.6873	13.3304
4.6831	13.3436
4.6788	13.3715
4.6746	13.3938
4.6704	13.4239
4.6662	13.4386
4.6620	13.4536
4.6578	13.4635
4.6536	13.4782
4.6495	13.4967
4.6453	13.5313
4.6411	13.5647
4.6370	13.5981
4.6328	13.6445
4.6287	13.6771
4.6246	13.7041
4.6205	13.7321
4.6163	13.7541
4.6122	13.7838
4.6081	13.8079
4.6040	13.8269
4.6000	13.8645
4.5959	13.9029
4.5918	13.9348
4.5877	13.9577
4.5837	13.9807
4.5796	14.0103
4.5756	14.0374
4.5716	14.0527
4.5675	14.0814
4.5635	14.1130
4.5595	14.1314
4.5555	14.1439
4.5515	14.1641
4.5475	14.1936
4.5435	14.2249
4.5395	14.2411
4.5356	14.2620
4.5316	14.2840
4.5276	14.2835
4.5237	14.2949
4.5197	14.3199
4.5158	14.3224
4.5119	14.3183
4.5080	14.3288
4.5040	14.3475
4.5001	14.3610
4.4962	14.3779
4.4923	14.3979
4.4884	14.4233
4.4846	14.4422
4.4807	14.4513
4.4768	14.4736
4.4730	14.4975
4.4691	14.5046
4.4652	14.5302
4.4614	14.5686
4.4576	14.6152
4.4537	14.6558
4.4499	14.6760
4.4461	14.6925
4.4423	14.7219
4.4385	14.7523
4.4347	14.7872
4.4309	14.8267
4.4271	14.8523
4.4233	14.8647
4.4196	14.8762
4.4158	14.9045
4.4120	14.9439
4.4083	14.9611
4.4045	14.9870
4.4008	15.0133
4.3971	15.0304
4.3934	15.0614
4.3896	15.0863
4.3859	15.0927
4.3822	15.0975
4.3785	15.1134
4.3748	15.1438
4.3711	15.1832
4.3674	15.1971
4.3638	15.2098
4.3601	15.2552
4.3564	15.2913
4.3528	15.2940
4.3491	15.2880
4.3455	15.3133
4.3418	15.3337
4.3382	15.3397
4.3346	15.3602
4.3310	15.3818
4.3273	15.3925
4.3237	15.3980
4.3201	15.4122
4.3165	15.4364
4.3129	15.4555
4.3094	15.4419
