Name:  Hornblende Ca2(Fe+2,Mg)4Al(Si7Al)O22(OH,F)2
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Amphibole Group)
Particle Size:  Fine  (Less than 2 micrometers)
Sample No.: hornblen.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Gore Mountain, New York via Hunt and Salisbury Collection, 
#177B (Purchased from Ward's Natural Science Establishment)
Description:  The specimen was a cluster of very dark green single 
crystals half a centimeter to one centimeter in length and almost as 
wide.



Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  hornbl1a.txt

4.608135664	99.3733
4.604043086	99.3664
4.599957772	99.387
4.595879702	99.4109
4.591808856	99.4153
4.587745215	99.405
4.58368876	99.405
4.57964157	99.3699
4.575599426	99.3767
4.571564412	99.3855
4.567536508	99.404
4.563515696	99.3596
4.559501956	99.3537
4.555495271	99.3518
4.551495621	99.3406
4.547502989	99.3049
4.543517355	99.3162
4.539538701	99.3191
4.535567009	99.3142
4.531602261	99.303
4.527644439	99.3157
4.523693523	99.323
4.519749497	99.3352
4.515814382	99.303
4.511884077	99.2961
4.507960608	99.2898
4.504043956	99.3005
4.500134104	99.2771
4.496231034	99.2732
4.492334729	99.2703
4.488445171	99.282
4.484562343	99.2703
4.480686226	99.2244
4.476816804	99.2214
4.47295406	99.2346
4.469097975	99.2292
4.465248534	99.2107
4.461405718	99.219
4.45756951	99.2209
4.453739894	99.2185
4.449916853	99.2087
4.44610037	99.1941
4.442290427	99.199
4.438487009	99.1912
4.434690097	99.1702
4.430899676	99.1755
4.42711573	99.2038
4.423340197	99.1931
4.419569145	99.1941
4.415804518	99.1858
4.412046298	99.1584
4.408294471	99.1804
4.404549018	99.1819
4.400809925	99.2014
4.397077175	99.1838
4.393350752	99.1858
4.389630639	99.1682
4.385916821	99.1492
4.382209282	99.176
4.378508006	99.1858
4.374812977	99.1843
4.371124179	99.1858
4.367441596	99.176
4.363765214	99.1941
4.360095015	99.1746
4.356430985	99.1448
4.352773108	99.114
4.349121369	99.0842
4.345475751	99.0823
4.341836241	99.0945
4.338202821	99.0945
4.334577357	99.0808
4.330956072	99.0705
4.327340832	99.0432
4.323731623	99.0393
4.320128429	99.0647
4.316531235	99.0666
4.312940028	99.0251
4.30935479	99.032
4.305775509	99.0261
4.302202168	99.0212
4.298634754	99.0593
4.29507325	99.0466
4.291517644	99.0183
4.287967919	99.0124
4.284424062	99.0193
4.280886058	99.0173
4.277353892	99.0159
4.27382755	99.0203
4.270307018	99.01
4.266792281	98.9988
4.263283325	99.0022
4.259780136	99.0261
4.256282699	99.0237
4.252791	99.0076
4.249306832	99.0173
4.245826565	99.0515
4.242351994	99.0354
4.238883105	99.053
4.235419885	99.051
4.231962319	99.0456
4.228510393	99.0476
4.225064094	99.0583
4.221623408	99.0276
4.218188322	98.9885
4.214758821	98.9905
4.211334892	98.9753
4.207916522	98.9382
4.204503696	98.9538
4.201096402	98.967
4.197694626	98.9661
4.194300114	98.9177
4.190909331	98.9275
4.187524026	98.947
4.184144186	98.9372
4.180769797	98.948
4.177400846	98.9597
4.174037321	98.947
4.170679208	98.991
4.167326493	98.9841
4.163979165	98.9656
4.16063721	98.9612
4.157300615	98.9792
4.153969367	98.9871
4.150643454	98.9421
4.147322862	98.948
4.144007579	98.967
4.140697592	98.9597
4.137392888	98.947
4.134093455	98.9538
4.130799281	98.9402
4.127510352	98.9372
4.124226656	98.9182
4.120948181	98.8904
4.117674914	98.9333
4.114408535	98.949
4.111145645	98.9455
4.107887925	98.9451
4.104635365	98.9392
4.101387951	98.9377
4.098145671	98.9451
4.094908514	98.9255
4.091676466	98.9148
4.088449517	98.9573
4.085227653	98.9792
4.082010864	98.9636
4.078799136	98.9455
4.075592459	98.9441
4.072390819	98.9475
4.069194206	98.9197
4.066002607	98.9236
4.062816011	98.9382
4.059634406	98.9197
4.056457779	98.9079
4.053286121	98.9241
4.050119418	98.9314
4.046957659	98.9099
4.043800833	98.9119
4.040648928	98.8464
4.037503563	98.8122
4.034361463	98.8616
4.031224251	98.9099
4.028091913	98.8982
4.024964439	98.8542
4.021841819	98.8494
4.018724039	98.8577
4.01561109	98.8269
4.012502959	98.8054
4.009399637	98.7888
4.00630111	98.7761
4.00320737	98.7717
4.000118404	98.7478
3.997034201	98.6975
3.99395475	98.6902
3.990880041	98.6746
3.987810062	98.6619
3.984744803	98.658
