Name:  Augite (Ca,Na)(Mg,Fe,Al,Ti)(Si,Al)2O6
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Pyroxene Group - single chain)
Particle Size:  Coarse  (74-250 Micrometers)
Sample No.:  augite.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Rozier, near Gorges du Tarn, Tarn, France via 
the Smithsonian (sample no. NMNH 120049). 
Description:  The sample was a single 22.31 g portion of a single 
black crystal, displaying some veining with dolomite, which was 
completely removed by a warm acid bath.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  augite2a.txt

5.659556189	5.4338
5.653384229	5.4592
5.647225716	5.4817
5.641080605	5.5032
5.634948854	5.5349
5.628830419	5.5666
5.622725256	5.5857
5.616633323	5.6011
5.610557723	5.633
5.604492113	5.6582
5.598439603	5.6743
5.592400152	5.696
5.586373717	5.7163
5.580360257	5.7268
5.574359729	5.7493
5.568372092	5.78
5.562397304	5.7893
5.556435324	5.7886
5.550486112	5.8015
5.544549625	5.8181
5.538625823	5.8244
5.532714665	5.8303
5.526816112	5.8362
5.520930122	5.8337
5.515056656	5.8264
5.509195674	5.8264
5.503347136	5.8171
5.497511002	5.8086
5.491687233	5.8044
5.48587579	5.7895
5.480076633	5.7634
5.474289725	5.7505
5.468518015	5.7263
5.462755479	5.699
5.457005076	5.6792
5.451266765	5.6599
5.445540511	5.636
5.439826274	5.6081
5.434124016	5.5779
5.428433701	5.54
5.422755291	5.5005
5.417088748	5.4756
5.411434035	5.4458
5.405791116	5.4082
5.400159953	5.3745
5.394540509	5.3423
5.388932749	5.3115
5.383336635	5.2871
5.377752132	5.258
5.372179203	5.2297
5.366617813	5.2012
5.361067925	5.1709
5.355529504	5.1374
5.350002515	5.1037
5.344486921	5.0759
5.338982689	5.0454
5.333492627	5.0176
5.328011006	4.9895
5.32254064	4.9685
5.317081497	4.9485
5.31163354	4.9153
5.306196736	4.8901
5.30077105	4.8765
5.295356449	4.8481
5.289952898	4.8225
5.284560364	4.8147
5.279178813	4.7956
5.273808212	4.7771
5.268448526	4.7707
5.263099724	4.7593
5.257761771	4.7368
5.252434635	4.7241
5.247118283	4.7163
5.241812682	4.7068
5.236517799	4.6963
5.231233603	4.6965
5.225960061	4.6975
5.220697141	4.6894
5.21544481	4.6816
5.210203036	4.6753
5.204974498	4.668
5.19975374	4.675
5.194543444	4.6814
5.189343579	4.6755
5.184154115	4.675
5.178975019	4.6819
5.173806261	4.6802
5.168647809	4.6741
5.163499634	4.6807
5.158361704	4.6811
5.153233989	4.6775
5.148116459	4.6824
5.143009082	4.6885
5.137911829	4.6855
5.13282467	4.696
5.127747575	4.7099
5.122680514	4.7124
5.117623458	4.7102
5.112576376	4.7187
5.107539239	4.7266
5.102512018	4.73
5.097494683	4.7375
5.092487206	4.75
5.087489558	4.7622
5.082504292	4.771
5.077526209	4.7873
5.072557868	4.8022
5.06759924	4.8174
5.062650297	4.8318
5.057711011	4.8474
5.052781354	4.8677
5.047861297	4.8872
5.042950812	4.9033
5.038049872	4.926
5.033158448	4.9546
5.028276513	4.9765
5.023404039	4.9929
5.018541	5.0149
5.013687367	5.0412
5.008843113	5.0596
5.004010715	5.0774
4.999185133	5.1064
4.994368849	5.1387
4.989561837	5.1631
4.984764069	5.1914
4.979975518	5.2209
4.97519616	5.2439
4.970425966	5.2641
4.96566491	5.2925
4.960912967	5.3269
4.95617011	5.3445
4.951436313	5.3684
4.94671155	5.3989
4.941995795	5.4167
4.937289023	5.4399
4.932591209	5.4756
4.927902325	5.5036
4.923222347	5.5288
4.918551251	5.5613
4.913889009	5.5959
4.909235598	5.6184
4.904590991	5.6365
4.899955165	5.6758
4.895328095	5.7163
4.890712146	5.7439
4.886102507	5.7715
4.88150155	5.8044
4.876909249	5.8428
4.87232558	5.8813
4.86775052	5.9209
4.863184043	5.9536
4.858626126	5.9931
4.854076745	6.0342
4.849535875	6.0754
4.845003493	6.1155
4.840479575	6.1531
4.835964098	6.1872
4.831457037	6.228
4.826958369	6.2744
4.822468072	6.322
4.81798612	6.3596
4.813512492	6.3943
4.809047164	6.4375
4.804590113	6.4802
4.800141316	6.5212
4.79570075	6.5671
4.791268392	6.605
4.78684422	6.6404
4.782430498	6.6892
4.778022625	6.7341
4.773622869	6.7688
4.769231209	6.8076
4.764847623	6.8523
4.760472086	6.9038
4.756104579	6.9514
4.751745078	6.9963
4.747393562	7.0408
4.743050009	7.0876
4.738714396	7.147
4.734386703	7.1975
4.730066907	7.2461
4.725754987	7.2973
4.721450921	7.3457
4.717154688	7.3945
4.712866266	7.4558
4.708585635	7.5161
4.704312773	7.5652
4.700047658	7.6184
4.695790271	7.6826
4.691540589	7.7427
4.687298593	7.7944
4.68306426	7.8469
4.67883976	7.9126
4.67462069	7.97
4.670409221	8.0239
4.666205334	8.0866
4.662009009	8.1567
4.657820224	8.2217
4.65363896	8.2873
4.649465195	8.3523
4.645298911	8.4201
4.641140087	8.478
4.636988702	8.5388
4.632844738	8.6006
4.628708174	8.6545
4.62457899	8.7151
4.620457167	8.7822
4.616342684	8.8425
4.612235523	8.9079
4.608135664	8.967
4.604043086	9.0173
4.599957772	9.081
4.595879702	9.1404
4.591808856	9.1892
4.587745215	9.2453
4.58368876	9.3
4.57964157	9.3503
4.575599426	9.3989
4.571564412	9.4494
4.567536508	9.5029
4.563515696	9.5542
4.559501956	9.6008
4.555495271	9.6496
4.551495621	9.6958
4.547502989	9.747
4.543517355	9.7988
4.539538701	9.8301
4.535567009	9.8677
4.531602261	9.9184
4.527644439	9.956
4.523693523	9.9865
4.519749497	10.0239
4.515814382	10.0678
4.511884077	10.0993
4.507960608	10.1291
4.504043956	10.1628
4.500134104	10.1863
4.496231034	10.2121
4.492334729	10.2466
4.488445171	10.2734
4.484562343	10.2951
4.480686226	10.3239
4.476816804	10.3498
4.47295406	10.363
4.469097975	10.3867
4.465248534	10.4111
4.461405718	10.4214
4.45756951	10.4319
4.453739894	10.4538
4.449916853	10.4682
4.44610037	10.4817
4.442290427	10.5012
4.438487009	10.5193
4.434690097	10.5344
4.430899676	10.539
4.42711573	10.5508
4.423340197	10.5644
4.419569145	10.57
4.415804518	10.5813
4.412046298	10.5988
4.408294471	10.6111
4.404549018	10.6245
4.400809925	10.6328
4.397077175	10.6379
4.393350752	10.6472
4.389630639	10.6606
4.385916821	10.6692
4.382209282	10.675
4.378508006	10.6899
4.374812977	10.6948
4.371124179	10.6938
4.367441596	10.7024
4.363765214	10.7099
4.360095015	10.7231
4.356430985	10.7319
4.352773108	10.7368
4.349121369	10.7397
4.345475751	10.7453
4.341836241	10.747
4.338202821	10.7507
4.334577357	10.7551
4.330956072	10.7619
4.327340832	10.7663
4.323731623	10.7627
4.320128429	10.7705
4.316531235	10.7807
4.312940028	10.7776
4.30935479	10.7705
4.305775509	10.7739
4.302202168	10.78
4.298634754	10.7768
4.29507325	10.7824
4.291517644	10.7895
4.287967919	10.791
4.284424062	10.7839
4.280886058	10.7832
4.277353892	10.7959
4.27382755	10.7998
4.270307018	10.8059
4.266792281	10.821
4.263283325	10.8283
4.259780136	10.8266
4.256282699	10.8261
4.252791	10.8259
4.249306832	10.8252
4.245826565	10.8315
4.242351994	10.8369
4.238883105	10.8408
4.235419885	10.841
4.231962319	10.8503
4.228510393	10.8596
4.225064094	10.8601
4.221623408	10.8716
4.218188322	10.8833
4.214758821	10.883
4.211334892	10.8867
4.207916522	10.8884
4.204503696	10.8847
4.201096402	10.8999
4.197694626	10.9094
4.194300114	10.8984
4.190909331	10.9023
4.187524026	10.9145
4.184144186	10.9145
4.180769797	10.9182
4.177400846	10.9206
4.174037321	10.9201
4.170679208	10.9287
4.167326493	10.9277
4.163979165	10.9301
4.16063721	10.9375
4.157300615	10.9448
4.153969367	10.9402
4.150643454	10.9348
4.147322862	10.9431
4.144007579	10.9507
4.140697592	10.945
4.137392888	10.9428
4.134093455	10.9443
4.130799281	10.9482
4.127510352	10.9492
4.124226656	10.9538
4.120948181	10.9582
4.117674914	10.9563
4.114408535	10.9597
4.111145645	10.9675
4.107887925	10.9704
4.104635365	10.9651
4.101387951	10.9714
4.098145671	10.9826
4.094908514	10.98
4.091676466	10.9797
4.088449517	10.9846
4.085227653	10.99
4.082010864	10.9868
4.078799136	10.9907
4.075592459	10.9953
4.072390819	10.9946
4.069194206	10.999
4.066002607	10.9997
4.062816011	10.9961
4.059634406	10.9966
4.056457779	11.0041
4.053286121	11.0112
4.050119418	11.0078
4.046957659	10.9975
4.043800833	10.9992
4.040648928	11.0105
4.037503563	11.0166
4.034361463	11.0205
4.031224251	11.0227
4.028091913	11.0193
4.024964439	11.0171
4.021841819	11.021
4.018724039	11.0219
4.01561109	11.0212
4.012502959	11.0193
4.009399637	11.0171
4.00630111	11.018
4.00320737	11.0227
4.000118404	11.0217
3.997034201	11.0202
3.99395475	11.0193
3.990880041	11.0185
3.987810062	11.018
3.984744803	11.0259
3.981684252	11.0249
3.9786284	11.0261
3.975577234	11.0222
3.972530744	11.018
3.96948892	11.0256
3.966451751	11.0246
3.963420797	11.0205
3.960392903	11.0195
3.957369631	11.0234
3.954350972	11.0349
3.951336915	11.039
3.948327449	11.0337
3.945322564	11.0283
3.942322249	11.028
3.939326493	11.0327
3.936335288	11.0344
3.933348621	11.0285
