Name:  Hornblende Ca2(Fe+2,Mg)4Al(Si7Al)O22(OH,F)2
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Amphibole Group)
Particle Size:  Fine  (0-74  micrometers)
Sample No.: hornblen.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Gore Mountain, New York via Hunt and Salisbury Collection, 
#177B (Purchased from Ward's Natural Science Establishment)
Description:  The specimen was a cluster of very dark green single 
crystals half a centimeter to one centimeter in length and almost as 
wide.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  hornbl1a.txt

5.1893	10.380
5.1842	10.373
5.1790	10.379
5.1738	10.387
5.1686	10.385
5.1635	10.391
5.1584	10.398
5.1532	10.393
5.1481	10.396
5.1430	10.406
5.1379	10.412
5.1328	10.415
5.1277	10.413
5.1227	10.420
5.1176	10.428
5.1126	10.444
5.1075	10.453
5.1025	10.446
5.0975	10.455
5.0925	10.476
5.0875	10.484
5.0825	10.485
5.0775	10.502
5.0726	10.522
5.0676	10.542
5.0627	10.562
5.0577	10.579
5.0528	10.602
5.0479	10.634
5.0430	10.663
5.0380	10.679
5.0332	10.700
5.0283	10.731
5.0234	10.758
5.0185	10.773
5.0137	10.798
5.0088	10.826
5.0040	10.848
4.9992	10.878
4.9944	10.910
4.9896	10.921
4.9848	10.938
4.9800	10.970
4.9752	10.993
4.9704	11.017
4.9657	11.051
4.9609	11.079
4.9562	11.106
4.9514	11.136
4.9467	11.173
4.9420	11.201
4.9373	11.234
4.9326	11.278
4.9279	11.319
4.9232	11.348
4.9186	11.379
4.9139	11.427
4.9092	11.462
4.9046	11.503
4.9000	11.548
4.8953	11.572
4.8907	11.613
4.8861	11.663
4.8815	11.704
4.8769	11.746
4.8723	11.801
4.8678	11.848
4.8632	11.882
4.8586	11.924
4.8541	11.971
4.8495	12.014
4.8450	12.055
4.8405	12.099
4.8360	12.148
4.8315	12.189
4.8270	12.235
4.8225	12.286
4.8180	12.327
4.8135	12.363
4.8090	12.414
4.8046	12.456
4.8001	12.490
4.7957	12.546
4.7913	12.595
4.7868	12.632
4.7824	12.671
4.7780	12.708
4.7736	12.746
4.7692	12.797
4.7648	12.845
4.7605	12.881
4.7561	12.919
4.7517	12.970
4.7474	13.012
4.7431	13.054
4.7387	13.111
4.7344	13.162
4.7301	13.201
4.7258	13.245
4.7215	13.302
4.7172	13.342
4.7129	13.378
4.7086	13.429
4.7043	13.481
4.7000	13.522
4.6958	13.569
4.6915	13.616
4.6873	13.654
4.6831	13.696
4.6788	13.752
4.6746	13.795
4.6704	13.824
4.6662	13.872
4.6620	13.914
4.6578	13.946
4.6536	13.990
4.6495	14.042
4.6453	14.085
4.6411	14.116
4.6370	14.159
4.6328	14.196
4.6287	14.237
4.6246	14.288
4.6205	14.318
4.6163	14.350
4.6122	14.395
4.6081	14.428
4.6040	14.448
4.6000	14.483
4.5959	14.533
4.5918	14.563
4.5877	14.583
4.5837	14.616
4.5796	14.657
4.5756	14.691
4.5716	14.725
4.5675	14.750
4.5635	14.765
4.5595	14.792
4.5555	14.829
4.5515	14.854
4.5475	14.878
4.5435	14.911
4.5395	14.937
4.5356	14.952
4.5316	14.981
4.5276	15.006
4.5237	15.020
4.5197	15.033
4.5158	15.056
4.5119	15.077
4.5080	15.092
