Name:  Diopside CaMgSi2O6
Type:  Mineral
Class:   Silicates 
Subclass:   Inosilicates (Chain Silicates) (Pyroxene Group)
Particle Size:  Fine (less than 2   Micrometers)
Sample No.:  diopside.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from DeKalb, New York via the Smithsonian (sample 
no. NMNH R18685). 
Description:  Most of the 13 mm x 10 mm x 6 mm sample was clean, 
fresh and green.  One area was eroded and weathered and probably 
impure.  The crushed sample was hand-picked to avoid impurities.  
A moderate amount of weathering and alteration can be seen under 
the microscope.  The alteration is brown in color (limonite?).

Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: diopsi2a.txt

3.8063	97.975
3.8035	97.961
3.8007	97.955
3.7979	97.951
3.7951	97.925
3.7924	97.878
3.7896	97.883
3.7868	97.916
3.7841	97.917
3.7813	97.929
3.7785	97.881
3.7758	97.906
3.7730	97.924
3.7703	97.896
3.7676	97.862
3.7648	97.818
3.7621	97.799
3.7594	97.821
3.7566	97.791
3.7539	97.767
3.7512	97.758
3.7485	97.723
3.7458	97.716
3.7431	97.698
3.7404	97.697
3.7377	97.662
3.7350	97.631
3.7323	97.633
3.7296	97.690
3.7269	97.650
3.7242	97.625
3.7216	97.642
3.7189	97.603
3.7162	97.584
3.7136	97.569
3.7109	97.512
3.7083	97.489
3.7056	97.483
3.7030	97.446
3.7003	97.449
3.6977	97.472
3.6950	97.460
3.6924	97.439
3.6898	97.446
3.6872	97.426
3.6845	97.422
3.6819	97.407
3.6793	97.430
3.6767	97.436
3.6741	97.425
3.6715	97.387
3.6689	97.323
3.6663	97.321
3.6637	97.306
3.6611	97.274
3.6585	97.275
3.6560	97.303
3.6534	97.321
3.6508	97.330
3.6482	97.345
3.6457	97.360
3.6431	97.359
3.6406	97.309
3.6380	97.239
3.6355	97.202
3.6329	97.148
3.6304	97.101
3.6278	97.081
3.6253	97.113
3.6227	97.096
3.6202	97.058
3.6177	97.071
3.6152	97.108
3.6127	97.106
3.6101	97.058
3.6076	97.023
3.6051	97.004
3.6026	97.028
3.6001	97.035
3.5976	97.022
3.5951	97.039
3.5926	97.026
3.5901	97.055
3.5876	97.048
3.5852	96.985
3.5827	96.957
3.5802	96.924
3.5777	96.910
3.5753	96.914
3.5728	96.891
3.5704	96.858
3.5679	96.836
3.5654	96.800
3.5630	96.788
3.5605	96.785
3.5581	96.803
3.5557	96.778
3.5532	96.767
3.5508	96.783
3.5484	96.770
3.5459	96.725
3.5435	96.670
3.5411	96.612
3.5387	96.658
3.5363	96.696
3.5338	96.716
3.5314	96.701
3.5290	96.713
3.5266	96.684
3.5242	96.692
3.5218	96.741
3.5195	96.733
3.5171	96.718
3.5147	96.715
3.5123	96.761
3.5099	96.768
3.5075	96.795
3.5052	96.788
3.5028	96.739
3.5004	96.719
3.4981	96.707
3.4957	96.651
3.4934	96.607
3.4910	96.621
3.4887	96.656
3.4863	96.592
3.4840	96.496
3.4816	96.450
3.4793	96.377
3.4770	96.352
3.4746	96.336
3.4723	96.315
3.4700	96.304
3.4677	96.321
3.4653	96.325
3.4630	96.269
3.4607	96.280
3.4584	96.299
3.4561	96.281
3.4538	96.259
3.4515	96.223
