Name:  Anorthite CaAl2Si2O8
Type:  Mineral (Synthetic)
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Coarse (75-250 Micrometers)
Sample No.:  anorthite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Bruce Hemingway, USGS; synthesized by James 
Woodhead, Princeton University.
Description: The sample was a coarse white powder.  The sample 
appears pure under the microscope, with very fine 
(cryptocrystalline) texture.



Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  4.4055
Number of X Values:  2287
Additional Information:  anorth1a.txt

8.969124685	2.5684
8.953633608	2.5691
8.93819595	2.5850
8.922811435	2.6125
8.907479789	2.6135
8.89220074	2.6204
8.876974017	2.6450
8.861799353	2.6653
8.846676481	2.6946
8.831605135	2.7288
8.816585054	2.7695
8.801615977	2.8289
8.786697643	2.8970
8.771829795	2.9592
8.757012178	3.0232
8.742244536	3.0952
8.727526619	3.1616
8.712858175	3.2246
8.69824652	3.2820
8.683676252	3.3332
8.669154714	3.3725
8.654681663	3.4143
8.640256858	3.4595
8.625880055	3.4961
8.611551018	3.5249
8.597269507	3.5400
8.583035287	3.5417
8.568848124	3.5513
8.554707784	3.5588
8.540614036	3.5520
8.52656665	3.5588
8.512565398	3.5691
8.498610052	3.5625
8.484700388	3.5649
8.470836182	3.5718
8.45701721	3.5593
8.443243252	3.5342
8.429514089	3.4907
8.415829502	3.4304
8.402189274	3.3611
8.388593191	3.2786
8.375041038	3.1775
8.361539594	3.0669
8.348074642	2.9497
8.334652987	2.8162
8.32127442	2.6570
8.307938734	2.4839
8.294645723	2.3003
8.281395183	2.0981
8.268186911	1.8833
8.255020704	1.6619
8.241896361	1.4365
8.228813685	1.2085
8.215772476	.9915
8.202772537	.8000
8.189813674	.6418
8.176895691	.5139
8.164018395	.4226
8.151188239	.3660
8.138391724	.3259
8.125635323	.3137
8.11291885	.3303
8.100242116	.3491
8.087604937	.3726
8.075007126	.3982
8.062448501	.4185
8.049928879	.4399
8.037448078	.4680
8.025005918	.4934
8.012602221	.5105
8.000236807	.5308
7.9879095	.5520
7.975620124	.5693
7.963368505	.5881
7.951154468	.6074
7.938977841	.6255
7.926838452	.6477
7.914736131	.6699
7.902670708	.6855
7.890642014	.6963
7.878649883	.7109
7.866694148	.7295
7.854780812	.7498
7.842897355	.7632
7.831049799	.7759
7.819237984	.7903
7.807461747	.8120
7.795720929	.8284
7.784015369	.8386
7.772344909	.8469
7.760709391	.8596
7.749108659	.8799
7.737542556	.8933
7.726010929	.9026
7.714513623	.9211
7.703050485	.9338
7.691621363	.9451
7.680226106	.9551
7.668864563	.9648
7.657536586	.9788
7.646242025	.9905
7.634980733	1.0010
7.623752563	1.0120
7.61255737	1.0244
7.601395008	1.0344
7.590265333	1.0430
7.579173946	1.0510
7.568109199	1.0610
7.557076711	1.0684
7.546076342	1.0813
7.535107952	1.0918
7.524171401	1.0986
7.51326655	1.1106
7.502393263	1.1233
7.491551403	1.1274
7.480740833	1.1335
7.469961418	1.1457
7.459213023	1.1550
7.448495516	1.1626
7.437808762	1.1665
7.42715263	1.1716
7.416526989	1.1816
7.405931707	1.1953
7.395366655	1.2068
7.384831703	1.2156
7.374326724	1.2185
7.363851589	1.2183
7.353406171	1.2275
7.342990345	1.2349
7.332603984	1.2432
7.322252325	1.2571
7.311924506	1.2629
7.30162578	1.2646
7.291356025	1.2830
7.281115117	1.2959
7.270902937	1.2971
7.260719363	1.3032
7.250564275	1.3042
7.240437554	1.3049
7.230339081	1.3120
7.220268738	1.3228
7.210226408	1.3318
7.200211974	1.3372
7.19022532	1.3413
7.18026633	1.3445
7.17033489	1.3469
7.160436013	1.3489
7.150559317	1.3579
7.140709829	1.3652
7.130887439	1.3660
7.121092034	1.3733
7.111323503	1.3874
7.101581735	1.3936
7.091866622	1.3953
7.082178053	1.4028
7.07251592	1.4114
7.062880115	1.4121
7.053270531	1.4185
7.04368706	1.4214
7.034129597	1.4177
7.024598035	1.4285
7.01509227	1.4368
7.005612196	1.4409
6.99615771	1.4465
6.986728709	1.4575
6.977325089	1.4580
6.967946748	1.4524
6.958593585	1.4565
6.949265497	1.4653
6.939962385	1.4751
6.930688952	1.4792
6.921435478	1.4773
6.912206681	1.4683
6.903002461	1.4639
6.893822721	1.4744
6.884667364	1.4829
6.875536292	1.4817
6.866429409	1.4805
6.857346618	1.4905
6.848287825	1.4941
6.839252935	1.4919
6.830241852	1.4929
6.821254483	1.4907
6.812290735	1.4963
6.803350514	1.5051
6.794433728	1.5012
6.785540285	1.4958
6.776670093	1.4990
6.767823062	1.5049
6.7589991	1.5151
6.750198118	1.5227
6.741420026	1.5200
6.732664735	1.5188
6.723932156	1.5164
6.715226709	1.5120
6.706539278	1.5142
6.697874296	1.5210
6.689231675	1.5256
6.680611329	1.5207
6.672013173	1.5181
6.663437121	1.5242
6.654883087	1.5244
6.646350987	1.5188
6.637840737	1.5134
6.629352253	1.5188
6.620885451	1.5271
6.612440248	1.5325
6.604016563	1.5332
6.595614312	1.5342
6.587233415	1.5366
6.578873789	1.5359
6.570535354	1.5373
6.56221803	1.5417
6.553921736	1.5449
6.545646392	1.5471
6.537391921	1.5469
6.529158241	1.5464
6.520945276	1.5540
6.512757189	1.5559
6.504585407	1.5576
6.496434107	1.5618
6.488303211	1.5588
6.480192643	1.5701
6.472102327	1.5803
6.464032186	1.5825
6.455982145	1.5845
6.44795213	1.5864
6.439942066	1.5874
6.431951879	1.5854
6.423981494	1.5820
6.416030838	1.5801
6.408099838	1.5825
6.400188422	1.5859
6.392296516	1.5896
6.384424048	1.5901
6.376570948	1.5847
6.368737143	1.5859
6.360922563	1.5867
6.353127136	1.5774
6.345350793	1.5752
6.337593464	1.5818
6.329855078	1.5825
6.322139564	1.5828
6.314438848	1.5825
6.30675687	1.5813
6.29909356	1.5762
6.291448851	1.5759
6.283822676	1.5767
6.276214965	1.5789
6.268625654	1.5837
6.261054675	1.5864
