Name:  Natrolite Na2Al2Si3O10.2H2O
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework Silicates); (ZeoliteGroup)
Particle Size:  Solid
Sample No.: natrol.1
Owner:  JHU
Wavelength Range:  IR
Origin: Poonah, India via Hunt and Salisbury Collection #169B

Description: The sample appeared to be pure natrolite, although most 
grains were permeated with what appeared to be fluid inclusions.




Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  natrol1a.txt

6.156953047	7.8984
6.149649255	7.8735
6.14236277	7.8144
6.135093533	7.7165
6.12784148	7.5825
6.120606552	7.4241
6.113388688	7.2788
6.106187828	7.1855
6.099003911	7.1304
6.091836878	7.1064
6.084686669	7.104
6.077553226	7.1101
6.070436489	7.1367
6.063336399	7.1726
6.056252899	7.188
6.049185931	7.2024
6.042135436	7.2529
6.035101357	7.2991
6.02808727	7.3286
6.021085843	7.3508
6.01410066	7.3701
6.007131667	7.3935
6.000178805	7.415
5.99324202	7.428
5.986321256	7.4468
5.979416457	7.4682
5.972527568	7.4826
5.965654534	7.5022
5.9587973	7.5237
5.951955813	7.5366
5.945130017	7.5405
5.938319859	7.5351
5.931525286	7.5547
5.924746243	7.5815
5.917982678	7.5957
5.911234538	7.6076
5.904501769	7.6089
5.89778432	7.6033
5.891082139	7.6152
5.884395172	7.6189
5.87772337	7.6318
5.871066679	7.6572
5.864428488	7.6662
5.85780186	7.6797
5.851190191	7.6929
5.84459343	7.7029
5.838011527	7.709
5.831444431	7.7121
5.824892094	7.7112
5.818354465	7.7251
5.811831494	7.7461
5.805323133	7.759
5.798829332	7.7683
5.792350043	7.7776
5.785885217	7.7827
5.779434806	7.7878
5.772998761	7.7854
5.766577035	7.7829
5.760169579	7.8025
5.753776347	7.8174
5.747397291	7.8225
5.741032364	7.8327
5.734681519	7.8423
5.728344709	7.8511
5.722021888	7.8562
5.715713009	7.8589
5.709421287	7.8645
5.703140149	7.8782
5.696872816	7.8862
5.690619242	7.8918
5.684379382	7.8989
5.678153192	7.9023
5.671940626	7.9116
5.66574164	7.9228
5.659556189	7.9282
5.653384229	7.9326
5.647225716	7.9346
5.641080605	7.9392
5.634948854	7.9543
5.628830419	7.9663
5.622725256	7.9736
5.616633323	7.98
5.610557723	7.9875
5.604492113	7.9951
5.598439603	8.0036
5.592400152	8.0119
5.586373717	8.0163
5.580360257	8.018
5.574359729	8.029
5.568372092	8.0417
5.562397304	8.0491
5.556435324	8.0552
5.550486112	8.061
5.544549625	8.0703
5.538625823	8.0788
5.532714665	8.0854
5.526816112	8.092
5.520930122	8.0967
5.515056656	8.1045
5.509195674	8.1118
5.503347136	8.1169
5.497511002	8.122
5.491687233	8.1272
5.48587579	8.1323
5.480076633	8.136
5.474289725	8.1428
5.468518015	8.1465
5.462755479	8.1516
5.457005076	8.1601
5.451266765	8.1675
5.445540511	8.175
5.439826274	8.1826
5.434124016	8.1892
5.428433701	8.1924
5.422755291	8.1936
5.417088748	8.206
5.411434035	8.2187
5.405791116	8.2285
5.400159953	8.2361
5.394540509	8.2449
5.388932749	8.2544
5.383336635	8.2629
5.377752132	8.2712
5.372179203	8.281
5.366617813	8.2908
5.361067925	8.2981
5.355529504	8.3037
5.350002515	8.311
5.344486921	8.3242
5.338982689	8.3349
5.333492627	8.3435
5.328011006	8.3535
5.32254064	8.3625
5.317081497	8.3728
5.31163354	8.383
5.306196736	8.3933
5.30077105	8.4048
5.295356449	8.414
5.289952898	8.4245
5.284560364	8.4372
5.279178813	8.4477
5.273808212	8.458
5.268448526	8.4675
5.263099724	8.4763
5.257761771	8.4841
5.252434635	8.4917
5.247118283	8.4988
5.241812682	8.5051
5.236517799	8.5107
5.231233603	8.5161
5.225960061	8.5212
5.220697141	8.5229
5.21544481	8.5229
5.210203036	8.5273
5.204974498	8.5322
5.19975374	8.5361
