Name:  Labradorite (Na,Ca)Al(Al,Si)Si2O8
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework Silicates); (Feldspar Group)
Particle Size:  Solid (Fractured Surface)
Sample No.: labrador.1
Owner:  JHU
Wavelength Range:  IR
Origin: Lake County, Oregon, acquired from the Smithsonian (sample 
no. NMNH 115500) via Dave Stewart, USGS
Description: The sample consisted of a 2 cm x 1 cm x 0.2 cm, 0.536 g 
portion, of a single transparent crystal.  The fragment seemed to 
have been sawn on one side.  A very, very small amount of iron 
oxide stain could be seen on the surface of the fragment and still less 
on the inside.  No impurities were detected under the microscope.

Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  labrad1a.txt

6.113388688	5.4358
6.106187828	5.4575
6.099003911	5.4692
6.091836878	5.4709
6.084686669	5.4744
6.077553226	5.4658
6.070436489	5.4675
6.063336399	5.4861
6.056252899	5.4565
6.049185931	5.4209
6.042135436	5.4577
6.035101357	5.4868
6.02808727	5.4836
6.021085843	5.4734
6.01410066	5.4646
6.007131667	5.4626
6.000178805	5.4631
5.99324202	5.4575
5.986321256	5.4534
5.979416457	5.4553
5.972527568	5.4463
5.965654534	5.4504
5.9587973	5.4673
5.951955813	5.4643
5.945130017	5.4485
5.938319859	5.4155
5.931525286	5.4311
5.924746243	5.4629
5.917982678	5.468
5.911234538	5.4658
5.904501769	5.4534
5.89778432	5.4319
5.891082139	5.4372
5.884395172	5.428
5.87772337	5.4326
5.871066679	5.4629
5.864428488	5.4685
5.85780186	5.4726
5.851190191	5.4756
5.84459343	5.4809
5.838011527	5.4834
5.831444431	5.4724
5.824892094	5.4565
5.818354465	5.4648
5.811831494	5.4868
5.805323133	5.4975
5.798829332	5.5024
5.792350043	5.5102
5.785885217	5.5127
5.779434806	5.5127
5.772998761	5.5017
5.766577035	5.4983
5.760169579	5.5261
5.753776347	5.5415
5.747397291	5.5412
5.741032364	5.5525
5.734681519	5.5578
5.728344709	5.5564
5.722021888	5.5486
5.715713009	5.5351
5.709421287	5.5359
5.703140149	5.5483
5.696872816	5.5456
5.690619242	5.5469
5.684379382	5.5581
5.678153192	5.5498
5.671940626	5.5539
5.66574164	5.5698
5.659556189	5.5654
5.653384229	5.5569
5.647225716	5.5574
5.641080605	5.5581
5.634948854	5.571
5.628830419	5.5842
5.622725256	5.5903
5.616633323	5.5832
5.610557723	5.5849
