Name:  Winona
Type:  Stony Meteorites
Class:  Anomalous
Subclass:  
Particle Size:  0-75 micrometers
Sample No.:  Winona
Owner:  JHU
Wavelength range:  IR
Origin:  A prehistoric meteorite find.  Smithsonian sample No. 
USNM 854.
Description:  Weathered.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

4.7172	3.3364
4.7129	3.3389
4.7086	3.3406
4.7043	3.3420
4.7000	3.3433
4.6958	3.3445
4.6915	3.3459
4.6873	3.3474
4.6831	3.3491
4.6788	3.3513
4.6746	3.3540
4.6704	3.3572
4.6662	3.3611
4.6620	3.3655
4.6578	3.3701
4.6536	3.3747
4.6495	3.3794
4.6453	3.3838
4.6411	3.3879
4.6370	3.3923
4.6328	3.3970
4.6287	3.4018
4.6246	3.4070
4.6205	3.4121
4.6163	3.4175
4.6122	3.4226
4.6081	3.4280
4.6040	3.4331
4.6000	3.4387
4.5959	3.4443
4.5918	3.4502
4.5877	3.4565
4.5837	3.4631
4.5796	3.4697
4.5756	3.4756
4.5716	3.4805
4.5675	3.4839
4.5635	3.4863
4.5595	3.4875
4.5555	3.4888
4.5515	3.4900
4.5475	3.4922
4.5435	3.4951
4.5395	3.4983
4.5356	3.5012
4.5316	3.5034
4.5276	3.5046
4.5237	3.5051
4.5197	3.5051
4.5158	3.5056
4.5119	3.5066
4.5080	3.5085
4.5040	3.5112
4.5001	3.5142
4.4962	3.5166
4.4923	3.5183
4.4884	3.5190
4.4846	3.5188
4.4807	3.5176
4.4768	3.5163
4.4730	3.5151
4.4691	3.5144
4.4652	3.5142
4.4614	3.5144
4.4576	3.5154
4.4537	3.5171
4.4499	3.5190
4.4461	3.5215
4.4423	3.5234
4.4385	3.5249
4.4347	3.5256
4.4309	3.5256
4.4271	3.5249
4.4233	3.5239
4.4196	3.5232
4.4158	3.5229
4.4120	3.5229
4.4083	3.5234
4.4045	3.5237
4.4008	3.5237
4.3971	3.5232
4.3934	3.5225
4.3896	3.5217
4.3859	3.5215
4.3822	3.5220
4.3785	3.5234
4.3748	3.5249
4.3711	3.5264
4.3674	3.5266
4.3638	3.5261
4.3601	3.5246
4.3564	3.5225
4.3528	3.5205
4.3491	3.5190
4.3455	3.5181
4.3418	3.5173
4.3382	3.5166
4.3346	3.5154
4.3310	3.5142
4.3273	3.5129
4.3237	3.5120
4.3201	3.5115
4.3165	3.5115
4.3129	3.5115
4.3094	3.5117
4.3058	3.5112
4.3022	3.5102
4.2986	3.5088
4.2951	3.5068
4.2915	3.5049
4.2880	3.5032
4.2844	3.5012
4.2809	3.4993
4.2774	3.4978
4.2738	3.4963
4.2703	3.4956
4.2668	3.4958
4.2633	3.4966
4.2598	3.4978
4.2563	3.4990
4.2528	3.5000
4.2493	3.5002
4.2458	3.4997
4.2424	3.4993
4.2389	3.4990
4.2354	3.4990
4.2320	3.4995
4.2285	3.5005
4.2251	3.5012
4.2216	3.5017
4.2182	3.5015
4.2148	3.5002
4.2113	3.4983
4.2079	3.4958
4.2045	3.4932
4.2011	3.4912
4.1977	3.4900
4.1943	3.4892
4.1909	3.4892
4.1875	3.4892
4.1841	3.4890
4.1808	3.4885
4.1774	3.4875
4.1740	3.4866
4.1707	3.4858
4.1673	3.4853
4.1640	3.4853
4.1606	3.4853
4.1573	3.4853
4.1540	3.4844
4.1506	3.4829
4.1473	3.4805
4.1440	3.4773
4.1407	3.4739
4.1374	3.4707
4.1341	3.4683
4.1308	3.4663
4.1275	3.4653
4.1242	3.4653
4.1209	3.4656
4.1177	3.4656
4.1144	3.4653
4.1111	3.4646
4.1079	3.4629
4.1046	3.4604
4.1014	3.4578
4.0981	3.4553
4.0949	3.4534
4.0917	3.4521
4.0884	3.4517
4.0852	3.4519
4.0820	3.4524
4.0788	3.4526
4.0756	3.4524
4.0724	3.4517
4.0692	3.4507
4.0660	3.4495
4.0628	3.4490
4.0596	3.4485
4.0565	3.4487
4.0533	3.4490
4.0501	3.4490
4.0470	3.4487
4.0438	3.4475
4.0406	3.4458
4.0375	3.4436
4.0344	3.4409
4.0312	3.4377
4.0281	3.4348
4.0250	3.4319
4.0218	3.4297
4.0187	3.4277
4.0156	3.4265
4.0125	3.4255
4.0094	3.4243
4.0063	3.4228
4.0032	3.4211
4.0001	3.4187
3.9970	3.4160
3.9940	3.4133
3.9909	3.4109
3.9878	3.4092
3.9847	3.4077
3.9817	3.4065
3.9786	3.4053
3.9756	3.4033
3.9725	3.4004
3.9695	3.3967
3.9665	3.3926
3.9634	3.3887
3.9604	3.3850
3.9574	3.3823
3.9544	3.3804
3.9513	3.3791
3.9483	3.3782
3.9453	3.3769
3.9423	3.3752
3.9393	3.3730
3.9363	3.3708
3.9333	3.3684
3.9304	3.3662
3.9274	3.3642
3.9244	3.3625
3.9214	3.3608
3.9185	3.3594
3.9155	3.3579
3.9126	3.3559
3.9096	3.3538
3.9067	3.3511
3.9037	3.3481
3.9008	3.3455
3.8979	3.3428
3.8949	3.3403
3.8920	3.3384
3.8891	3.3369
3.8862	3.3352
3.8833	3.3332
3.8804	3.3308
3.8775	3.3274
3.8746	3.3232
3.8717	3.3186
3.8688	3.3135
3.8659	3.3081
3.8630	3.3030
3.8601	3.2981
3.8573	3.2934
3.8544	3.2893
3.8515	3.2856
3.8487	3.2825
3.8458	3.2793
3.8430	3.2764
3.8401	3.2734
3.8373	3.2705
3.8344	3.2678
3.8316	3.2654
3.8288	3.2629
3.8259	3.2607
3.8231	3.2583
3.8203	3.2551
3.8175	3.2510
3.8147	3.2466
3.8119	3.2414
3.8091	3.2366
3.8063	3.2319
3.8035	3.2275
3.8007	3.2239
3.7979	3.2202
3.7951	3.2173
3.7924	3.2146
3.7896	3.2126
3.7868	3.2107
3.7841	3.2082
3.7813	3.2056
3.7785	3.2019
3.7758	3.1973
3.7730	3.1921
3.7703	3.1868
3.7676	3.1816
3.7648	3.1767
3.7621	3.1721
3.7594	3.1682
3.7566	3.1645
3.7539	3.1611
3.7512	3.1580
3.7485	3.1550
3.7458	3.1521
3.7431	3.1489
3.7404	3.1457
3.7377	3.1416
3.7350	3.1370
3.7323	3.1313
3.7296	3.1252
3.7269	3.1191
3.7242	3.1130
3.7216	3.1077
3.7189	3.1028
3.7162	3.0986
3.7136	3.0950
3.7109	3.0918
3.7083	3.0886
3.7056	3.0852
3.7030	3.0818
3.7003	3.0784
3.6977	3.0749
3.6950	3.0715
3.6924	3.0681
3.6898	3.0647
3.6872	3.0608
3.6845	3.0561
3.6819	3.0508
3.6793	3.0444
3.6767	3.0378
3.6741	3.0310
3.6715	3.0247
3.6689	3.0190
3.6663	3.0146
3.6637	3.0112
3.6611	3.0090
3.6585	3.0073
3.6560	3.0059
3.6534	3.0041
3.6508	3.0017
3.6482	2.9980
3.6457	2.9934
3.6431	2.9878
3.6406	2.9817
3.6380	2.9761
3.6355	2.9712
3.6329	2.9675
3.6304	2.9646
3.6278	2.9622
3.6253	2.9597
3.6227	2.9573
3.6202	2.9543
3.6177	2.9514
3.6152	2.9482
3.6127	2.9451
3.6101	2.9414
3.6076	2.9375
3.6051	2.9336
3.6026	2.9297
3.6001	2.9258
3.5976	2.9224
3.5951	2.9189
3.5926	2.9155
3.5901	2.9116
3.5876	2.9072
3.5852	2.9023
3.5827	2.8977
3.5802	2.8935
3.5777	2.8896
3.5753	2.8865
3.5728	2.8833
3.5704	2.8804
3.5679	2.8767
3.5654	2.8726
3.5630	2.8674
3.5605	2.8616
3.5581	2.8552
3.5557	2.8484
3.5532	2.8418
3.5508	2.8359
3.5484	2.8308
3.5459	2.8269
3.5435	2.8237
3.5411	2.8210
3.5387	2.8184
3.5363	2.8152
3.5338	2.8110
3.5314	2.8061
3.5290	2.8008
3.5266	2.7954
3.5242	2.7900
3.5218	2.7847
3.5195	2.7793
3.5171	2.7737
3.5147	2.7678
3.5123	2.7617
3.5099	2.7559
3.5075	2.7500
3.5052	2.7446
3.5028	2.7400
3.5004	2.7361
3.4981	2.7331
3.4957	2.7310
3.4934	2.7292
3.4910	2.7273
3.4887	2.7251
3.4863	2.7222
3.4840	2.7185
3.4816	2.7141
3.4793	2.7095
3.4770	2.7051
3.4746	2.7012
