Name:  Allende1
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  CV3
Particle Size:  0-75 micrometers
Sample No.:  Allende1
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in Mexico in 1969.  Smithsonian sample No. USNM 
3529.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

3.9008	1.8142
3.8979	1.8136
3.8949	1.8127
3.8920	1.8116
3.8891	1.8107
3.8862	1.8098
3.8833	1.8092
3.8804	1.8087
3.8775	1.8085
3.8746	1.8082
3.8717	1.8080
3.8688	1.8079
3.8659	1.8079
3.8630	1.8077
3.8601	1.8079
3.8573	1.8077
3.8544	1.8076
3.8515	1.8072
3.8487	1.8065
3.8458	1.8057
3.8430	1.8046
3.8401	1.8036
3.8373	1.8027
3.8344	1.8021
3.8316	1.8020
3.8288	1.8021
3.8259	1.8024
3.8231	1.8027
3.8203	1.8030
3.8175	1.8030
3.8147	1.8026
3.8119	1.8019
3.8091	1.8010
3.8063	1.8002
3.8035	1.7993
3.8007	1.7986
3.7979	1.7982
3.7951	1.7981
3.7924	1.7981
3.7896	1.7981
3.7868	1.7980
3.7841	1.7976
3.7813	1.7971
3.7785	1.7965
3.7758	1.7959
3.7730	1.7953
3.7703	1.7948
3.7676	1.7944
3.7648	1.7942
3.7621	1.7942
3.7594	1.7942
3.7566	1.7946
3.7539	1.7949
3.7512	1.7953
3.7485	1.7958
3.7458	1.7963
3.7431	1.7967
3.7404	1.7971
3.7377	1.7974
3.7350	1.7975
3.7323	1.7974
3.7296	1.7971
3.7269	1.7965
3.7242	1.7958
3.7216	1.7948
3.7189	1.7938
3.7162	1.7927
3.7136	1.7917
3.7109	1.7909
3.7083	1.7900
3.7056	1.7894
3.7030	1.7888
3.7003	1.7883
3.6977	1.7881
3.6950	1.7880
3.6924	1.7881
3.6898	1.7883
3.6872	1.7886
3.6845	1.7887
3.6819	1.7887
3.6793	1.7883
3.6767	1.7881
3.6741	1.7877
3.6715	1.7876
3.6689	1.7878
3.6663	1.7882
3.6637	1.7887
3.6611	1.7889
3.6585	1.7889
3.6560	1.7887
3.6534	1.7881
3.6508	1.7873
3.6482	1.7867
3.6457	1.7864
3.6431	1.7861
3.6406	1.7861
3.6380	1.7861
3.6355	1.7863
3.6329	1.7863
3.6304	1.7863
3.6278	1.7863
3.6253	1.7863
3.6227	1.7864
3.6202	1.7865
3.6177	1.7865
3.6152	1.7866
3.6127	1.7867
3.6101	1.7867
3.6076	1.7866
3.6051	1.7864
3.6026	1.7860
3.6001	1.7856
3.5976	1.7850
3.5951	1.7845
3.5926	1.7838
3.5901	1.7831
3.5876	1.7823
3.5852	1.7814
3.5827	1.7804
3.5802	1.7797
3.5777	1.7792
3.5753	1.7792
3.5728	1.7797
3.5704	1.7805
3.5679	1.7812
3.5654	1.7817
3.5630	1.7816
3.5605	1.7809
3.5581	1.7797
3.5557	1.7783
3.5532	1.7771
3.5508	1.7761
3.5484	1.7755
3.5459	1.7753
3.5435	1.7751
3.5411	1.7750
3.5387	1.7747
3.5363	1.7739
3.5338	1.7731
3.5314	1.7722
3.5290	1.7714
3.5266	1.7709
3.5242	1.7705
3.5218	1.7704
3.5195	1.7704
3.5171	1.7703
3.5147	1.7696
3.5123	1.7687
3.5099	1.7672
3.5075	1.7654
3.5052	1.7634
3.5028	1.7616
3.5004	1.7601
3.4981	1.7592
3.4957	1.7588
3.4934	1.7589
3.4910	1.7593
3.4887	1.7599
3.4863	1.7605
3.4840	1.7611
3.4816	1.7615
3.4793	1.7617
3.4770	1.7616
3.4746	1.7613
3.4723	1.7609
3.4700	1.7602
3.4677	1.7596
3.4653	1.7589
3.4630	1.7582
3.4607	1.7573
3.4584	1.7565
3.4561	1.7555
3.4538	1.7544
3.4515	1.7532
3.4492	1.7519
3.4469	1.7505
3.4446	1.7491
3.4423	1.7478
3.4400	1.7466
3.4378	1.7452
