Name:  Happy Canyon
Type:  Stony Meteorites
Class:  Enstatite Chondrite
Subclass:  E6
Particle Size:  0-75 micrometers
Sample No.:  Happy Canyon
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in 1971.  Smithsonian sample No. USNM 5820.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

5.6106	3.7771
5.6045	3.7837
5.5984	3.7898
5.5924	3.7947
5.5864	3.7998
5.5804	3.8061
5.5744	3.8147
5.5684	3.8257
5.5624	3.8381
5.5564	3.8508
5.5505	3.8625
5.5445	3.8725
5.5386	3.8804
5.5327	3.8862
5.5268	3.8904
5.5209	3.8933
5.5151	3.8943
5.5092	3.8940
5.5033	3.8931
5.4975	3.8921
5.4917	3.8916
5.4859	3.8923
5.4801	3.8945
5.4743	3.8984
5.4685	3.9036
5.4628	3.9101
5.4570	3.9182
5.4513	3.9270
5.4455	3.9365
5.4398	3.9475
5.4341	3.9597
5.4284	3.9736
5.4228	3.9890
5.4171	4.0058
5.4114	4.0232
5.4058	4.0393
5.4002	4.0544
5.3945	4.0683
5.3889	4.0813
5.3833	4.0933
5.3778	4.1040
5.3722	4.1138
5.3666	4.1216
5.3611	4.1282
5.3555	4.1343
5.3500	4.1399
5.3445	4.1453
5.3390	4.1501
5.3335	4.1548
5.3280	4.1584
5.3225	4.1614
5.3171	4.1633
5.3116	4.1645
5.3062	4.1643
5.3008	4.1633
5.2954	4.1616
5.2900	4.1601
5.2846	4.1589
5.2792	4.1577
5.2738	4.1572
5.2684	4.1570
5.2631	4.1577
5.2578	4.1597
5.2524	4.1623
5.2471	4.1650
5.2418	4.1670
5.2365	4.1677
5.2312	4.1667
5.2260	4.1643
5.2207	4.1601
5.2154	4.1548
5.2102	4.1472
5.2050	4.1377
5.1998	4.1267
5.1945	4.1147
5.1893	4.1025
5.1842	4.0903
5.1790	4.0776
5.1738	4.0642
5.1686	4.0498
5.1635	4.0347
5.1584	4.0198
5.1532	4.0063
5.1481	3.9956
5.1430	3.9880
5.1379	3.9839
5.1328	3.9827
5.1277	3.9839
5.1227	3.9866
5.1176	3.9910
5.1126	3.9963
5.1075	4.0032
5.1025	4.0110
5.0975	4.0200
5.0925	4.0300
5.0875	4.0408
5.0825	4.0517
5.0775	4.0635
5.0726	4.0759
5.0676	4.0886
5.0627	4.1008
5.0577	4.1123
5.0528	4.1225
5.0479	4.1321
5.0430	4.1413
5.0380	4.1511
5.0332	4.1616
5.0283	4.1728
5.0234	4.1846
5.0185	4.1958
5.0137	4.2068
5.0088	4.2173
5.0040	4.2273
4.9992	4.2366
4.9944	4.2456
4.9896	4.2541
4.9848	4.2627
4.9800	4.2712
4.9752	4.2800
4.9704	4.2883
4.9657	4.2954
4.9609	4.3010
4.9562	4.3054
4.9514	4.3088
4.9467	4.3115
4.9420	4.3140
4.9373	4.3162
4.9326	4.3179
4.9279	4.3193
4.9232	4.3208
4.9186	4.3225
4.9139	4.3252
4.9092	4.3284
4.9046	4.3323
4.9000	4.3362
4.8953	4.3396
4.8907	4.3418
4.8861	4.3425
4.8815	4.3420
4.8769	4.3403
4.8723	4.3379
4.8678	4.3354
4.8632	4.3330
4.8586	4.3310
4.8541	4.3303
4.8495	4.3301
4.8450	4.3310
4.8405	4.3332
4.8360	4.3362
4.8315	4.3401
4.8270	4.3447
4.8225	4.3503
4.8180	4.3569
4.8135	4.3647
4.8090	4.3738
4.8046	4.3833
4.8001	4.3935
4.7957	4.4040
4.7913	4.4143
4.7868	4.4238
4.7824	4.4331
4.7780	4.4424
4.7736	4.4507
4.7692	4.4582
4.7648	4.4658
4.7605	4.4741
4.7561	4.4831
4.7517	4.4939
4.7474	4.5061
4.7431	4.5188
4.7387	4.5315
4.7344	4.5434
4.7301	4.5542
4.7258	4.5640
4.7215	4.5727
4.7172	4.5810
4.7129	4.5889
4.7086	4.5964
4.7043	4.6035
4.7000	4.6101
4.6958	4.6164
4.6915	4.6225
4.6873	4.6279
4.6831	4.6326
4.6788	4.6362
4.6746	4.6391
4.6704	4.6416
4.6662	4.6443
4.6620	4.6470
4.6578	4.6501
4.6536	4.6531
4.6495	4.6555
4.6453	4.6572
4.6411	4.6587
4.6370	4.6606
4.6328	4.6636
4.6287	4.6677
4.6246	4.6738
4.6205	4.6811
4.6163	4.6897
4.6122	4.6985
4.6081	4.7078
4.6040	4.7170
4.6000	4.7263
4.5959	4.7349
4.5918	4.7427
4.5877	4.7493
4.5837	4.7551
4.5796	4.7598
4.5756	4.7644
4.5716	4.7690
4.5675	4.7739
4.5635	4.7788
4.5595	4.7829
4.5555	4.7866
4.5515	4.7900
4.5475	4.7934
4.5435	4.7974
4.5395	4.8020
4.5356	4.8069
4.5316	4.8108
4.5276	4.8137
4.5237	4.8164
4.5197	4.8193
4.5158	4.8220
4.5119	4.8249
4.5080	4.8281
4.5040	4.8310
4.5001	4.8330
4.4962	4.8347
4.4923	4.8364
4.4884	4.8379
4.4846	4.8386
4.4807	4.8391
4.4768	4.8391
4.4730	4.8391
4.4691	4.8389
4.4652	4.8389
4.4614	4.8389
4.4576	4.8386
4.4537	4.8386
4.4499	4.8386
4.4461	4.8386
4.4423	4.8389
4.4385	4.8389
4.4347	4.8391
4.4309	4.8389
4.4271	4.8391
4.4233	4.8396
4.4196	4.8398
4.4158	4.8398
4.4120	4.8398
4.4083	4.8401
4.4045	4.8406
4.4008	4.8408
4.3971	4.8413
4.3934	4.8415
4.3896	4.8415
4.3859	4.8413
4.3822	4.8408
4.3785	4.8403
4.3748	4.8393
4.3711	4.8381
4.3674	4.8369
4.3638	4.8362
4.3601	4.8357
4.3564	4.8357
4.3528	4.8357
4.3491	4.8352
4.3455	4.8345
4.3418	4.8335
4.3382	4.8325
4.3346	4.8315
4.3310	4.8313
4.3273	4.8310
4.3237	4.8308
4.3201	4.8301
4.3165	4.8293
4.3129	4.8288
4.3094	4.8284
4.3058	4.8281
4.3022	4.8276
4.2986	4.8269
4.2951	4.8259
4.2915	4.8235
4.2880	4.8198
4.2844	4.8149
4.2809	4.8096
4.2774	4.8049
4.2738	4.8020
4.2703	4.8015
4.2668	4.8037
4.2633	4.8074
4.2598	4.8113
4.2563	4.8147
4.2528	4.8166
4.2493	4.8179
4.2458	4.8191
4.2424	4.8201
4.2389	4.8215
4.2354	4.8223
4.2320	4.8223
4.2285	4.8215
4.2251	4.8203
4.2216	4.8188
4.2182	4.8181
4.2148	4.8186
4.2113	4.8201
4.2079	4.8215
4.2045	4.8223
4.2011	4.8218
4.1977	4.8198
4.1943	4.8166
4.1909	4.8135
4.1875	4.8113
4.1841	4.8100
4.1808	4.8088
4.1774	4.8074
4.1740	4.8049
4.1707	4.8017
4.1673	4.7981
4.1640	4.7949
4.1606	4.7930
4.1573	4.7920
4.1540	4.7912
4.1506	4.7898
4.1473	4.7876
4.1440	4.7851
4.1407	4.7825
4.1374	4.7798
4.1341	4.7773
4.1308	4.7751
4.1275	4.7732
4.1242	4.7710
4.1209	4.7685
4.1177	4.7663
4.1144	4.7644
4.1111	4.7622
4.1079	4.7595
4.1046	4.7566
4.1014	4.7534
4.0981	4.7502
4.0949	4.7475
4.0917	4.7453
4.0884	4.7446
4.0852	4.7441
4.0820	4.7432
4.0788	4.7417
4.0756	4.7390
4.0724	4.7358
4.0692	4.7324
4.0660	4.7287
4.0628	4.7261
4.0596	4.7241
4.0565	4.7224
4.0533	4.7202
4.0501	4.7173
4.0470	4.7136
4.0438	4.7087
4.0406	4.7031
4.0375	4.6982
4.0344	4.6943
4.0312	4.6914
4.0281	4.6885
4.0250	4.6860
4.0218	4.6833
4.0187	4.6802
4.0156	4.6765
4.0125	4.6731
4.0094	4.6699
4.0063	4.6662
4.0032	4.6611
4.0001	4.6550
3.9970	4.6489
3.9940	4.6426
3.9909	4.6365
3.9878	4.6311
3.9847	4.6267
3.9817	4.6223
3.9786	4.6174
3.9756	4.6128
3.9725	4.6084
3.9695	4.6037
3.9665	4.5994
3.9634	4.5950
3.9604	4.5908
3.9574	4.5864
3.9544	4.5813
3.9513	4.5757
3.9483	4.5696
3.9453	4.5635
3.9423	4.5576
3.9393	4.5517
3.9363	4.5469
3.9333	4.5420
3.9304	4.5373
3.9274	4.5320
3.9244	4.5261
3.9214	4.5198
3.9185	4.5141
3.9155	4.5088
3.9126	4.5037
3.9096	4.4983
3.9067	4.4924
3.9037	4.4858
3.9008	4.4790
3.8979	4.4717
3.8949	4.4648
3.8920	4.4590
3.8891	4.4534
3.8862	4.4480
3.8833	4.4426
3.8804	4.4368
3.8775	4.4304
3.8746	4.4228
3.8717	4.4145
3.8688	4.4055
3.8659	4.3967
3.8630	4.3884
3.8601	4.3811
3.8573	4.3745
3.8544	4.3684
3.8515	4.3620
3.8487	4.3552
3.8458	4.3476
3.8430	4.3389
3.8401	4.3298
3.8373	4.3210
3.8344	4.3127
3.8316	4.3057
