Name:  PCA 82507
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  LL6
Particle Size:  0-75 micrometers
Sample No.:  PCA 82507
Owner:  JHU
Wavelength range:  IR
Origin:  Found in Antarctic in 1982.  Smithsonian sample No. PCA 82507.05.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

4.5716	7.3320
4.5675	7.3423
4.5635	7.3533
4.5595	7.3620
4.5555	7.3701
4.5515	7.3774
4.5475	7.3828
4.5435	7.3860
4.5395	7.3896
4.5356	7.3957
4.5316	7.4006
4.5276	7.4045
4.5237	7.4116
4.5197	7.4182
4.5158	7.4221
4.5119	7.4245
4.5080	7.4275
4.5040	7.4319
4.5001	7.4348
4.4962	7.4360
4.4923	7.4382
4.4884	7.4414
4.4846	7.4438
4.4807	7.4458
4.4768	7.4499
4.4730	7.4560
4.4691	7.4614
4.4652	7.4651
4.4614	7.4692
4.4576	7.4746
4.4537	7.4790
4.4499	7.4824
4.4461	7.4853
4.4423	7.4870
4.4385	7.4873
4.4347	7.4888
4.4309	7.4934
4.4271	7.5007
4.4233	7.5080
4.4196	7.5134
4.4158	7.5163
4.4120	7.5168
4.4083	7.5151
4.4045	7.5144
4.4008	7.5163
4.3971	7.5215
4.3934	7.5268
4.3896	7.5317
4.3859	7.5351
4.3822	7.5373
4.3785	7.5390
4.3748	7.5405
4.3711	7.5410
4.3674	7.5422
4.3638	7.5442
4.3601	7.5459
4.3564	7.5476
4.3528	7.5505
4.3491	7.5534
4.3455	7.5569
4.3418	7.5603
4.3382	7.5632
4.3346	7.5647
4.3310	7.5654
4.3273	7.5666
4.3237	7.5674
4.3201	7.5674
4.3165	7.5686
4.3129	7.5708
4.3094	7.5722
4.3058	7.5737
4.3022	7.5762
4.2986	7.5781
4.2951	7.5796
4.2915	7.5815
4.2880	7.5842
4.2844	7.5857
4.2809	7.5874
4.2774	7.5906
4.2738	7.5942
4.2703	7.5976
4.2668	7.6018
4.2633	7.6067
4.2598	7.6113
4.2563	7.6133
4.2528	7.6157
4.2493	7.6199
4.2458	7.6247
4.2424	7.6308
4.2389	7.6367
4.2354	7.6404
4.2320	7.6428
4.2285	7.6448
4.2251	7.6462
4.2216	7.6467
4.2182	7.6484
4.2148	7.6511
4.2113	7.6545
4.2079	7.6560
4.2045	7.6572
4.2011	7.6604
4.1977	7.6626
4.1943	7.6653
4.1909	7.6706
