Name:  New Concord
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  L6
Particle Size:  0-75 micrometers
Sample No.:  Murray
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in 1960.  Smithsonian sample without a catalog 
number.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

4.7692	6.4014
4.7648	6.4128
4.7605	6.4241
4.7561	6.4348
4.7517	6.4453
4.7474	6.4555
4.7431	6.4658
4.7387	6.4758
4.7344	6.4856
4.7301	6.4949
4.7258	6.5034
4.7215	6.5112
4.7172	6.5185
4.7129	6.5266
4.7086	6.5354
4.7043	6.5449
4.7000	6.5544
4.6958	6.5635
4.6915	6.5722
4.6873	6.5810
4.6831	6.5903
4.6788	6.6006
4.6746	6.6113
4.6704	6.6228
4.6662	6.6347
4.6620	6.6465
4.6578	6.6579
4.6536	6.6694
4.6495	6.6811
4.6453	6.6921
4.6411	6.7021
4.6370	6.7124
4.6328	6.7226
4.6287	6.7329
4.6246	6.7431
4.6205	6.7541
4.6163	6.7656
4.6122	6.7768
4.6081	6.7871
4.6040	6.7973
4.6000	6.8066
4.5959	6.8149
4.5918	6.8227
4.5877	6.8305
4.5837	6.8386
4.5796	6.8464
4.5756	6.8537
4.5716	6.8611
4.5675	6.8684
4.5635	6.8752
4.5595	6.8818
4.5555	6.8887
4.5515	6.8957
4.5475	6.9018
4.5435	6.9075
4.5395	6.9126
4.5356	6.9177
4.5316	6.9226
4.5276	6.9270
4.5237	6.9319
4.5197	6.9367
4.5158	6.9416
4.5119	6.9468
4.5080	6.9516
4.5040	6.9568
4.5001	6.9609
4.4962	6.9646
4.4923	6.9680
4.4884	6.9719
4.4846	6.9758
4.4807	6.9797
4.4768	6.9834
4.4730	6.9870
4.4691	6.9902
4.4652	6.9931
4.4614	6.9966
4.4576	7.0005
4.4537	7.0039
4.4499	7.0068
4.4461	7.0093
4.4423	7.0115
4.4385	7.0139
4.4347	7.0163
4.4309	7.0193
4.4271	7.0224
4.4233	7.0259
4.4196	7.0288
4.4158	7.0317
