Name:  TIL 82402
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  LL6
Particle Size:  0-75 micrometers
Sample No.:  TIL 82402
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1982.  Smithsonian sample No. TIL 
82402.05.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

5.3171	4.9026
5.3116	4.9023
5.3062	4.9011
5.3008	4.8992
5.2954	4.8974
5.2900	4.8960
5.2846	4.8950
5.2792	4.8940
5.2738	4.8931
5.2684	4.8926
5.2631	4.8923
5.2578	4.8933
5.2524	4.8953
5.2471	4.8982
5.2418	4.9021
5.2365	4.9060
5.2312	4.9099
5.2260	4.9140
5.2207	4.9182
5.2154	4.9224
5.2102	4.9270
5.2050	4.9316
5.1998	4.9355
5.1945	4.9390
5.1893	4.9419
5.1842	4.9446
5.1790	4.9475
5.1738	4.9516
5.1686	4.9575
5.1635	4.9653
5.1584	4.9748
5.1532	4.9858
5.1481	4.9971
5.1430	5.0076
5.1379	5.0178
5.1328	5.0276
5.1277	5.0371
5.1227	5.0464
5.1176	5.0559
5.1126	5.0652
5.1075	5.0732
5.1025	5.0806
5.0975	5.0874
5.0925	5.0940
5.0875	5.1013
5.0825	5.1089
5.0775	5.1169
5.0726	5.1245
5.0676	5.1313
5.0627	5.1377
5.0577	5.1433
5.0528	5.1487
5.0479	5.1540
5.0430	5.1592
5.0380	5.1640
5.0332	5.1687
5.0283	5.1728
5.0234	5.1770
5.0185	5.1809
5.0137	5.1853
5.0088	5.1902
5.0040	5.1958
4.9992	5.2016
4.9944	5.2080
4.9896	5.2153
4.9848	5.2234
4.9800	5.2322
4.9752	5.2427
4.9704	5.2549
4.9657	5.2688
4.9609	5.2839
4.9562	5.3003
4.9514	5.3174
4.9467	5.3345
4.9420	5.3523
4.9373	5.3708
4.9326	5.3904
4.9279	5.4097
4.9232	5.4287
4.9186	5.4460
4.9139	5.4617
4.9092	5.4758
4.9046	5.4892
4.9000	5.5032
4.8953	5.5168
4.8907	5.5303
4.8861	5.5432
4.8815	5.5552
4.8769	5.5657
4.8723	5.5749
4.8678	5.5835
4.8632	5.5918
4.8586	5.5996
4.8541	5.6072
4.8495	5.6150
4.8450	5.6228
4.8405	5.6311
4.8360	5.6406
4.8315	5.6509
4.8270	5.6621
4.8225	5.6738
4.8180	5.6855
4.8135	5.6963
4.8090	5.7065
4.8046	5.7165
4.8001	5.7263
4.7957	5.7353
4.7913	5.7444
4.7868	5.7536
4.7824	5.7629
4.7780	5.7720
4.7736	5.7810
4.7692	5.7893
4.7648	5.7971
4.7605	5.8042
4.7561	5.8103
4.7517	5.8157
4.7474	5.8210
4.7431	5.8264
4.7387	5.8320
4.7344	5.8381
4.7301	5.8457
4.7258	5.8537
4.7215	5.8623
4.7172	5.8706
4.7129	5.8784
4.7086	5.8860
4.7043	5.8933
4.7000	5.9004
4.6958	5.9075
4.6915	5.9143
4.6873	5.9206
4.6831	5.9263
4.6788	5.9311
4.6746	5.9370
4.6704	5.9441
4.6662	5.9536
4.6620	5.9648
4.6578	5.9770
4.6536	5.9883
4.6495	5.9980
4.6453	6.0063
4.6411	6.0134
4.6370	6.0198
4.6328	6.0266
4.6287	6.0339
4.6246	6.0417
4.6205	6.0495
4.6163	6.0569
4.6122	6.0639
4.6081	6.0708
4.6040	6.0766
4.6000	6.0820
4.5959	6.0867
4.5918	6.0910
4.5877	6.0947
4.5837	6.0979
4.5796	6.1018
4.5756	6.1062
4.5716	6.1108
4.5675	6.1147
4.5635	6.1184
4.5595	6.1221
4.5555	6.1257
4.5515	6.1296
4.5475	6.1340
4.5435	6.1389
4.5395	6.1433
4.5356	6.1474
4.5316	6.1516
4.5276	6.1562
4.5237	6.1606
4.5197	6.1645
4.5158	6.1677
4.5119	6.1704
4.5080	6.1723
4.5040	6.1738
4.5001	6.1748
4.4962	6.1760
4.4923	6.1775
4.4884	6.1797
4.4846	6.1824
4.4807	6.1860
4.4768	6.1899
4.4730	6.1931
4.4691	6.1948
4.4652	6.1960
4.4614	6.1977
4.4576	6.2004
4.4537	6.2038
4.4499	6.2082
4.4461	6.2139
4.4423	6.2192
4.4385	6.2226
4.4347	6.2248
4.4309	6.2263
4.4271	6.2270
4.4233	6.2275
4.4196	6.2295
4.4158	6.2334
4.4120	6.2383
4.4083	6.2431
4.4045	6.2480
4.4008	6.2522
4.3971	6.2546
4.3934	6.2561
4.3896	6.2573
4.3859	6.2590
4.3822	6.2610
4.3785	6.2639
4.3748	6.2673
4.3711	6.2712
4.3674	6.2742
4.3638	6.2764
4.3601	6.2781
4.3564	6.2793
4.3528	6.2800
4.3491	6.2807
4.3455	6.2825
4.3418	6.2849
4.3382	6.2868
4.3346	6.2883
4.3310	6.2893
4.3273	6.2903
4.3237	6.2912
4.3201	6.2922
4.3165	6.2937
4.3129	6.2961
4.3094	6.2983
4.3058	6.3005
4.3022	6.3030
4.2986	6.3054
4.2951	6.3078
4.2915	6.3105
4.2880	6.3127
4.2844	6.3154
4.2809	6.3176
4.2774	6.3196
4.2738	6.3215
4.2703	6.3242
4.2668	6.3279
4.2633	6.3320
4.2598	6.3362
4.2563	6.3406
4.2528	6.3442
4.2493	6.3467
4.2458	6.3489
4.2424	6.3511
4.2389	6.3530
4.2354	6.3555
4.2320	6.3584
4.2285	6.3620
4.2251	6.3660
4.2216	6.3701
4.2182	6.3740
4.2148	6.3774
4.2113	6.3801
4.2079	6.3821
4.2045	6.3838
4.2011	6.3850
4.1977	6.3867
4.1943	6.3889
4.1909	6.3916
4.1875	6.3945
4.1841	6.3979
4.1808	6.4014
4.1774	6.4045
4.1740	6.4067
4.1707	6.4082
4.1673	6.4094
4.1640	6.4099
4.1606	6.4101
4.1573	6.4104
4.1540	6.4109
4.1506	6.4114
4.1473	6.4121
4.1440	6.4136
4.1407	6.4158
4.1374	6.4182
4.1341	6.4204
4.1308	6.4223
4.1275	6.4233
4.1242	6.4241
4.1209	6.4248
4.1177	6.4260
4.1144	6.4285
4.1111	6.4316
4.1079	6.4350
4.1046	6.4382
4.1014	6.4411
4.0981	6.4438
4.0949	6.4458
4.0917	6.4465
4.0884	6.4468
4.0852	6.4465
4.0820	6.4465
4.0788	6.4470
4.0756	6.4485
4.0724	6.4507
4.0692	6.4536
4.0660	6.4565
4.0628	6.4592
4.0596	6.4612
4.0565	6.4631
