Name:  Fluorite CaF2
Type:  Mineral
Class:   Halides
Subclass:    
Particle Size: Coarse  (74-250 Micrometers)
Sample No.:  flourite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Donated by Norma Vergo; sample from Bingham, New Mexico.

Description: The sample was a large piece of a transparent single 
crystal and appeared to be pure fluorite.




Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: flouri1a.txt

3.939326493	8.1836
3.936335288	8.1855
3.933348621	8.1855
3.930366483	8.1811
3.927388864	8.1809
3.924415753	8.188
3.921447139	8.1826
3.918483014	8.1784
3.915523366	8.1836
3.912568186	8.187
3.909617463	8.1863
3.906671188	8.1867
3.90372935	8.1885
3.900791939	8.1872
3.897858945	8.1902
3.894930359	8.1924
3.892007684	8.1926
3.889087881	8.1943
3.886172454	8.1985
3.883261396	8.197
3.880354695	8.1911
3.877452343	8.1877
3.874554329	8.187
3.871660644	8.1889
3.868771278	8.1897
3.865886222	8.1889
3.863005465	8.1877
3.860128998	8.188
3.857256812	8.188
3.854388896	8.1885
3.851525243	8.1865
3.848665841	8.1855
3.845812161	8.1894
3.842961232	8.1904
3.840114528	8.1845
3.837272037	8.1841
3.834433752	8.1916
3.831599662	8.187
3.828769759	8.1819
3.825944033	8.185
3.823122474	8.1838
3.820305074	8.1797
3.817491824	8.1833
3.814682714	8.1838
3.811877735	8.1824
3.809076878	8.1877
3.806280134	8.1916
3.803487494	8.1914
3.800698949	8.1899
