Name:  Beryl Be3Al2Si6O18
Type:  Mineral
Class:  Silicates
Subclass:  Cyclosilicates (Ring Silicates)
Particle Size:  Fine (Less than 2 Micrometers)
Sample No.:  beryl.1
Owner:  JHU
Wavelength Range:  IR
Origin: Sample from Maine via Hunt and Salisbury Collection sample 
#180B (purchased from Ward's Natural Science Establishment).
Description: The hand sample was cut and polished along an 
unknown axis.  It was pale green and appeared pure.  Microscopic 
examination showed a small amount (2% or less) of very fine, low 
birefringent material in the sample.  The contaminating grains 
occasionally have rhombic or cubic shape.  These grains were 
unidentifiable.
Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: beryl1a.txt

4.791268392	96.3962
4.78684422	96.3704
4.782430498	96.3787
4.778022625	96.3874
4.773622869	96.4143
4.769231209	96.4338
4.764847623	96.4221
4.760472086	96.4294
4.756104579	96.4324
4.751745078	96.4451
4.747393562	96.4846
4.743050009	96.5173
4.738714396	96.5364
4.734386703	96.5256
4.730066907	96.5359
4.725754987	96.5115
4.721450921	96.4832
4.717154688	96.4529
4.712866266	96.4812
4.708585635	96.5066
4.704312773	96.5198
4.700047658	96.5491
4.695790271	96.5583
4.691540589	96.5525
4.687298593	96.5574
4.68306426	96.5974
4.67883976	96.5915
4.67462069	96.572
4.670409221	96.5896
4.666205334	96.5925
4.662009009	96.6101
4.657820224	96.6033
4.65363896	96.6287
4.649465195	96.6321
4.645298911	96.6155
4.641140087	96.6248
4.636988702	96.6057
4.632844738	96.6277
4.628708174	96.6374
4.62457899	96.6238
4.620457167	96.6194
4.616342684	96.6619
4.612235523	96.6589
4.608135664	96.6213
4.604043086	96.6399
4.599957772	96.6804
4.595879702	96.7165
4.591808856	96.7351
4.587745215	96.7556
4.58368876	96.7668
4.57964157	96.7268
4.575599426	96.7175
4.571564412	96.719
4.567536508	96.7332
4.563515696	96.7566
4.559501956	96.7996
4.555495271	96.7873
4.551495621	96.7698
4.547502989	96.739
4.543517355	96.7048
4.539538701	96.7219
4.535567009	96.7546
4.531602261	96.7722
4.527644439	96.802
4.523693523	96.8215
4.519749497	96.8362
4.515814382	96.8152
4.511884077	96.8279
4.507960608	96.8181
4.504043956	96.8342
4.500134104	96.8342
4.496231034	96.8279
4.492334729	96.8235
4.488445171	96.8479
4.484562343	96.863
4.480686226	96.8181
4.476816804	96.8186
4.47295406	96.8479
4.469097975	96.8362
4.465248534	96.8025
4.461405718	96.8142
4.45756951	96.8342
4.453739894	96.8303
4.449916853	96.8303
4.44610037	96.8274
4.442290427	96.8503
4.438487009	96.8557
4.434690097	96.8582
4.430899676	96.8767
4.42711573	96.8914
4.423340197	96.8977
4.419569145	96.9236
4.415804518	96.9431
4.412046298	96.9499
4.408294471	96.9802
4.404549018	96.9822
4.400809925	96.9807
4.397077175	96.9421
4.393350752	96.9304
4.389630639	96.906
4.385916821	96.9294
4.382209282	96.9929
4.378508006	97.0251
4.374812977	97.0569
4.371124179	97.0369
4.367441596	97.0569
4.363765214	97.0574
4.360095015	97.029
4.356430985	97.0027
4.352773108	96.9778
4.349121369	96.9631
4.345475751	96.9397
4.341836241	96.9758
4.338202821	97.031
4.334577357	97.0579
4.330956072	97.0339
4.327340832	97.0491
4.323731623	97.0842
4.320128429	97.0828
4.316531235	97.0925
4.312940028	97.0745
4.30935479	97.074
4.305775509	97.0935
4.302202168	97.1038
4.298634754	97.114
4.29507325	97.0984
4.291517644	97.0452
4.287967919	97.0662
4.284424062	97.0847
4.280886058	97.0491
4.277353892	97.0447
4.27382755	97.029
4.270307018	97.0076
4.266792281	97.0007
4.263283325	97.0041
4.259780136	97.0105
4.256282699	97.0583
4.252791	97.0427
4.249306832	96.9709
4.245826565	96.8831
4.242351994	96.7522
4.238883105	96.5627
4.235419885	96.5647
4.231962319	96.7551
4.228510393	96.8909
4.225064094	97.0002
