Name:  Very pale brown to brownish yellow interior dry gravelly silt loam 
Type:  Soils
Class:  Aridisol
Subclass:  Gypsiorthid
Particle Size:  see additional information
Sample No.:  82P2695
Owner:  JHU
Wavelength range:  All
Origin:  Schuamri wildlife reserve on highway Azraq to Saudi Arabia via USDA 
Soil Conservation service.
Description:  from grazed rangeland.  Very pale brown interior dry gravelly silt 
loam to brownish yellow interior moist gravelly silt loam (typic gypsiorthid).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  82P2695a.txt

4.8001	19.2400
4.7957	19.1310
4.7913	19.0300
4.7868	18.9430
4.7824	18.8710
4.7780	18.8120
4.7736	18.7580
4.7692	18.7040
4.7648	18.6410
4.7605	18.5670
4.7561	18.4850
4.7517	18.4000
4.7474	18.3200
4.7431	18.2500
4.7387	18.1900
4.7344	18.1390
4.7301	18.0900
4.7258	18.0360
4.7215	17.9690
4.7172	17.8870
4.7129	17.7880
4.7086	17.6750
4.7043	17.5550
4.7000	17.4340
4.6958	17.3230
4.6915	17.2300
4.6873	17.1630
4.6831	17.1260
4.6788	17.1220
4.6746	17.1490
4.6704	17.2010
4.6662	17.2740
4.6620	17.3630
4.6578	17.4680
4.6536	17.5870
4.6495	17.7220
4.6453	17.8710
4.6411	18.0290
4.6370	18.1920
4.6328	18.3510
4.6287	18.5000
4.6246	18.6370
4.6205	18.7590
4.6163	18.8670
4.6122	18.9610
4.6081	19.0420
4.6040	19.1080
4.6000	19.1610
4.5959	19.2000
4.5918	19.2260
4.5877	19.2430
4.5837	19.2490
4.5796	19.2460
4.5756	19.2350
4.5716	19.2160
4.5675	19.1920
4.5635	19.1630
4.5595	19.1340
4.5555	19.1070
4.5515	19.0830
4.5475	19.0640
4.5435	19.0480
4.5395	19.0340
4.5356	19.0210
4.5316	19.0070
4.5276	18.9910
4.5237	18.9730
4.5197	18.9530
4.5158	18.9350
4.5119	18.9190
4.5080	18.9110
4.5040	18.9110
4.5001	18.9220
4.4962	18.9440
4.4923	18.9760
4.4884	19.0160
4.4846	19.0640
4.4807	19.1180
4.4768	19.1800
4.4730	19.2490
4.4691	19.3250
4.4652	19.4090
4.4614	19.4990
4.4576	19.5910
4.4537	19.6840
4.4499	19.7750
4.4461	19.8630
4.4423	19.9480
4.4385	20.0300
4.4347	20.1120
4.4309	20.1930
4.4271	20.2760
4.4233	20.3600
4.4196	20.4450
4.4158	20.5310
4.4120	20.6170
4.4083	20.7030
4.4045	20.7910
4.4008	20.8800
4.3971	20.9720
4.3934	21.0680
4.3896	21.1660
4.3859	21.2640
4.3822	21.3590
4.3785	21.4490
4.3748	21.5350
4.3711	21.6180
4.3674	21.6990
4.3638	21.7790
4.3601	21.8600
4.3564	21.9390
4.3528	22.0150
4.3491	22.0870
4.3455	22.1540
4.3418	22.2190
4.3382	22.2830
4.3346	22.3480
4.3310	22.4150
4.3273	22.4810
4.3237	22.5450
4.3201	22.6040
4.3165	22.6560
4.3129	22.6990
4.3094	22.7330
4.3058	22.7560
4.3022	22.7690
4.2986	22.7670
4.2951	22.7490
4.2915	22.7120
4.2880	22.6600
4.2844	22.6020
4.2809	22.5520
4.2774	22.5310
4.2738	22.5610
4.2703	22.6560
4.2668	22.8210
4.2633	23.0440
4.2598	23.3030
4.2563	23.5720
4.2528	23.8220
4.2493	24.0370
4.2458	24.2150
4.2424	24.3610
4.2389	24.4940
4.2354	24.6300
4.2320	24.7850
4.2285	24.9680
4.2251	25.1790
4.2216	25.4150
4.2182	25.6650
4.2148	25.9170
4.2113	26.1590
4.2079	26.3810
4.2045	26.5780
4.2011	26.7490
4.1977	26.8970
4.1943	27.0290
4.1909	27.1500
4.1875	27.2620
4.1841	27.3680
4.1808	27.4670
4.1774	27.5580
4.1740	27.6410
4.1707	27.7160
4.1673	27.7860
4.1640	27.8530
4.1606	27.9190
4.1573	27.9820
4.1540	28.0430
4.1506	28.1000
4.1473	28.1510
4.1440	28.1960
4.1407	28.2360
4.1374	28.2710
4.1341	28.3030
4.1308	28.3310
4.1275	28.3570
4.1242	28.3800
4.1209	28.3990
4.1177	28.4140
4.1144	28.4270
4.1111	28.4370
4.1079	28.4440
4.1046	28.4440
4.1014	28.4370
4.0981	28.4170
4.0949	28.3840
4.0917	28.3370
4.0884	28.2780
4.0852	28.2090
4.0820	28.1320
4.0788	28.0470
4.0756	27.9530
4.0724	27.8490
4.0692	27.7300
4.0660	27.5930
4.0628	27.4330
4.0596	27.2430
4.0565	27.0130
4.0533	26.7340
4.0501	26.3970
4.0470	26.0020
4.0438	25.5520
4.0406	25.0580
4.0375	24.5330
4.0344	23.9940
4.0312	23.4480
4.0281	22.8990
4.0250	22.3420
4.0218	21.7660
4.0187	21.1600
4.0156	20.5170
4.0125	19.8370
4.0094	19.1250
4.0063	18.3940
4.0032	17.6640
4.0001	16.9550
3.9970	16.2880
3.9940	15.6840
3.9909	15.1610
3.9878	14.7330
3.9847	14.4070
3.9817	14.1860
3.9786	14.0650
3.9756	14.0360
3.9725	14.0880
3.9695	14.2150
3.9665	14.4120
3.9634	14.6780
3.9604	15.0190
3.9574	15.4360
3.9544	15.9260
3.9513	16.4780
3.9483	17.0690
3.9453	17.6680
3.9423	18.2410
3.9393	18.7560
3.9363	19.1920
3.9333	19.5420
3.9304	19.8160
3.9274	20.0300
3.9244	20.2080
3.9214	20.3690
3.9185	20.5240
3.9155	20.6770
3.9126	20.8260
3.9096	20.9660
3.9067	21.0950
3.9037	21.2110
3.9008	21.3140
3.8979	21.4050
3.8949	21.4850
3.8920	21.5550
3.8891	21.6130
3.8862	21.6600
3.8833	21.6980
3.8804	21.7260
3.8775	21.7520
3.8746	21.7780
3.8717	21.8100
3.8688	21.8530
3.8659	21.9100
3.8630	21.9840
3.8601	22.0720
3.8573	22.1740
3.8544	22.2850
3.8515	22.4060
3.8487	22.5340
3.8458	22.6760
3.8430	22.8350
3.8401	23.0170
3.8373	23.2250
3.8344	23.4570
3.8316	23.7080
3.8288	23.9670
3.8259	24.2290
3.8231	24.4860
3.8203	24.7390
3.8175	24.9910
3.8147	25.2520
3.8119	25.5280
3.8091	25.8260
3.8063	26.1480
3.8035	26.4930
3.8007	26.8520
3.7979	27.2140
3.7951	27.5640
3.7924	27.8890
3.7896	28.1770
3.7868	28.4210
3.7841	28.6200
3.7813	28.7780
3.7785	28.9040
3.7758	29.0040
3.7730	29.0860
3.7703	29.1520
3.7676	29.2030
3.7648	29.2390
3.7621	29.2600
3.7594	29.2680
3.7566	29.2650
3.7539	29.2550
3.7512	29.2410
3.7485	29.2260
3.7458	29.2120
3.7431	29.1980
3.7404	29.1850
3.7377	29.1700
3.7350	29.1510
3.7323	29.1250
3.7296	29.0910
3.7269	29.0470
3.7242	28.9940
3.7216	28.9360
3.7189	28.8740
3.7162	28.8120
3.7136	28.7490
3.7109	28.6870
3.7083	28.6230
3.7056	28.5580
3.7030	28.4900
3.7003	28.4210
3.6977	28.3490
3.6950	28.2750
3.6924	28.2000
3.6898	28.1230
3.6872	28.0450
