Name:  Brown to dark brown gravelly loam 
Type:  Soils
Class:  Alfisol
Subclass:  Haploxeralf
Particle Size:  see additional information
Sample No.:  87P313
Owner:  JHU
Wavelength range:  All
Origin:  Klickitat Co., Wa. via USDA Soil Conservation service.

Description:  Brown to dark brown gravelly loam (medial-skeletal, 
frigid ultic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P313a.txt

3.4607	7.3481
3.4584	7.3144
3.4561	7.2798
3.4538	7.2536
3.4515	7.2239
3.4492	7.1694
3.4469	7.0945
3.4446	7.0134
3.4423	6.9477
3.4400	6.8867
3.4378	6.8257
3.4355	6.7666
3.4332	6.6955
3.4309	6.6162
3.4287	6.5329
3.4264	6.4468
3.4241	6.3674
3.4219	6.2986
3.4196	6.2485
3.4174	6.2134
3.4151	6.1880
3.4129	6.1802
3.4106	6.1814
3.4084	6.1804
3.4061	6.1838
3.4039	6.1955
3.4017	6.2241
3.3994	6.2637
3.3972	6.3127
3.3950	6.3625
3.3928	6.4001
3.3906	6.4253
3.3883	6.4387
3.3861	6.4416
3.3839	6.4426
3.3817	6.4468
3.3795	6.4641
3.3773	6.4812
3.3751	6.4953
3.3729	6.5051
3.3707	6.5159
3.3685	6.5334
3.3663	6.5613
3.3641	6.5835
3.3620	6.6113
3.3598	6.6443
3.3576	6.6699
3.3554	6.6838
3.3533	6.7021
3.3511	6.7226
3.3489	6.7395
3.3468	6.7405
3.3446	6.7505
3.3425	6.7763
3.3403	6.7925
3.3382	6.7995
3.3360	6.8044
3.3339	6.7961
3.3317	6.7851
3.3296	6.7678
3.3274	6.7536
3.3253	6.7446
3.3232	6.7275
3.3210	6.6814
3.3189	6.6113
3.3168	6.5481
3.3147	6.5222
3.3126	6.5256
3.3104	6.5466
3.3083	6.5874
3.3062	6.6177
3.3041	6.6098
3.3020	6.5808
3.2999	6.5476
3.2978	6.5202
3.2957	6.4975
3.2936	6.4726
3.2915	6.4587
3.2894	6.4416
3.2874	6.4128
3.2853	6.3769
3.2832	6.3347
3.2811	6.2937
3.2790	6.2544
3.2770	6.2168
3.2749	6.1897
3.2728	6.1699
3.2708	6.1440
3.2687	6.1304
3.2666	6.1194
3.2646	6.1015
3.2625	6.0725
3.2605	6.0388
3.2584	6.0041
3.2564	5.9639
3.2543	5.9221
3.2523	5.8948
