Name:  Brown sandy loam
Type:  Soils
Class:  Alfisol
Subclass:  Paleustalf
Particle Size:  see additional information
Sample No.:  87P2410
Owner:  JHU
Wavelength range:  All
Origin:  Llano Co., Tx. via USDA Soil Conservation service.

Description:  The parent material is granitic rock from level or 
undulating plains.  Brown sandy loam (fine, mixed, thermic udic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P2410a.txt

3.2915	9.9819
3.2894	9.9023
3.2874	9.8530
3.2853	9.7837
3.2832	9.6994
3.2811	9.6179
3.2790	9.5674
3.2770	9.5088
3.2749	9.4643
3.2728	9.3825
3.2708	9.2988
3.2687	9.2473
3.2666	9.1887
3.2646	9.1260
3.2625	9.0681
3.2605	9.0095
3.2584	8.9536
3.2564	8.9009
3.2543	8.8308
3.2523	8.7588
3.2503	8.7107
3.2482	8.6665
3.2462	8.6089
3.2442	8.5698
3.2421	8.5166
3.2401	8.4699
3.2381	8.4062
3.2361	8.3139
3.2340	8.2673
3.2320	8.2422
3.2300	8.1977
3.2280	8.1396
3.2260	8.0915
3.2240	8.0383
3.2220	7.9714
3.2200	7.9255
3.2180	7.9025
3.2160	7.8296
3.2140	7.7434
3.2120	7.7036
3.2100	7.6929
3.2080	7.6345
3.2060	7.5635
3.2040	7.5544
3.2021	7.5437
3.2001	7.4700
3.1981	7.4040
3.1961	7.3359
3.1942	7.2875
3.1922	7.2392
