Name:  Very dark grayish brown loam
Type:  Soils
Class:  Mollisol
Subclass:  Cryoboroll
Particle Size:  see additional information
Sample No.:  87P4453
Owner:  JHU
Wavelength range:  All
Origin:  Wayne Co., Utah, via USDA Soil Conservation service.

Description:  Very dark grayish brown loam, (loamy-skeletal, mixed, typic).  
Physiography: plateaus or tablelands.




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P4453a.txt

3.3533	5.7493
3.3511	5.7400
3.3489	5.7297
3.3468	5.7180
3.3446	5.7012
3.3425	5.6843
3.3403	5.6789
3.3382	5.6846
3.3360	5.6850
3.3339	5.6753
3.3317	5.6702
3.3296	5.6560
3.3274	5.6352
3.3253	5.6113
3.3232	5.5788
3.3210	5.5430
3.3189	5.5124
3.3168	5.4873
3.3147	5.4665
3.3126	5.4433
3.3104	5.4324
3.3083	5.4150
3.3062	5.3760
3.3041	5.3352
3.3020	5.3039
3.2999	5.2746
3.2978	5.2407
3.2957	5.2029
3.2936	5.1780
3.2915	5.1477
3.2894	5.1125
3.2874	5.0806
3.2853	5.0535
3.2832	5.0256
3.2811	4.9917
3.2790	4.9548
3.2770	4.9314
3.2749	4.9060
3.2728	4.8713
3.2708	4.8310
3.2687	4.8003
3.2666	4.7734
3.2646	4.7417
3.2625	4.7087
3.2605	4.6912
3.2584	4.6709
3.2564	4.6348
3.2543	4.5998
3.2523	4.5725
3.2503	4.5430
3.2482	4.5112
3.2462	4.4890
3.2442	4.4783
3.2421	4.4636
3.2401	4.4375
3.2381	4.4018
3.2361	4.3625
3.2340	4.3269
3.2320	4.2995
3.2300	4.2803
3.2280	4.2712
3.2260	4.2651
3.2240	4.2524
3.2220	4.2307
3.2200	4.2058
3.2180	4.1853
3.2160	4.1702
3.2140	4.1504
3.2120	4.1272
3.2100	4.0962
3.2080	4.0547
3.2060	4.0161
3.2040	3.9839
3.2021	3.9575
3.2001	3.9416
