Name:  Dark brown fine sandy loam 
Type:  Soils
Class:  Inceptisol
Subclass:  Haplumbrept
Particle Size:  see additional information
Sample No.:  86P4561
Owner:  JHU
Wavelength range:  All
Origin:  Haywood Co. NC. via USDA Soil Conservation service.

Description:  Dark brown fine sandy loam (sandy-skeletal, mixed, 
mesic Fluventic haplumbrept).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  86P4561a.txt

5.6719	4.1614
5.6657	4.2251
5.6596	4.2722
5.6534	4.3174
5.6472	4.3662
5.6411	4.4238
5.6349	4.4963
5.6288	4.5815
5.6227	4.6753
5.6166	4.7654
5.6106	4.8452
5.6045	4.9226
5.5984	4.9944
5.5924	5.0657
5.5864	5.1431
5.5804	5.2307
5.5744	5.3271
5.5684	5.4265
5.5624	5.5283
5.5564	5.6284
5.5505	5.7197
5.5445	5.8078
5.5386	5.8957
5.5327	5.9807
5.5268	6.0622
5.5209	6.1411
5.5151	6.2187
5.5092	6.2961
5.5033	6.3733
5.4975	6.4436
5.4917	6.5063
5.4859	6.5613
5.4801	6.6076
5.4743	6.6533
5.4685	6.7043
5.4628	6.7644
5.4570	6.8308
5.4513	6.8913
5.4455	6.9419
5.4398	6.9697
5.4341	6.9702
5.4284	6.9575
5.4228	6.9441
5.4171	6.9392
5.4114	6.9436
5.4058	6.9521
5.4002	6.9592
5.3945	6.9551
5.3889	6.9402
5.3833	6.9180
5.3778	6.8933
5.3722	6.8703
5.3666	6.8503
5.3611	6.8376
5.3555	6.8357
5.3500	6.8493
5.3445	6.8794
5.3390	6.9214
5.3335	6.9673
5.3280	7.0105
5.3225	7.0478
5.3171	7.0825
5.3116	7.1128
5.3062	7.1426
5.3008	7.1782
5.2954	7.2175
5.2900	7.2556
5.2846	7.2959
5.2792	7.3410
5.2738	7.3935
5.2684	7.4490
5.2631	7.5090
5.2578	7.5754
5.2524	7.6418
5.2471	7.7058
5.2418	7.7720
5.2365	7.8398
5.2312	7.9048
5.2260	7.9614
5.2207	8.0171
5.2154	8.0737
5.2102	8.1277
5.2050	8.1784
5.1998	8.2261
5.1945	8.2702
5.1893	8.3042
5.1842	8.3254
5.1790	8.3413
5.1738	8.3557
5.1686	8.3691
5.1635	8.3801
5.1584	8.3921
5.1532	8.4087
5.1481	8.4262
5.1430	8.4433
5.1379	8.4599
5.1328	8.4763
5.1277	8.4961
5.1227	8.5166
5.1176	8.5368
5.1126	8.5591
5.1075	8.5796
5.1025	8.5947
5.0975	8.6008
5.0925	8.6011
5.0875	8.6008
5.0825	8.5971
5.0775	8.5952
5.0726	8.6008
5.0676	8.6123
5.0627	8.6235
5.0577	8.6382
5.0528	8.6614
5.0479	8.6828
5.0430	8.6946
5.0380	8.7036
5.0332	8.7104
5.0283	8.7151
5.0234	8.7195
5.0185	8.7265
5.0137	8.7402
5.0088	8.7522
5.0040	8.7595
4.9992	8.7710
4.9944	8.7888
4.9896	8.8149
4.9848	8.8491
4.9800	8.8872
4.9752	8.9328
4.9704	8.9829
4.9657	9.0322
4.9609	9.0869
4.9562	9.1416
4.9514	9.1902
4.9467	9.2322
4.9420	9.2666
4.9373	9.2937
4.9326	9.3215
4.9279	9.3598
4.9232	9.4111
4.9186	9.4731
4.9139	9.5437
4.9092	9.6257
4.9046	9.7175
4.9000	9.8152
4.8953	9.9197
4.8907	10.0271
4.8861	10.1313
4.8815	10.2285
4.8769	10.3169
4.8723	10.3960
4.8678	10.4702
4.8632	10.5395
4.8586	10.6015
4.8541	10.6582
4.8495	10.7155
4.8450	10.7729
4.8405	10.8259
4.8360	10.8708
4.8315	10.9133
4.8270	10.9543
4.8225	10.9936
4.8180	11.0346
4.8135	11.0793
4.8090	11.1252
4.8046	11.1677
4.8001	11.2021
4.7957	11.2319
4.7913	11.2619
4.7868	11.2917
4.7824	11.3227
4.7780	11.3579
4.7736	11.3938
4.7692	11.4345
4.7648	11.4748
4.7605	11.5068
4.7561	11.5317
4.7517	11.5537
4.7474	11.5786
4.7431	11.6035
4.7387	11.6257
4.7344	11.6543
4.7301	11.6872
4.7258	11.7158
4.7215	11.7375
4.7172	11.7534
4.7129	11.7622
4.7086	11.7632
4.7043	11.7570
4.7000	11.7480
4.6958	11.7353
4.6915	11.7236
4.6873	11.7170
4.6831	11.7168
4.6788	11.7285
4.6746	11.7607
4.6704	11.8139
4.6662	11.8752
4.6620	11.9326
4.6578	11.9922
4.6536	12.0559
4.6495	12.1162
4.6453	12.1770
4.6411	12.2392
4.6370	12.3025
4.6328	12.3598
4.6287	12.4082
4.6246	12.4553
4.6205	12.5039
4.6163	12.5507
4.6122	12.5969
4.6081	12.6438
4.6040	12.6926
4.6000	12.7424
4.5959	12.7812
4.5918	12.8127
4.5877	12.8425
4.5837	12.8667
4.5796	12.8852
4.5756	12.9038
4.5716	12.9260
4.5675	12.9475
4.5635	12.9638
4.5595	12.9785
4.5555	12.9880
4.5515	12.9904
4.5475	12.9882
4.5435	12.9824
4.5395	12.9773
4.5356	12.9731
4.5316	12.9663
4.5276	12.9507
4.5237	12.9204
4.5197	12.8791
4.5158	12.8342
4.5119	12.7876
4.5080	12.7412
4.5040	12.7007
4.5001	12.6674
4.4962	12.6428
4.4923	12.6259
4.4884	12.6198
4.4846	12.6272
4.4807	12.6418
4.4768	12.6528
4.4730	12.6594
4.4691	12.6628
4.4652	12.6696
4.4614	12.6899
4.4576	12.7180
4.4537	12.7509
4.4499	12.7929
4.4461	12.8391
4.4423	12.8803
4.4385	12.9128
4.4347	12.9423
4.4309	12.9773
4.4271	13.0092
4.4233	13.0363
4.4196	13.0703
4.4158	13.1108
4.4120	13.1494
4.4083	13.1828
4.4045	13.2185
4.4008	13.2575
4.3971	13.2964
4.3934	13.3337
4.3896	13.3706
4.3859	13.4099
4.3822	13.4477
4.3785	13.4829
4.3748	13.5202
4.3711	13.5522
4.3674	13.5793
4.3638	13.6042
4.3601	13.6189
4.3564	13.6274
4.3528	13.6345
4.3491	13.6450
4.3455	13.6591
4.3418	13.6743
4.3382	13.6931
4.3346	13.7104
4.3310	13.7209
4.3273	13.7236
4.3237	13.7187
4.3201	13.7094
4.3165	13.6972
4.3129	13.6821
4.3094	13.6631
4.3058	13.6425
4.3022	13.6242
4.2986	13.6023
4.2951	13.5776
4.2915	13.5554
4.2880	13.5400
4.2844	13.5317
4.2809	13.5290
4.2774	13.5317
4.2738	13.5442
4.2703	13.5610
4.2668	13.5783
4.2633	13.6010
4.2598	13.6230
4.2563	13.6352
4.2528	13.6323
4.2493	13.6164
4.2458	13.5952
4.2424	13.5681
4.2389	13.5388
4.2354	13.5183
4.2320	13.5075
4.2285	13.5056
4.2251	13.5134
4.2216	13.5305
4.2182	13.5500
4.2148	13.5625
4.2113	13.5720
4.2079	13.5808
4.2045	13.5827
4.2011	13.5827
4.1977	13.5815
4.1943	13.5810
4.1909	13.5761
4.1875	13.5627
4.1841	13.5542
4.1808	13.5603
4.1774	13.5683
4.1740	13.5730
4.1707	13.5688
4.1673	13.5586
4.1640	13.5410
4.1606	13.5119
4.1573	13.4887
4.1540	13.4824
4.1506	13.4792
4.1473	13.4714
4.1440	13.4611
4.1407	13.4502
4.1374	13.4392
4.1341	13.4270
4.1308	13.4167
4.1275	13.4079
4.1242	13.3940
4.1209	13.3777
4.1177	13.3608
4.1144	13.3459
