Name:  Dark grayish brown silty loam
Type:  Soils
Class:  Mollisol
Subclass:  Agialboll
Particle Size:  see additional information
Sample No.:  85P5339
Owner:  JHU
Wavelength range:  All
Origin:  Nez Perce Co., Id. via USDA Soil Conservation service.

Description: Parent material is loess from mixed material.  Dark 
grayish brown silty loam, (fine, montmorillonitic, mesic xeric).  
Physiography:  upland slope in plateaus or tablelands.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P5339a.txt

4.3201	21.8120
4.3165	21.8268
4.3129	21.8295
4.3094	21.8229
4.3058	21.8159
4.3022	21.8198
4.2986	21.8320
4.2951	21.8259
4.2915	21.7700
4.2880	21.6462
4.2844	21.4643
4.2809	21.2651
4.2774	21.1162
4.2738	21.0878
4.2703	21.2004
4.2668	21.4184
4.2633	21.6799
4.2598	21.9228
4.2563	22.1027
4.2528	22.2060
4.2493	22.2504
4.2458	22.2685
4.2424	22.2800
4.2389	22.2949
4.2354	22.3193
4.2320	22.3554
4.2285	22.4020
4.2251	22.4577
4.2216	22.5192
4.2182	22.5820
4.2148	22.6408
4.2113	22.6945
4.2079	22.7424
4.2045	22.7836
4.2011	22.8210
4.1977	22.8574
4.1943	22.8928
4.1909	22.9272
4.1875	22.9599
4.1841	22.9916
4.1808	23.0183
4.1774	23.0395
4.1740	23.0593
4.1707	23.0793
4.1673	23.1008
4.1640	23.1249
4.1606	23.1513
4.1573	23.1784
4.1540	23.2033
4.1506	23.2255
4.1473	23.2465
4.1440	23.2665
4.1407	23.2873
4.1374	23.3088
4.1341	23.3295
4.1308	23.3493
4.1275	23.3688
4.1242	23.3871
4.1209	23.4037
4.1177	23.4201
4.1144	23.4367
4.1111	23.4526
4.1079	23.4670
4.1046	23.4826
4.1014	23.5012
4.0981	23.5202
4.0949	23.5392
4.0917	23.5593
4.0884	23.5754
4.0852	23.5864
4.0820	23.5920
4.0788	23.5954
4.0756	23.6008
4.0724	23.6096
4.0692	23.6235
4.0660	23.6411
4.0628	23.6562
4.0596	23.6655
4.0565	23.6667
4.0533	23.6625
4.0501	23.6594
4.0470	23.6628
4.0438	23.6738
4.0406	23.6899
4.0375	23.7055
4.0344	23.7160
4.0312	23.7182
4.0281	23.7133
4.0250	23.7070
4.0218	23.7026
4.0187	23.6982
4.0156	23.6945
4.0125	23.6931
4.0094	23.6935
4.0063	23.6948
4.0032	23.6957
4.0001	23.6974
3.9970	23.6979
3.9940	23.6938
3.9909	23.6867
3.9878	23.6813
3.9847	23.6799
3.9817	23.6808
3.9786	23.6821
3.9756	23.6821
3.9725	23.6791
3.9695	23.6703
3.9665	23.6574
3.9634	23.6457
3.9604	23.6374
3.9574	23.6313
3.9544	23.6247
3.9513	23.6147
3.9483	23.6008
3.9453	23.5812
3.9423	23.5598
3.9393	23.5410
3.9363	23.5258
3.9333	23.5134
3.9304	23.5046
3.9274	23.4970
3.9244	23.4894
3.9214	23.4819
3.9185	23.4736
3.9155	23.4606
3.9126	23.4404
3.9096	23.4135
3.9067	23.3825
3.9037	23.3491
3.9008	23.3171
3.8979	23.2885
3.8949	23.2629
3.8920	23.2370
3.8891	23.2104
3.8862	23.1852
3.8833	23.1603
3.8804	23.1371
3.8775	23.1171
3.8746	23.0986
3.8717	23.0776
3.8688	23.0493
3.8659	23.0136
3.8630	22.9736
3.8601	22.9308
3.8573	22.8903
3.8544	22.8549
3.8515	22.8222
3.8487	22.7888
3.8458	22.7507
3.8430	22.7087
3.8401	22.6664
3.8373	22.6276
3.8344	22.5949
3.8316	22.5659
3.8288	22.5349
3.8259	22.5017
3.8231	22.4631
3.8203	22.4182
3.8175	22.3713
3.8147	22.3278
3.8119	22.2871
3.8091	22.2465
3.8063	22.2050
3.8035	22.1638
3.8007	22.1201
3.7979	22.0725
3.7951	22.0217
3.7924	21.9702
3.7896	21.9174
3.7868	21.8642
3.7841	21.8112
3.7813	21.7595
3.7785	21.7087
3.7758	21.6574
3.7730	21.6052
3.7703	21.5529
3.7676	21.5021
3.7648	21.4509
3.7621	21.3962
3.7594	21.3388
3.7566	21.2780
3.7539	21.2133
3.7512	21.1481
3.7485	21.0871
3.7458	21.0305
3.7431	20.9768
3.7404	20.9248
3.7377	20.8764
3.7350	20.8273
3.7323	20.7734
3.7296	20.7158
3.7269	20.6564
3.7242	20.5930
3.7216	20.5280
3.7189	20.4653
3.7162	20.4055
3.7136	20.3430
3.7109	20.2783
3.7083	20.2153
3.7056	20.1562
3.7030	20.0991
3.7003	20.0444
3.6977	19.9926
3.6950	19.9367
3.6924	19.8713
3.6898	19.8027
3.6872	19.7341
3.6845	19.6682
3.6819	19.6049
3.6793	19.5449
3.6767	19.4887
3.6741	19.4301
3.6715	19.3652
3.6689	19.2961
3.6663	19.2233
3.6637	19.1472
3.6611	19.0712
3.6585	18.9982
3.6560	18.9292
3.6534	18.8627
3.6508	18.7968
3.6482	18.7324
3.6457	18.6687
3.6431	18.6040
3.6406	18.5380
3.6380	18.4716
3.6355	18.4055
3.6329	18.3405
3.6304	18.2771
3.6278	18.2143
3.6253	18.1489
3.6227	18.0776
3.6202	17.9995
3.6177	17.9177
3.6152	17.8374
3.6127	17.7622
3.6101	17.6923
3.6076	17.6252
3.6051	17.5568
3.6026	17.4865
3.6001	17.4148
3.5976	17.3442
3.5951	17.2753
3.5926	17.2080
3.5901	17.1379
3.5876	17.0612
3.5852	16.9777
3.5827	16.8913
3.5802	16.8068
