Name:  Brown gravelly sandy loam
Type:  Soils
Class:  Aridisol
Subclass:  Haplargid
Particle Size:  see additional information
Sample No.:  89P1793
Owner:  JHU
Wavelength range:  All
Origin:  Inyo Co., Ca., (Wild Horse Mesa) via USDA Soil Conservation 
service.
Description:  The parent material is alluvium from fan terrace.  Brown 
gravelly sandy loam, (fine-loamy, mixed, mesic Xerollic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  89P1793a.txt

3.9604	28.9405
3.9574	28.9770
3.9544	29.0147
3.9513	29.0535
3.9483	29.0928
3.9453	29.1302
3.9423	29.1629
3.9393	29.1890
3.9363	29.2070
3.9333	29.2179
3.9304	29.2247
3.9274	29.2311
3.9244	29.2385
3.9214	29.2463
3.9185	29.2529
3.9155	29.2569
3.9126	29.2555
3.9096	29.2477
3.9067	29.2337
3.9037	29.2145
3.9008	29.1902
3.8979	29.1624
3.8949	29.1328
3.8920	29.1035
3.8891	29.0755
3.8862	29.0490
3.8833	29.0239
3.8804	28.9986
3.8775	28.9713
3.8746	28.9417
3.8717	28.9098
3.8688	28.8771
3.8659	28.8444
3.8630	28.8146
3.8601	28.7887
3.8573	28.7681
3.8544	28.7513
3.8515	28.7374
3.8487	28.7236
3.8458	28.7085
3.8430	28.6914
3.8401	28.6732
3.8373	28.6559
3.8344	28.6403
3.8316	28.6268
3.8288	28.6142
3.8259	28.6012
3.8231	28.5870
3.8203	28.5711
3.8175	28.5541
3.8147	28.5358
3.8119	28.5164
3.8091	28.4944
3.8063	28.4683
3.8035	28.4373
3.8007	28.4020
3.7979	28.3627
3.7951	28.3203
3.7924	28.2756
3.7896	28.2284
3.7868	28.1792
3.7841	28.1278
3.7813	28.0740
3.7785	28.0189
3.7758	27.9623
3.7730	27.9045
3.7703	27.8453
3.7676	27.7844
3.7648	27.7217
