Name:  Brown to dark brown sand
Type:  Soils
Class:  Entisol
Subclass:  Quartzipsamment
Particle Size:  see additional information
Sample No.:  87P706
Owner:  JHU
Wavelength range:  All
Origin:  Dorchester Co., Md. via USDA Soil Conservation service.

Description:  The parent material is alluvium from mixed material from 
upland slope in coastal plains.  Brown to dark brown sand (coated, mesic 
typic).  



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P706a.txt

3.8035	18.1833
3.8007	18.1925
3.7979	18.1442
3.7951	18.0775
3.7924	18.0537
3.7896	18.0102
3.7868	17.9404
3.7841	17.8896
3.7813	17.8313
3.7785	17.7863
3.7758	17.7399
3.7730	17.6335
3.7703	17.5585
3.7676	17.5417
3.7648	17.4790
3.7621	17.4211
3.7594	17.3675
3.7566	17.3144
3.7539	17.2690
3.7512	17.2011
3.7485	17.1408
3.7458	17.0861
3.7431	17.0388
3.7404	16.9943
3.7377	16.9331
3.7350	16.8957
3.7323	16.8689
3.7296	16.8493
3.7269	16.8493
3.7242	16.8469
3.7216	16.7880
3.7189	16.7607
3.7162	16.7956
3.7136	16.7939
3.7109	16.7661
3.7083	16.7580
3.7056	16.7990
3.7030	16.8278
3.7003	16.8188
3.6977	16.8220
3.6950	16.8364
3.6924	16.8259
3.6898	16.7836
3.6872	16.7841
3.6845	16.7810
3.6819	16.7695
3.6793	16.7641
3.6767	16.7307
3.6741	16.7478
3.6715	16.7727
3.6689	16.7097
3.6663	16.6301
3.6637	16.5896
3.6611	16.6001
3.6585	16.5866
3.6560	16.5244
3.6534	16.4631
3.6508	16.4450
3.6482	16.4272
3.6457	16.3972
3.6431	16.3513
3.6406	16.2975
3.6380	16.2407
3.6355	16.2038
3.6329	16.1424
3.6304	16.0656
3.6278	16.0109
3.6253	15.9685
3.6227	15.9082
3.6202	15.8779
3.6177	15.8837
3.6152	15.7981
3.6127	15.6814
3.6101	15.6320
3.6076	15.5847
3.6051	15.5559
3.6026	15.4885
3.6001	15.4411
3.5976	15.4079
3.5951	15.3491
3.5926	15.2922
3.5901	15.2224
3.5876	15.1721
3.5852	15.1132
3.5827	15.0405
3.5802	14.9985
3.5777	14.9946
3.5753	14.9658
3.5728	14.8750
3.5704	14.7873
3.5679	14.7304
3.5654	14.7019
3.5630	14.6667
3.5605	14.5844
3.5581	14.5166
3.5557	14.4702
3.5532	14.4409
3.5508	14.3789
3.5484	14.2937
3.5459	14.2324
3.5435	14.1677
3.5411	14.0824
3.5387	14.0061
3.5363	13.9951
3.5338	13.8896
3.5314	13.7568
3.5290	13.6992
3.5266	13.6013
3.5242	13.5161
3.5218	13.3715
3.5195	13.2055
3.5171	13.0600
3.5147	12.8437
3.5123	12.5666
3.5099	12.3393
3.5075	12.1494
3.5052	12.0681
3.5028	12.0608
3.5004	12.0891
3.4981	12.0827
3.4957	12.1196
3.4934	12.1909
3.4910	12.2153
3.4887	12.1809
3.4863	12.1882
3.4840	12.1445
3.4816	12.1135
3.4793	12.1196
3.4770	12.0766
3.4746	12.0373
3.4723	11.9958
3.4700	11.9411
3.4677	11.8957
3.4653	11.8335
3.4630	11.7815
3.4607	11.7378
3.4584	11.6516
3.4561	11.5569
3.4538	11.4780
3.4515	11.4206
3.4492	11.3164
3.4469	11.2312
3.4446	11.1609
3.4423	11.0444
3.4400	10.9123
3.4378	10.8100
3.4355	10.6938
3.4332	10.5473
3.4309	10.3252
3.4287	10.0984
3.4264	9.9831
3.4241	9.9114
3.4219	9.8266
3.4196	9.7734
3.4174	9.7593
3.4151	9.7414
3.4129	9.7363
3.4106	9.7644
3.4084	9.7988
3.4061	9.8305
3.4039	9.8445
3.4017	9.8381
3.3994	9.8564
3.3972	9.8530
3.3950	9.8535
3.3928	9.9438
3.3906	9.9812
3.3883	9.9199
3.3861	9.9079
3.3839	9.9348
3.3817	9.8769
3.3795	9.8415
3.3773	9.8716
3.3751	9.8789
3.3729	9.8375
3.3707	9.8301
3.3685	9.8689
3.3663	9.8969
3.3641	9.8750
3.3620	9.8755
3.3598	9.8575
3.3576	9.8575
3.3554	9.8486
3.3533	9.8366
3.3511	9.8510
3.3489	9.8425
3.3468	9.8291
3.3446	9.8098
3.3425	9.7864
3.3403	9.7812
3.3382	9.7558
3.3360	9.7109
3.3339	9.6902
3.3317	9.6567
3.3296	9.6184
3.3274	9.6008
3.3253	9.5698
3.3232	9.5227
3.3210	9.4721
3.3189	9.4343
3.3168	9.4309
3.3147	9.3945
3.3126	9.3188
3.3104	9.2744
3.3083	9.2500
3.3062	9.2285
3.3041	9.2141
3.3020	9.1548
3.2999	9.0788
3.2978	9.0195
3.2957	8.9983
3.2936	9.0071
3.2915	8.9624
3.2894	8.8869
3.2874	8.8352
3.2853	8.7917
3.2832	8.7131
3.2811	8.7265
3.2790	8.7046
3.2770	8.6020
3.2749	8.5915
3.2728	8.5442
3.2708	8.4814
3.2687	8.4419
3.2666	8.3916
3.2646	8.3327
3.2625	8.3083
3.2605	8.2868
3.2584	8.2634
3.2564	8.2451
3.2543	8.1916
3.2523	8.1333
3.2503	8.1045
3.2482	8.0442
3.2462	7.9670
3.2442	7.9634
3.2421	7.9634
3.2401	7.8877
3.2381	7.8637
3.2361	7.8533
3.2340	7.8044
3.2320	7.7446
3.2300	7.6911
3.2280	7.6733
3.2260	7.6799
3.2240	7.6628
3.2220	7.6189
3.2200	7.5959
3.2180	7.5373
3.2160	7.5112
3.2140	7.5034
3.2120	7.4092
3.2100	7.3699
3.2080	7.3699
3.2060	7.3379
3.2040	7.2849
3.2021	7.2656
