Name:  Dark yellowish brown micaceous loam
Type:  Soils
Class:  Inceptisol
Subclass:  Dystrochrept
Particle Size:  see additional information
Sample No.:  88P2535
Owner:  JHU
Wavelength range:  All
Origin: Howard Co., Md. via USDA Soil Conservation service.

Description:  The parent material is schist and phyllite.  Dark 
yellowish brown micaceous loam (coarse-loamy, micaceous, mesic typic), 
from piedmonts.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  88P2535a.txt

4.4846	18.2434
4.4807	18.2399
4.4768	18.2348
4.4730	18.2375
4.4691	18.2622
4.4652	18.2980
4.4614	18.3454
4.4576	18.4094
4.4537	18.4799
4.4499	18.5505
4.4461	18.6220
4.4423	18.6975
4.4385	18.7736
4.4347	18.8310
4.4309	18.8779
4.4271	18.9257
4.4233	18.9760
4.4196	19.0336
4.4158	19.0937
4.4120	19.1560
4.4083	19.2233
4.4045	19.2836
4.4008	19.3374
4.3971	19.3898
4.3934	19.4536
4.3896	19.5312
4.3859	19.6105
4.3822	19.6904
4.3785	19.7756
4.3748	19.8535
4.3711	19.9133
4.3674	19.9606
4.3638	20.0017
4.3601	20.0436
4.3564	20.0881
4.3528	20.1367
4.3491	20.1826
4.3455	20.2189
4.3418	20.2480
4.3382	20.2788
4.3346	20.3002
4.3310	20.3190
4.3273	20.3444
4.3237	20.3723
4.3201	20.3901
4.3165	20.4025
4.3129	20.4055
4.3094	20.3981
4.3058	20.3737
4.3022	20.3439
4.2986	20.3203
4.2951	20.3117
4.2915	20.3139
4.2880	20.3073
4.2844	20.2941
4.2809	20.2812
4.2774	20.2707
4.2738	20.2758
4.2703	20.3059
4.2668	20.3681
4.2633	20.4506
4.2598	20.5114
4.2563	20.5502
4.2528	20.5566
4.2493	20.5378
4.2458	20.5078
4.2424	20.4873
4.2389	20.4873
4.2354	20.5036
4.2320	20.5214
4.2285	20.5397
4.2251	20.5666
4.2216	20.6003
4.2182	20.6193
4.2148	20.6301
4.2113	20.6491
4.2079	20.6708
4.2045	20.6833
4.2011	20.6906
4.1977	20.7106
4.1943	20.7258
4.1909	20.7231
4.1875	20.7192
4.1841	20.7285
4.1808	20.7421
4.1774	20.7524
4.1740	20.7697
4.1707	20.7871
4.1673	20.8012
4.1640	20.8078
4.1606	20.8017
4.1573	20.7949
4.1540	20.7866
4.1506	20.7871
4.1473	20.8017
4.1440	20.8110
4.1407	20.8188
4.1374	20.8183
4.1341	20.8073
4.1308	20.8105
4.1275	20.8195
4.1242	20.8164
4.1209	20.8029
4.1177	20.7949
4.1144	20.7954
4.1111	20.7951
4.1079	20.7985
4.1046	20.8100
4.1014	20.8203
4.0981	20.8195
4.0949	20.8120
4.0917	20.8132
4.0884	20.8144
4.0852	20.8012
4.0820	20.7858
4.0788	20.7663
4.0756	20.7507
4.0724	20.7499
4.0692	20.7497
4.0660	20.7521
4.0628	20.7592
4.0596	20.7568
4.0565	20.7453
4.0533	20.7255
4.0501	20.7031
4.0470	20.6826
4.0438	20.6594
4.0406	20.6396
4.0375	20.6264
4.0344	20.6115
4.0312	20.5959
4.0281	20.5834
4.0250	20.5688
4.0218	20.5590
4.0187	20.5400
4.0156	20.5168
4.0125	20.4973
4.0094	20.4777
4.0063	20.4567
4.0032	20.4379
4.0001	20.4186
3.9970	20.4011
3.9940	20.3771
3.9909	20.3610
3.9878	20.3442
3.9847	20.3266
3.9817	20.3049
3.9786	20.2832
3.9756	20.2661
3.9725	20.2543
3.9695	20.2478
3.9665	20.2446
3.9634	20.2431
3.9604	20.2404
3.9574	20.2348
3.9544	20.2192
3.9513	20.1936
3.9483	20.1657
3.9453	20.1271
3.9423	20.0849
3.9393	20.0559
3.9363	20.0339
3.9333	20.0178
3.9304	19.9968
3.9274	19.9802
3.9244	19.9628
3.9214	19.9335
3.9185	19.9040
3.9155	19.8779
3.9126	19.8488
3.9096	19.8129
3.9067	19.7873
3.9037	19.7705
3.9008	19.7470
3.8979	19.7126
3.8949	19.6787
3.8920	19.6484
3.8891	19.6032
3.8862	19.5532
3.8833	19.5200
3.8804	19.4865
3.8775	19.4519
3.8746	19.4152
3.8717	19.3759
3.8688	19.3320
3.8659	19.2817
3.8630	19.2263
3.8601	19.1572
3.8573	19.0898
3.8544	19.0483
3.8515	19.0266
3.8487	19.0097
3.8458	18.9938
3.8430	18.9719
3.8401	18.9321
3.8373	18.8635
3.8344	18.7968
3.8316	18.7543
3.8288	18.7255
3.8259	18.6948
3.8231	18.6582
3.8203	18.6118
3.8175	18.5554
3.8147	18.5024
3.8119	18.4484
3.8091	18.3903
3.8063	18.3320
3.8035	18.2761
3.8007	18.2272
3.7979	18.1811
3.7951	18.1306
3.7924	18.0803
3.7896	18.0268
3.7868	17.9638
3.7841	17.9060
3.7813	17.8515
3.7785	17.7939
3.7758	17.7448
3.7730	17.6960
3.7703	17.6386
3.7676	17.5837
3.7648	17.5244
3.7621	17.4697
3.7594	17.4101
3.7566	17.3422
3.7539	17.2746
3.7512	17.2124
3.7485	17.1513
3.7458	17.0839
3.7431	17.0092
3.7404	16.9379
3.7377	16.8828
3.7350	16.8313
3.7323	16.7751
3.7296	16.7299
3.7269	16.6862
3.7242	16.6320
3.7216	16.5732
3.7189	16.5051
3.7162	16.4360
3.7136	16.3784
3.7109	16.3288
3.7083	16.2824
3.7056	16.2307
3.7030	16.1735
3.7003	16.1066
3.6977	16.0207
3.6950	15.9355
3.6924	15.8833
3.6898	15.8557
3.6872	15.8271
3.6845	15.7985
3.6819	15.7773
3.6793	15.7419
3.6767	15.6897
3.6741	15.6374
3.6715	15.5776
3.6689	15.5068
3.6663	15.4228
3.6637	15.3400
3.6611	15.2785
3.6585	15.2260
3.6560	15.1772
3.6534	15.1421
3.6508	15.1042
3.6482	15.0605
3.6457	15.0075
3.6431	14.9492
3.6406	14.9011
3.6380	14.8530
3.6355	14.7961
3.6329	14.7351
3.6304	14.6762
3.6278	14.6245
3.6253	14.5681
3.6227	14.5095
3.6202	14.4526
3.6177	14.3960
3.6152	14.3335
3.6127	14.2712
3.6101	14.2199
3.6076	14.1750
3.6051	14.1201
3.6026	14.0610
3.6001	14.0000
3.5976	13.9338
3.5951	13.8650
3.5926	13.7949
3.5901	13.7258
3.5876	13.6643
3.5852	13.6086
3.5827	13.5637
3.5802	13.5161
3.5777	13.4589
3.5753	13.3991
3.5728	13.3359
3.5704	13.2810
3.5679	13.2314
3.5654	13.1787
3.5630	13.1225
3.5605	13.0549
3.5581	12.9780
3.5557	12.9057
3.5532	12.8442
3.5508	12.7971
3.5484	12.7514
3.5459	12.7026
3.5435	12.6489
3.5411	12.5832
3.5387	12.4995
