Name:  Basalt
Type:  Rock
Class: Igneous   
Subclass: Mafic 
Particle Size:  Whole rock chips
Sample No.:  ba9c2f
Owner:  Larry Rowan, USGS
Wavelength range:  VNIR SWIR IR
Origin:  Wadi Salima, Jordan

Description:  dark gray vesicular basalt 





Measurement:  Reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.4
Last X Value:  14.01309
Number of X Values:  2826
Additional Information:  ba9c2fa.txt

2.22764	0.0795
2.2286	0.0799
2.22955	0.0799
2.23051	0.0777
2.23147	0.0759
2.23243	0.0782
2.23339	0.0804
2.23436	0.0806
2.23532	0.0803
2.23628	0.0795
2.23725	0.0805
2.23821	0.0802
2.23918	0.0781
2.24015	0.0778
2.24112	0.0785
2.24208	0.0782
2.24305	0.0783
2.24402	0.0776
2.245	0.0779
2.24597	0.0792
2.24694	0.0805
2.24791	0.079
2.24889	0.0793
2.24987	0.0793
2.25084	0.0787
2.25182	0.0776
2.2528	0.0785
2.25378	0.0795
2.25476	0.0802
2.25574	0.0806
2.25672	0.0806
2.2577	0.0791
2.25868	0.0778
2.25967	0.077
2.26065	0.076
2.26164	0.0766
2.26263	0.0769
2.26361	0.0781
2.2646	0.0779
2.26559	0.0774
2.26658	0.0792
2.26757	0.08
2.26856	0.0796
2.26956	0.0795
2.27055	0.0798
2.27155	0.0804
2.27254	0.0796
2.27354	0.0765
2.27453	0.076
2.27553	0.077
2.27653	0.0783
2.27753	0.0794
2.27853	0.0797
2.27953	0.0795
2.28054	0.0808
2.28154	0.0792
2.28254	0.0771
2.28355	0.078
2.28455	0.0787
2.28556	0.0794
2.28657	0.0806
2.28758	0.0781
2.28859	0.0756
2.2896	0.0761
2.29061	0.0782
2.29162	0.0786
2.29263	0.0779
2.29365	0.0782
2.29466	0.0791
2.29568	0.0785
2.29669	0.0786
2.29771	0.0783
2.29873	0.0771
2.29975	0.0765
2.30077	0.0767
2.30179	0.0767
2.30281	0.077
2.30384	0.0761
2.30486	0.0762
2.30588	0.0781
2.30691	0.0795
2.30794	0.0787
2.30896	0.0784
2.30999	0.079
2.31102	0.0789
2.31205	0.0786
2.31308	0.0783
2.31412	0.0778
2.31515	0.0778
2.31618	0.0781
2.31722	0.0775
2.31825	0.0777
2.31929	0.0781
2.32033	0.0789
2.32137	0.0785
2.32241	0.077
2.32345	0.0771
2.32449	0.0761
2.32553	0.0763
2.32657	0.0763
2.32762	0.0771
2.32866	0.0778
2.32971	0.0772
2.33076	0.0769
2.3318	0.0778
2.33285	0.0772
2.3339	0.0764
2.33495	0.0765
2.33601	0.078
2.33706	0.0775
2.33811	0.0774
2.33917	0.0782
2.34022	0.0785
2.34128	0.0782
2.34234	0.0771
2.34339	0.0765
2.34445	0.076
2.34551	0.0756
2.34657	0.0755
2.34764	0.0769
2.3487	0.0786
2.34976	0.0764
2.35083	0.0755
2.3519	0.076
2.35296	0.0764
2.35403	0.0768
2.3551	0.076
2.35617	0.0759
2.35724	0.077
2.35831	0.0765
2.35939	0.0762
2.36046	0.0765
2.36153	0.0771
2.36261	0.0766
2.36369	0.0763
2.36476	0.0766
2.36584	0.0761
