Name: Aplite
Type: Rocks
Class: Igneous
Subclass: Felsic
Particle Size: Solid
Sample No.: Aplite.H1
Owner: JHU
Wavelength range: All
Origin: From Boulder County, Colorado via Ward's Scientific (Cat. No. W-
101)
Description: A fine-grained to medium-grained leucocratic rock composed 
of quartz, feldspar, micas and opaques.




Measurement: Directional (10 degree) hemispherical reflectance
First Column: X
Second Column: Y
X Units: Wavelength (micrometers)
Y Units: Reflectance (percent)
First X Value: 14.0112
Last X Value: 0.4000
Number of X Values: 2844
Additional information:	aplite1a.doc
3.6202	18.7220
3.6177	18.7459
3.6152	18.7820
3.6127	18.7589
3.6101	18.7441
3.6076	18.7565
3.6051	18.7690
3.6026	18.7745
3.6001	18.7762
3.5976	18.7753
3.5951	18.7945
3.5926	18.7884
3.5901	18.7919
3.5876	18.8069
3.5852	18.8125
3.5827	18.8008
3.5802	18.7812
3.5777	18.7602
3.5753	18.7506
3.5728	18.7519
3.5704	18.7661
3.5679	18.7968
3.5654	18.8052
3.5630	18.7891
3.5605	18.7786
3.5581	18.7823
3.5557	18.7893
3.5532	18.8114
3.5508	18.7886
3.5484	18.7558
3.5459	18.7464
3.5435	18.7293
3.5411	18.7335
3.5387	18.7070
3.5363	18.6487
3.5338	18.5906
3.5314	18.5292
3.5290	18.4560
3.5266	18.3906
3.5242	18.2966
3.5218	18.1500
3.5195	17.9753
3.5171	17.8132
3.5147	17.6130
3.5123	17.3472
3.5099	17.1039
3.5075	16.8867
3.5052	16.7831
3.5028	16.7690
3.5004	16.7517
3.4981	16.7896
3.4957	16.8602
3.4934	16.9017
3.4910	16.9490
3.4887	16.9262
3.4863	16.9113
3.4840	16.9216
3.4816	16.9347
3.4793	16.9171
3.4770	16.8900
3.4746	16.8712
3.4723	16.9169
3.4700	17.0043
3.4677	17.0459
3.4653	17.0446
3.4630	17.0320
3.4607	17.0156
3.4584	16.9727
3.4561	16.9452
3.4538	16.8841
3.4515	16.8135
3.4492	16.7698
3.4469	16.6699
3.4446	16.5534
3.4423	16.4789
3.4400	16.3685
3.4378	16.2288
3.4355	16.0636
3.4332	15.8627
3.4309	15.6644
3.4287	15.4617
3.4264	15.2789
3.4241	15.1404
3.4219	15.0199
3.4196	14.9646
3.4174	14.9252
3.4151	14.8935
3.4129	14.9200
3.4106	14.9721
3.4084	15.0590
3.4061	15.1626
3.4039	15.2228
3.4017	15.2648
3.3994	15.3227
3.3972	15.3684
3.3950	15.3705
3.3928	15.3513
3.3906	15.3386
3.3883	15.2651
3.3861	15.2339
3.3839	15.1612
3.3817	15.0468
3.3795	15.0438
3.3773	15.0714
3.3751	15.0618
3.3729	15.0569
3.3707	15.0560
3.3685	15.1181
3.3663	15.1675
3.3641	15.1901
3.3620	15.1882
3.3598	15.1717
3.3576	15.1662
3.3554	15.1481
3.3533	15.1184
3.3511	15.1514
3.3489	15.1296
3.3468	15.1129
3.3446	15.1225
3.3425	15.0974
3.3403	15.1005
3.3382	15.1280
3.3360	15.1436
3.3339	15.1296
3.3317	15.0693
3.3296	15.0468
3.3274	15.0281
3.3253	14.9503
3.3232	14.9060
3.3210	14.8844
3.3189	14.8399
3.3168	14.7883
3.3147	14.7483
3.3126	14.6833
3.3104	14.5997
3.3083	14.5410
3.3062	14.4846
3.3041	14.4109
3.3020	14.3849
