Name:  Prehnite Ca2Al2Si3O10(OH)2
Type:  Mineral
Class:  Silicates
Subclass:  Phyllosilicates (Sheet Silicates); (Chlorite Group)
Particle Size:  Solid
Sample No.:  prehnite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Paterson, New Jersey, USA via Norma Vergo

Description: The sample consisted of a cluster of light green, 
translucent crystals weighing about 14 g. Purity appeared high in 
hand sample and under the microscope.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  prehni1a.txt

5.641080605	2.1789
5.634948854	2.1916
5.628830419	2.1963
5.622725256	2.1992
5.616633323	2.2092
5.610557723	2.2148
5.604492113	2.2143
5.598439603	2.2158
5.592400152	2.2244
5.586373717	2.2322
5.580360257	2.2327
5.574359729	2.2305
5.568372092	2.2341
5.562397304	2.238
5.556435324	2.2417
5.550486112	2.2466
5.544549625	2.2468
5.538625823	2.2436
5.532714665	2.2419
5.526816112	2.2458
5.520930122	2.2471
5.515056656	2.2417
5.509195674	2.2388
5.503347136	2.2407
5.497511002	2.2395
5.491687233	2.23
5.48587579	2.2214
5.480076633	2.2136
5.474289725	2.21
5.468518015	2.207
5.462755479	2.2051
5.457005076	2.2043
5.451266765	2.2053
5.445540511	2.2097
5.439826274	2.2136
5.434124016	2.2168
5.428433701	2.2209
5.422755291	2.2273
5.417088748	2.2324
5.411434035	2.2366
5.405791116	2.2424
5.400159953	2.2476
5.394540509	2.2502
5.388932749	2.2544
5.383336635	2.2624
5.377752132	2.2712
5.372179203	2.2778
5.366617813	2.2834
5.361067925	2.2844
5.355529504	2.2891
5.350002515	2.3005
5.344486921	2.3157
5.338982689	2.3276
5.333492627	2.3367
5.328011006	2.3447
5.32254064	2.3518
5.317081497	2.3596
5.31163354	2.3704
5.306196736	2.3784
5.30077105	2.3867
5.295356449	2.3935
5.289952898	2.4011
5.284560364	2.4123
5.279178813	2.4209
5.273808212	2.4275
5.268448526	2.4387
5.263099724	2.4512
5.257761771	2.4592
5.252434635	2.4636
5.247118283	2.47
5.241812682	2.4805
5.236517799	2.489
5.231233603	2.4949
5.225960061	2.4976
5.220697141	2.4985
5.21544481	2.5007
5.210203036	2.5071
5.204974498	2.51
5.19975374	2.5076
5.194543444	2.5081
5.189343579	2.5056
5.184154115	2.5054
5.178975019	2.5085
5.173806261	2.5102
5.168647809	2.5078
5.163499634	2.5081
5.158361704	2.5073
5.153233989	2.5059
5.148116459	2.5051
5.143009082	2.5034
5.137911829	2.5027
5.13282467	2.5039
5.127747575	2.5061
5.122680514	2.5039
5.117623458	2.5037
5.112576376	2.509
5.107539239	2.5178
5.102512018	2.5251
5.097494683	2.5295
5.092487206	2.5339
5.087489558	2.54
5.082504292	2.5452
5.077526209	2.5491
5.072557868	2.5561
5.06759924	2.5593
5.062650297	2.564
5.057711011	2.5706
5.052781354	2.574
5.047861297	2.5776
5.042950812	2.5825
5.038049872	2.5859
5.033158448	2.5901
5.028276513	2.592
5.023404039	2.5955
5.018541	2.5981
5.013687367	2.6018
5.008843113	2.605
5.004010715	2.6101
4.999185133	2.6164
4.994368849	2.6179
4.989561837	2.6189
4.984764069	2.6233
4.979975518	2.6287
4.97519616	2.6294
4.970425966	2.6301
4.96566491	2.6382
4.960912967	2.6438
4.95617011	2.6482
4.951436313	2.6538
4.94671155	2.6548
4.941995795	2.6597
4.937289023	2.665
4.932591209	2.6728
4.927902325	2.6836
4.923222347	2.6897
4.918551251	2.6924
4.913889009	2.6985
4.909235598	2.706
4.904590991	2.7114
4.899955165	2.7146
4.895328095	2.7153
4.890712146	2.7168
4.886102507	2.7234
4.88150155	2.727
4.876909249	2.7322
4.87232558	2.7373
4.86775052	2.7439
4.863184043	2.751
4.858626126	2.7522
4.854076745	2.7556
4.849535875	2.7615
4.845003493	2.7632
4.840479575	2.7634
4.835964098	2.7671
4.831457037	2.7715
4.826958369	2.7729
4.822468072	2.7766
4.81798612	2.7788
4.813512492	2.781
4.809047164	2.7837
4.804590113	2.7915
4.800141316	2.7925
4.79570075	2.791
4.791268392	2.7898
4.78684422	2.7905
4.782430498	2.7876
4.778022625	2.7888
4.773622869	2.7949
4.769231209	2.7978
4.764847623	2.8003
4.760472086	2.803
4.756104579	2.8086
4.751745078	2.8144
4.747393562	2.8166
4.743050009	2.8208
4.738714396	2.824
4.734386703	2.8274
4.730066907	2.8298
4.725754987	2.834
4.721450921	2.8374
4.717154688	2.8425
4.712866266	2.8428
4.708585635	2.8472
4.704312773	2.8501
4.700047658	2.8513
4.695790271	2.8542
4.691540589	2.8562
4.687298593	2.8567
4.68306426	2.8591
4.67883976	2.8647
4.67462069	2.8689
4.670409221	2.8694
4.666205334	2.8706
4.662009009	2.8733
4.657820224	2.8718
4.65363896	2.8774
4.649465195	2.8801
4.645298911	2.8823
4.641140087	2.8848
4.636988702	2.8865
4.632844738	2.8918
4.628708174	2.8921
4.62457899	2.8931
4.620457167	2.895
4.616342684	2.8935
4.612235523	2.8982
4.608135664	2.9043
4.604043086	2.9067
4.599957772	2.9092
4.595879702	2.9158
4.591808856	2.9175
4.587745215	2.9221
4.58368876	2.9285
4.57964157	2.9316
4.575599426	2.9348
4.571564412	2.9404
4.567536508	2.9416
4.563515696	2.9426
4.559501956	2.9409
4.555495271	2.9416
4.551495621	2.9441
4.547502989	2.9473
4.543517355	2.9458
4.539538701	2.9434
4.535567009	2.9504
4.531602261	2.9514
4.527644439	2.9492
4.523693523	2.9521
4.519749497	2.9556
4.515814382	2.9585
4.511884077	2.9607
4.507960608	2.9648
4.504043956	2.967
4.500134104	2.9697
4.496231034	2.9734
4.492334729	2.9734
4.488445171	2.9788
4.484562343	2.9812
4.480686226	2.9773
4.476816804	2.9788
4.47295406	2.9878
4.469097975	2.989
4.465248534	2.988
4.461405718	2.989
4.45756951	2.9956
4.453739894	3.0015
4.449916853	3.0034
