Name:  Chrysotile Mg3Si2O5(OH)4
Type:  Mineral
Class:   Silicates 
Subclass:   Phyllosilicates (sheet silicates) (Serpentine/Kaplin Group)
Particle Size: Coarse  (74-250 Micrometer) - fiber bundle
Sample No.:  chrysotile.1
Owner:  JHU
Wavelength Range:  IR
Origin: Smithsonian NMNH 91197; Sample from Kaapsche Hoop, 
Barberton, Transvaal (E), South Africa.
Description:  The hand sample was fibrous, asbestiform. The sample 
was relatively clean and sample portions with dust adhering were 
discarded.  The remainder was a fibrous white mass weighing 
approximately 2.35 g.  Aside from adhering dust, the sample showed 
no contamination.  The sample appears to be pure chrysotile under 
the microscope.
Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: chryso1a.txt

4.284424062	19.3107
4.280886058	19.3193
4.277353892	19.3349
4.27382755	19.3417
4.270307018	19.361
4.266792281	19.3789
4.263283325	19.3874
4.259780136	19.4167
4.256282699	19.4431
4.252791	19.4516
4.249306832	19.4592
4.245826565	19.4833
4.242351994	19.496
4.238883105	19.5029
4.235419885	19.5302
4.231962319	19.5417
4.228510393	19.5444
4.225064094	19.5529
4.221623408	19.5693
4.218188322	19.5781
4.214758821	19.5988
4.211334892	19.6169
4.207916522	19.6203
4.204503696	19.6333
4.201096402	19.6496
4.197694626	19.6667
4.194300114	19.6779
4.190909331	19.6901
4.187524026	19.6999
4.184144186	19.6997
4.180769797	19.7004
4.177400846	19.7216
4.174037321	19.7299
4.170679208	19.7456
4.167326493	19.7536
4.163979165	19.7587
4.16063721	19.7543
4.157300615	19.7583
4.153969367	19.7758
4.150643454	19.7756
4.147322862	19.7819
4.144007579	19.791
4.140697592	19.7961
4.137392888	19.79
4.134093455	19.8076
4.130799281	19.8173
4.127510352	19.8242
4.124226656	19.8415
4.120948181	19.8588
4.117674914	19.8522
4.114408535	19.8503
4.111145645	19.8666
4.107887925	19.8793
4.104635365	19.8867
4.101387951	19.9001
4.098145671	19.904
4.094908514	19.9057
4.091676466	19.9138
4.088449517	19.9252
4.085227653	19.9287
4.082010864	19.9296
4.078799136	19.9436
4.075592459	19.947
4.072390819	19.9411
4.069194206	19.9477
4.066002607	19.9531
4.062816011	19.9433
4.059634406	19.9411
4.056457779	19.9501
4.053286121	19.9492
4.050119418	19.9396
4.046957659	19.9477
4.043800833	19.9553
4.040648928	19.9484
4.037503563	19.9482
4.034361463	19.9475
4.031224251	19.937
4.028091913	19.9306
4.024964439	19.9291
4.021841819	19.925
