Name:  Vermiculite (Mg,Fe+2,Al)3(Al,Si)4O10(OH)2.4H2O 
Type:  Mineral
Class:  Silicates 
Subclass:   Phyllosilicates (Sheet Silicates); (Vermiculite Group)
Particle Size:  Fine  (0-2 Micrometers)
Sample No.:  vermicul.1
Owner:  JHU
Wavelength Range:  IR
Origin: Llano, Texas via Norma Vergo #VTx-1 (CMS) (purchased from 
Clay Mineral Society Repository)
Description: White, earthy clay.  XRD analysis indicates pure vermiculite for the 
less than 2 micrometer size range.




Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  none

4.190909331	6.0686
4.187524026	6.0764
4.184144186	6.0818
4.180769797	6.0886
4.177400846	6.1025
4.174037321	6.1106
4.170679208	6.1155
4.167326493	6.1216
4.163979165	6.133
4.16063721	6.1472
4.157300615	6.156
4.153969367	6.1562
4.150643454	6.165
4.147322862	6.1733
4.144007579	6.1848
4.140697592	6.2007
4.137392888	6.2112
4.134093455	6.2185
4.130799281	6.2317
4.127510352	6.2436
4.124226656	6.2541
4.120948181	6.2646
4.117674914	6.2727
4.114408535	6.2847
4.111145645	6.2978
4.107887925	6.3078
4.104635365	6.3198
4.101387951	6.3335
4.098145671	6.3467
4.094908514	6.3581
4.091676466	6.3672
4.088449517	6.3791
4.085227653	6.3879
4.082010864	6.3928
4.078799136	6.4072
4.075592459	6.4192
4.072390819	6.4243
4.069194206	6.4402
4.066002607	6.449
4.062816011	6.4519
4.059634406	6.4709
4.056457779	6.4883
4.053286121	6.5005
4.050119418	6.5071
4.046957659	6.5088
4.043800833	6.5163
4.040648928	6.5246
4.037503563	6.5378
4.034361463	6.5515
4.031224251	6.5532
4.028091913	6.5547
4.024964439	6.5649
4.021841819	6.5671
4.018724039	6.5666
4.01561109	6.5713
4.012502959	6.5693
4.009399637	6.5769
4.00630111	6.5825
4.00320737	6.5813
4.000118404	6.5803
3.997034201	6.5781
3.99395475	6.5713
3.990880041	6.5683
3.987810062	6.5647
3.984744803	6.5566
3.981684252	6.5503
3.9786284	6.541
3.975577234	6.5364
3.972530744	6.5342
3.96948892	6.5295
3.966451751	6.5288
