Name:  Nontronite Na0.33Fe2+3(Si,Al)4O10.3H2O
Type:  Mineral
Class:  Silicates
Subclass:  Phyllosilicates (Sheet Silicates); (Smectite Group)
Particle Size:  0-2 micrometers.  (Packed powder simulates coarse.)
Sample No.:  nontron.1
Owner: JHU
Wavelength Range:  IR
Origin:  Holen Hagen, Germany via the Hunt and Salisbury Collection 
#CMS Ng-1 (purchased from the Clay Mineral Society Repository)
Description: Brown, earthy clay. Less than 2 µm fraction is nontronite, plus a faint 
trace of quartz.  Larger size fraction has abundant quartz.  (Note: Quartz features 
do not show up in spectra of the <2 µm size fraction, either sifted or packed.)



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  none

5.231233603	8.4868
5.225960061	8.5027
5.220697141	8.511
5.21544481	8.5122
5.210203036	8.5163
5.204974498	8.5324
5.19975374	8.5434
5.194543444	8.5552
5.189343579	8.5605
5.184154115	8.571
5.178975019	8.5849
5.173806261	8.5935
5.168647809	8.5964
5.163499634	8.6125
5.158361704	8.6284
5.153233989	8.6301
5.148116459	8.6379
5.143009082	8.6599
5.137911829	8.6775
5.13282467	8.6931
5.127747575	8.7163
5.122680514	8.7292
5.117623458	8.738
5.112576376	8.758
5.107539239	8.7766
5.102512018	8.7893
5.097494683	8.8122
5.092487206	8.8342
5.087489558	8.8449
5.082504292	8.862
5.077526209	8.8823
5.072557868	8.9004
5.06759924	8.9184
5.062650297	8.9468
5.057711011	8.9648
5.052781354	8.9741
5.047861297	8.9961
5.042950812	9.0217
5.038049872	9.0383
5.033158448	9.0534
5.028276513	9.0796
5.023404039	9.0962
5.018541	9.1103
5.013687367	9.1372
5.008843113	9.1577
5.004010715	9.166
4.999185133	9.1799
4.994368849	9.2048
4.989561837	9.2185
4.984764069	9.2356
4.979975518	9.2571
4.97519616	9.2724
4.970425966	9.289
4.96566491	9.3117
4.960912967	9.3291
4.95617011	9.3337
4.951436313	9.3545
4.94671155	9.3865
4.941995795	9.4048
4.937289023	9.4145
4.932591209	9.4338
4.927902325	9.4538
4.923222347	9.4616
4.918551251	9.477
4.913889009	9.5031
4.909235598	9.519
4.904590991	9.532
4.899955165	9.5498
4.895328095	9.5639
4.890712146	9.5813
4.886102507	9.6037
4.88150155	9.6213
4.876909249	9.6384
4.87232558	9.6555
4.86775052	9.6714
4.863184043	9.6836
4.858626126	9.7063
4.854076745	9.7292
4.849535875	9.7422
4.845003493	9.7575
4.840479575	9.771
4.835964098	9.7805
4.831457037	9.7959
4.826958369	9.8174
4.822468072	9.8388
4.81798612	9.8545
4.813512492	9.8701
4.809047164	9.8784
4.804590113	9.8933
4.800141316	9.9148
4.79570075	9.9297
4.791268392	9.935
4.78684422	9.9504
4.782430498	9.9702
4.778022625	9.98
4.773622869	9.9909
4.769231209	10.0073
4.764847623	10.0224
4.760472086	10.0271
4.756104579	10.0327
4.751745078	10.0454
4.747393562	10.0559
4.743050009	10.0654
4.738714396	10.0718
4.734386703	10.0786
4.730066907	10.0805
4.725754987	10.0945
4.721450921	10.1106
4.717154688	10.1191
4.712866266	10.134
4.708585635	10.1474
4.704312773	10.1443
4.700047658	10.1421
4.695790271	10.1548
4.691540589	10.1697
4.687298593	10.1731
4.68306426	10.1811
4.67883976	10.1933
4.67462069	10.1885
4.670409221	10.1904
4.666205334	10.2114
4.662009009	10.2195
4.657820224	10.2204
4.65363896	10.2322
4.649465195	10.239
4.645298911	10.2387
4.641140087	10.2507
4.636988702	10.2685
4.632844738	10.2649
4.628708174	10.2583
4.62457899	10.2715
4.620457167	10.2837
4.616342684	10.2829
4.612235523	10.292
4.608135664	10.303
4.604043086	10.3051
4.599957772	10.303
4.595879702	10.3122
4.591808856	10.3227
4.587745215	10.3261
4.58368876	10.3325
4.57964157	10.3349
4.575599426	10.3359
4.571564412	10.3405
4.567536508	10.3471
4.563515696	10.3525
4.559501956	10.3574
4.555495271	10.3579
4.551495621	10.355
4.547502989	10.3591
4.543517355	10.3642
4.539538701	10.3703
4.535567009	10.3723
4.531602261	10.383
4.527644439	10.3864
4.523693523	10.3816
4.519749497	10.3867
4.515814382	10.3928
4.511884077	10.3901
4.507960608	10.393
4.504043956	10.4092
4.500134104	10.4145
4.496231034	10.4135
4.492334729	10.4231
4.488445171	10.4326
4.484562343	10.4363
4.480686226	10.4399
4.476816804	10.4487
4.47295406	10.4499
4.469097975	10.4553
4.465248534	10.4651
4.461405718	10.4655
4.45756951	10.4673
4.453739894	10.4775
4.449916853	10.4817
4.44610037	10.4836
4.442290427	10.4988
4.438487009	10.5127
4.434690097	10.5119
4.430899676	10.5232
4.42711573	10.5354
4.423340197	10.5342
4.419569145	10.5373
4.415804518	10.5539
4.412046298	10.572
4.408294471	10.5735
4.404549018	10.5747
4.400809925	10.5813
4.397077175	10.5896
4.393350752	10.5925
4.389630639	10.5976
4.385916821	10.6079
4.382209282	10.6189
4.378508006	10.6284
4.374812977	10.6384
4.371124179	10.6382
4.367441596	10.6389
4.363765214	10.6506
4.360095015	10.6645
4.356430985	10.685
4.352773108	10.6931
4.349121369	10.6897
4.345475751	10.7038
4.341836241	10.7204
4.338202821	10.7307
4.334577357	10.7365
4.330956072	10.7451
4.327340832	10.7549
4.323731623	10.7627
4.320128429	10.7732
4.316531235	10.7817
4.312940028	10.7903
4.30935479	10.801
4.305775509	10.8069
4.302202168	10.8117
4.298634754	10.8286
4.29507325	10.8376
4.291517644	10.8447
4.287967919	10.855
4.284424062	10.8591
4.280886058	10.863
4.277353892	10.8676
4.27382755	10.8794
4.270307018	10.8918
4.266792281	10.905
4.263283325	10.914
4.259780136	10.9292
4.256282699	10.9446
4.252791	10.9565
4.249306832	10.9612
4.245826565	10.9763
4.242351994	10.9909
4.238883105	11.0009
4.235419885	11.01
4.231962319	11.0254
4.228510393	11.031
4.225064094	11.0398
4.221623408	11.0551
4.218188322	11.0678
4.214758821	11.0796
4.211334892	11.0827
4.207916522	11.0854
4.204503696	11.0993
4.201096402	11.1091
4.197694626	11.1115
4.194300114	11.122
4.190909331	11.1445
